Id	TimeId	Condition	SkipId	Bg	ActivityType	RedPointConditions	Param
1	11003		20160	Assets/Product/Texture/Image/UiFubenActivity/MainBtnCoatingShop.png	0		
2	12001	30406	20164	Assets/Product/Texture/Image/UiFubenActivity/MainBtnTopological.png	0		
3	12003	30406	20166	Assets/Product/Texture/Image/UiFubenActivity/MainBtnZhongQiu2022.png	2	CONDITION_ACTIVITY_FESTIVAL	27
4	13001	30406	20170	Assets/Product/Texture/Image/UiFubenActivity/MainBtnPuzzle3.png	1	CONDITION_FUBEN_DRAGPUZZLEGAME_RED	
5	13803		11773	Assets/Product/Texture/Image/UiFubenActivity/MainBtnRenYuV132.png	0		
6	13807	770402	20176	Assets/Product/Texture/Image/UiFubenActivity/MainBtnSummer.png	0		
7	14803	30404	20156	Assets/Product/Texture/Image/UiFubenActivity/MainBtnConsumeActivityMain2.png	1	CONDITION_SUMMER_SIGNIN_ACTIVITY	
8	14002	860742	88004	Assets/Product/Texture/Image/UiFubenActivity/MainBtnColorTable.png	1	CONDITION_COLORTABLE_ENTRANCE	
9	14802		89006	Assets/Product/Texture/Image/UiFubenActivity/MainSkinVote.png	1	CONDITION_SKIN_VOTE_ENTRANCE	
10	14601	774800	89001	Assets/Product/Texture/Image/UiFubenActivity/MainBtnBrilliantWalk.png	1	CONDITION_BRILLIANTWALK_ENTRANCE	
11	14001	30406	20175	Assets/Product/Texture/Image/UiFubenActivity/MainBtnMineSweeping3.png	1	CONDITION_MINSWEEPING_RED	
12	11701	774800	11761	Assets/Product/Texture/Image/UiFubenActivity/MainBtnPokerGuessing02.png			
13	2160225	772250	83010	Assets/Product/Texture/Image/UiFubenActivity/MainBtnNewYear2022.png	0		
