Id	Type	Add	IconPath
1201	1		
1301	1		
1304	1		
1401	1		
1404	1		
1407	1		
1410	1		
1413	3	Pre-Register Limited	
1501	1		
1502	1		
1503	1		
1504	1		
1505	1		
1506	1		
1507	1		
1508	1		
1550	3	Christmas Limited	
1551	3	Lunar New Year Limited	
1552	3	Lantern Festival Limited	
1601	1		
1602	1		
1603	1		
1604	1		
1605	1		
1606	1		
1607	1		
1608	1		
1609	1		
1610	1		
1611	1		
1612	1		
1613	1		
1614	1		
1615	1		
1416	2		
1509	2		
1616	2		
1617	1		
1618	2		
1619	1		
1620	2		
1622	1		
1625	1		
1553	3	Anniversary	
1623	2		
1557	3	Event Limited Memory	
1624	1		
1558	3	2nd Anniversary	
1626	2		
1627	1		
1628	2		
1629	1		
1630	2		
1631	1		
1632	1		
1633	1		
20001	3		
20002	3		
50000	1		
