Id	CueSheetId	CueName	Is1pOr3p
1	19	m_sys_title	1
2	20	m_sys_loginin	1
5	23	m_sys_dorm	1
6	71	m_ev4_intro	1
7	35	m_ev1_normalbattle	1
8	36	m_ev1_bossbattle	1
9	56	m_ev2_battle	1
10	34	m_ev1_intro	1
11	58	m_sys_newyear	1
12	57	m_ev2_intro	1
13	60	m_ev3_battle	1
14	61	m_ev3_boss	1
15	59	m_ev3_intro	1
16	69	m_ev4_battle	1
17	70	m_ev4_boss	1
18	71	m_ev4_intro	1
19	59	m_ev3_intro	1
20	71	m_ev4_intro	1
21	75	m_ev5_boss	1
22	76	m_ev5_end	1
23	75	m_ev5_bossdrop	1
24	76	m_ev5_endcg	1
25	75	m_ev5_resume	1
26	78	m_sys_title_2	1
27	80	m_ev5_intro	1
28	79	m_ev5_battle	1
29	82	m_ev6_battle	1
30	83	m_ev6_boss_1	1
31	84	m_ev6_boss_2	1
32	85	m_ev6_intro	1
33	86	m_ev7_intro	1
34	87	m_ev7_battle	1
35	88	m_ev7_boss	1
36	89	m_avg_silence	1
37	90	m_ev8_intro	1
38	91	m_ev10_battle	1
39	89	m_avg_silence	1
40	94	m_ev9_battle_1	1
41	95	m_ev9_battle_2	1
42	96	m_ev9_battle_3	1
43	97	m_ev9_boss_1	1
44	98	m_ev9_boss_2_kr	1
45	99	m_ev9_intro	1
46	100	m_ev9_lose	1
47	101	m_ev9_win	1
48	89	m_avg_silence	1
49	103	m_sys_newyear_2	1
50	104	m_ev11_intro	1
51	105	m_ev11_boss_1	1
52	106	m_ev11_boss_2	1
53	108	m_ev12_boss_1	1
54	109	m_ev12_boss_2	1
55	110	m_ev12_intro	1
56	112	haiwaimengzhan	1
57	111	m_ev12_mengzhan	1
58	113	m_ev13_battle	1
59	114	m_ev13_boss	1
60	115	m_ev13_intro	1
61	117	m_ev14_battle	1
62	118	m_ev14_boss	1
63	119	m_ev14_intro	1
64	123	m_ev15_battle	1
65	124	m_ev15_boss	1
66	125	m_ev15_intro	1
67	126	m_ev15_story	1
68	130	m_ev15_boss_1	1
69	131	m_ev15_boss_2	1
70	132	m_ev15_story_loop	1
71	133	m_ev16_song_JP	1
72	134	m_ev16_song_JP_ingame	1
73	135	m_ev16_song_inst	1
74	136	m_ev16_song_ingame_inst	1
75	137	m_ev7_boss_2	1
76	138	m_ev16_song_ingame_inst_loop	1
77	139	m_ev16_pv_1	1
78	140	m_ev16_pv_2	1
79	141	m_ev16_pv_3	1
80	142	m_ev16_pv_song	1
81	143	m_ev17_intro	1
82	144	m_ev17_battle	1
83	145	m_ev17_boss_1	1
84	146	m_ev17_dorm	1
85	147	m_ev17_boss_2	1
99	150	m_ev18_song_1_jp	1
100	151	m_ev18_song_2	1
101	24	m_nbat_nfighting	1
102	25	m_nbat_nsneaking	1
103	26	m_nbat_tower	1
104	30	m_nbat_nightmare	1
111	27	m_bbat_normal	1
112	28	m_bbat_lastfight	1
113	152	m_ev19_scenes_bgm_1	1
114	152	m_ev19_scenes_bgm_2	1
115	153	m_ev19_scenes_sfx_1	1
116	153	m_ev19_scenes_sfx_2	1
117	154	m_ev19_battle	1
118	155	m_ev19_boss	1
119	156	m_ev19_intro	1
120	157	m_ev19_story	1
121	156	m_ev19_intro	1
122	158	m_ev19_jazz	1
123	159	m_ev20_musicgame_1	1
124	160	m_ev19_cd	1
125	159	m_ev20_musicgame_2	1
126	159	m_ev20_musicgame_3	1
127	159	m_ev20_musicgame_4	1
128	159	m_ev20_musicgame_5	1
129	159	m_ev20_musicgame_6_jp	1
130	159	m_ev20_musicgame_7	1
131	159	m_ev20_musicgame_8	1
132	159	m_ev20_musicgame_9	1
133	159	m_ev20_musicgame_10	1
134	159	m_ev20_musicgame_11	1
135	159	m_ev20_musicgame_12	1
136	159	m_ev20_musicgame_13	1
137	159	m_ev20_musicgame_14	1
138	159	m_ev20_musicgame_15	1
139	159	m_ev20_musicgame_16	1
140	161	m_ev20_battle	1
141	162	m_ev20_boss	1
142	163	m_ev20_intro	1
143	164	m_ev20_story	1
144	165	GhostFinal_Punish_Revelation	1
145	166	m_ev21_intro	1
146	167	m_ev21_boss	1
147	168	m_ev21_battle	1
148	172	m_ev22_intro	1
149	169	m_ev21_full	1
150	170	m_ev22_song_instloop	1
151	5	g_ui_switch	1
152	171	m_ev22_song_pianoloop	1
153	170	m_ev22_song_instloop_amb	1
154	171	m_ev22_song_pianoloop_amb	1
155	173	m_ev23_battle	1
156	174	m_ev23_boss_1	1
157	175	m_ev23_boss_2	1
158	176	m_ev23_boss_sp	1
159	177	m_ev23_chatroom	1
160	178	m_ev23_story	1
161	179	m_ev23_intro	1
162	180	m_ev20_song	1
163	181	m_ev20_liv_1	1
164	182	m_ev20_liv_2	1
165	183	m_ev24_intro	1
166	184	m_ev24_battle	1
167	185	m_ev24_boss_1	1
168	186	m_ev24_boss_2	1
169	187	m_ev24_story	1
170	188	m_ev23_full	1
171	189	m_ev25_return	1
172	190	m_ev25_battle	1
173	191	m_ev25_boss	1
174	192	m_ev25_boss_2	1
175	193	m_ev25_intro	1
176	194	m_ev25_intro_piano	1
177	195	m_ev25_system1_jp	1
178	196	m_ev25_system2	1
179	197	m_ev24_CD	1
180	198	m_ev25_music_loop	1
181	199	m_ev25_music_2	1
182	600	m_ev25_CD	1
183	604	m_ev26_intro	1
184	601	m_ev26_battle	1
185	602	m_ev26_boss1	1
186	603	m_ev26_boss2	1
187	605	m_ev26_intro_p1	1
188	606	m_ev26_intro_p2	1
189	607	m_ev26_intro_p3	1
4	608	m_ev26_lose	1
3	609	m_ev26_win	1
201	11	m_avg_general	1
202	18	m_avg_spaceship	1
203	8	m_avg_beforebattle	1
204	9	m_avg_daily	1
205	10	m_avg_funny	1
206	12	m_avg_joyofvictory	1
207	13	m_avg_memory	1
208	14	m_avg_missionstable	1
209	15	m_avg_mysterious	1
210	16	m_avg_overlook	1
211	17	m_avg_sad	1
212	52	g_amb_story_crowd	2
213	53	g_amb_story_fire	3
214	54	g_amb_story_rain	4
215	55	g_amb_story_wind	5
216	29	m_sys_christmas	1
217	615	m_ev26_cd_1_jp	1
233	631	m_ev27_spring	1
301	37	amb_building_in	1
302	38	amb_building_out	1
303	39	amb_city_barren	1
304	40	amb_city_desert	1
305	41	amb_digital	1
306	42	amb_digital_2	1
307	43	amb_factory_in	1
308	44	amb_factory_out	1
309	45	amb_generator	1
310	46	amb_jungle	1
311	47	amb_rain	1
312	48	amb_room	1
313	49	amb_sea	1
314	50	amb_sky	1
315	51	amb_snow	1
316	3	g_amb_sea_ice	1
317	62	g_amb_ev3_traininside	1
318	63	g_amb_ev3_trainnm	1
319	64	g_amb_ev3_trainrain	1
320	65	g_amb_ev3_trainsandstorm	1
321	66	g_amb_ev3_traintunnel	1
322	67	g_amb_ev3_traintunnel_run	1
323	64	g_amb_ev3_thunder	1
324	64	g_amb_ev3_trainrain_stop	1
325	72	g_amb_ev4_babieta	1
326	73	g_amb_ev4_jiaban	1
327	74	g_amb_ev4_pubu	1
328	93	g_amb_ev9_factory	1
401	2	c_nornal_step	1
402	33	me_jiaojing_atk01	3
403	33	me_jiaojing_atk01_shouji	3
404	33	me_jiaojing_atk02	3
405	33	me_jiaojing_atk03	3
406	33	me_jiaojing_atk03_shouji	3
407	33	me_jiaojing_atk01_fire	3
501	5	g_ui_default	1
502	1	b_empty	1
503	1	b_empty	1
504	1	b_empty	1
505	1	b_empty	1
506	1	b_empty	1
507	1	b_empty	1
508	1	b_empty	1
509	5	b_ui_skillsingle	1
510	5	b_ui_skillsingle	1
511	5	b_ui_skillthree	1
512	1	b_empty	1
551	1	b_char_specialflash	3
552	1	b_char_born	3
553	1	b_char_qte	1
554	1	b_char_heal	3
555	1	b_char_lastatk	3
556	1	b_char_dodge	1
557	32	g_ingame_drop01behit	3
558	32	g_ingame_drop01bing	3
559	32	g_ingame_dropdead	3
560	32	g_ingame_kuosan	3
561	77	g_ingame_tongyongbaozha	3
562	32	g_ingame_faxianqianxing	3
563	32	g_ingame_airwallactivated	3
564	32	g_ingame_fire02	3
565	32	g_ingame_fire01	3
566	32	g_ingame_fire05	3
567	32	g_ingame_oilboom	3
568	32	g_ingame_fire04	3
569	32	g_ingame_fire03	3
570	32	g_ingame_enemyborn	3
571	32	g_ingame_treebroken	3
572	77	g_ingame_claymore	3
573	77	g_ingame_christmasbox	3
574	32	g_ingame_gear_up	3
575	32	g_ingame_gear_turn	3
576	32	g_ingame_gear_down	3
577	32	g_ingame_cannon_open	3
578	32	g_ingame_cannon_close	3
579	77	g_ingame_luolei	3
580	77	g_ingame_zengshangquan	3
581	77	g_ingame_adaifumiaozhun	3
582	77	g_ingame_bodong	3
583	77	g_ingame_fumianguanghuan	3
584	77	g_ingame_shousun	3
585	77	g_ingame_hudun	3
586	77	g_ingame_chaosuanjiuxu	3
587	77	g_ingame_yuansutanke	3
588	77	g_ingame_hudunshouji	3
589	77	g_ingame_bati	3
590	77	g_ingame_jiaqiu	1
591	77	g_ingame_bingjing	3
592	77	g_ingame_chudian	3
593	77	g_ingame_baonu	3
594	77	g_ingame_jianqi	3
595	77	g_ingame_chongjibo	3
596	77	g_ingame_anyingquyu	3
597	77	g_ingame_leibao	3
598	77	g_ingame_baozha_0	3
599	77	g_ingame_wulichongneng1	3
600	77	g_ingame_wulichongneng2	3
601	77	g_ingame_wulichongneng3	3
602	77	g_ingame_wulichongneng4	3
603	77	g_ingame_cizhuifusu	3
604	77	g_ingame_cizhuihudun	3
605	77	g_ingame_cizhuihudunshouji	3
606	77	g_ingame_cizhuibaozou	3
607	77	g_ingame_cizhuibilei	3
608	77	g_ingame_cizhuibileishouji	3
609	77	g_ingame_cizhuifushe	3
610	77	g_ingame_cizhuibihuan	3
611	77	g_ingame_cizhuizhufu	3
612	77	g_ingame_cizhuihuoyan	3
613	77	g_ingame_cizhuidongjie	3
614	77	g_ingame_cizhuianying	3
615	77	g_ingame_cizhuileimin	3
616	77	g_ingame_cizhuimailei	3
617	77	g_ingame_cizhuigangti	3
618	77	g_ingame_cizhuibingjingdandao	3
619	77	g_ingame_cizhuidiandun	3
620	77	g_ingame_cizhuizhadan	3
621	77	g_ingame_cizhuiheidong	3
622	77	g_ingame_cizhuishexian	3
623	77	g_ingame_cizhuichongjibo	3
624	77	g_ingame_tongyongfireshouji	3
625	77	g_ingame_tongyongiceshouji	3
626	77	g_ingame_tongyongdarkshouji	3
627	77	g_ingame_tongyongeleshouji	3
628	77	g_ingame_tongyongbingshuang	3
629	77	g_ingame_tongyongbingdong	3
630	77	g_ingame_tongyongyinshen	3
631	77	g_ingame_tongyongjiaqiu	3
632	77	g_ingame_tongyongzhuoshao	3
633	77	g_ingame_tongyonggandian	3
634	77	g_ingame_tongyonganshi	3
635	77	g_ingame_tongyongluolei	3
636	77	g_ingame_swordmd_attack01	3
637	77	g_ingame_swordmd_attack01shouji	3
638	77	g_ingame_swordmd_attack02	3
639	77	g_ingame_swordmd_attack02shouji	3
640	77	g_ingame_swordmd_attack03	3
641	77	g_ingame_swordmd_attack03shouji	3
642	77	g_ingame_swordmd_attack04	3
643	77	g_ingame_swordmd_attack04shouji	3
644	77	g_ingame_swordmd_born	3
645	77	g_ingame_swordmd_death	3
646	77	g_ingame_swordmd_move	3
647	32	g_ingame_dooropen	3
648	32	g_ingame_turn	3
649	32	g_ingame_mainturn	3
650	32	g_ingame_bridgeup	3
651	32	g_ingame_boxborn	3
652	32	g_ingame_boxbaozha	3
653	32	g_ingame_move1	3
654	32	g_ingame_move2	3
655	32	g_ingame_move3	3
656	32	g_ingame_laser	3
657	32	g_ingame_fly_hit1	3
658	32	g_ingame_fly_hit2	3
659	32	g_ingame_fly_hit3	3
660	32	g_ingame_fly_fire1	3
661	32	g_ingame_fly_fire2	3
662	32	g_ingame_fly_fire3	3
663	77	g_ingame_hongbaochuxian	3
664	77	g_ingame_baozhu	3
665	77	g_ingame_yuanxiao	3
666	77	g_ingame_yuanxiao_shouji	3
667	77	g_ingame_denglong	3
668	77	g_ingame_swordmd_energyfull	3
669	77	g_ingame_shieldbreak	3
670	32	g_ingame_fly_shouji	3
671	32	g_ingame_fly_tuowei	3
672	32	g_ingame_fly_penshe	3
673	32	g_ingame_suodi	1
674	32	g_ingame_ev3_doordown	1
675	32	g_ingame_ev3_elevator	1
676	32	g_ingame_ev3_dooropen	1
677	32	g_ingame_ev3_camera	1
678	32	g_ingame_ev3_jiguan	1
679	68	g_ui_weapon_kuluomuliandao_1	1
680	68	g_ui_weapon_kuluomuliandao_2	1
681	68	g_ui_weapon_kuluomuliandao_3	1
682	68	g_ui_weapon_kuluomuliandao_4	1
683	68	g_ui_weapon_aila_1	1
684	68	g_ui_weapon_aila_2	1
685	68	g_ui_weapon_aila_3	1
686	68	g_ui_weapon_aila_4	1
687	68	g_ui_weapon_bianka3_1	1
688	68	g_ui_weapon_bianka3_2	1
689	68	g_ui_weapon_bianka3_3	1
690	68	g_ui_weapon_bianka3_4	1
691	68	g_ui_weapon_sufeiya_1	1
692	68	g_ui_weapon_sufeiya_2	1
693	68	g_ui_weapon_sufeiya_3	1
694	68	g_ui_weapon_sufeiya_4	1
695	68	g_ui_weapon_dubian_1	1
696	68	g_ui_weapon_dubian_2	1
697	68	g_ui_weapon_dubian_3	1
698	68	g_ui_weapon_dubian_4	1
699	32	g_ingame_qianxing_yingyan	3
700	32	g_ingame_qianxing_wenhao	3
701	32	g_ingame_qianxing_gantanhao	3
702	32	g_ingame_qianxing_ansha	3
703	32	g_ingame_qianxing_koushao	3
704	32	g_ingame_qianxing_yingyanpingmu	3
705	32	g_ingame_qianxing_wenhaopingmu	3
706	32	g_ingame_qianxing_gantanhaopingmu	3
707	68	g_ui_weapon_binglu_1	1
708	68	g_ui_weapon_binglu_2	1
709	68	g_ui_weapon_binglu_3	1
710	68	g_ui_weapon_binglu_4	1
711	77	g_ingame_bingbao	3
712	32	g_ingame_qianxing_kuro_born	3
713	32	g_ingame_qianxing_kuro_yinshen	3
714	32	g_ingame_qianxing_kuro_attack01	3
715	32	g_ingame_qianxing_kuro_tuichang	3
716	32	g_ingame_qianxing_hongwaixian	3
717	32	g_ingame_qianxing_ganyingqilinebaozha	3
718	32	g_ingame_qianxing_dianji	3
719	32	g_ingame_qianxing_ganyingqilinepohuai	3
720	32	g_ingame_qianxing_peiyangmin_jihuo	3
721	32	g_ingame_qianxing_peiyangmin_01	3
722	32	g_ingame_qianxing_peiyangmin	3
723	32	g_ingame_ev5_fire	3
724	32	g_ingame_ev5_fire_end	3
725	32	g_ingame_ev5_miehuoqi	3
726	32	g_ingame_ev5_shengjianji_down	1
727	32	g_ingame_ev5_opendoor	1
728	32	g_ingame_ev5_closedoor	1
729	32	g_ingame_ev5_yali_1	1
730	32	g_ingame_ev5_yali_2	1
731	32	g_ingame_ev5_tong_up	1
732	32	g_ingame_ev5_tong_roll_1	3
736	32	g_ingame_ev5_shengjianji_up	1
737	32	g_ingame_ev5_hongzha	3
738	32	g_ingame_ev5_shitouposui_1	3
739	32	g_ingame_ev5_shitouposui_2	3
740	32	g_ingame_ev5_zhangaixiajiang	1
741	32	g_ingame_ev5_zhangaishangsheng	1
742	32	g_ingame_ev5_pingfengzhankai	1
743	32	g_ingame_ev5_pingfengzhedie	1
