Id	Type	Url
1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png
2	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png
3	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png
4	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png
5	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png
6	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png
7	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png
8	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
9	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png
10	4	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka2SS.png
11	5	Assets/Product/Texture/Image/RoleCharacter/LifuyongzhuangNormal01.png
12	6	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png
13	6	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png
14	2	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png
15	2	Assets/Product/Texture/Image/RoleCharacter/BalaswordNomal.png
16	2	Assets/Product/Texture/Image/RoleCharacter/BudaozheNormal01.png
17	2	Assets/Product/Texture/Image/RoleCharacter/DiaorensanxingNormal01.png
18	2	Assets/Product/Texture/Image/RoleCharacter/FenjiezheNormal01.png
19	2	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png
20	2	Assets/Product/Texture/Image/RoleCharacter/JinweiNormal01.png
21	2	Assets/Product/Texture/Image/RoleCharacter/LangrenNormal01.png
22	2	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png
23	2	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png
