Id	RowNumber[1]	RowNumber[2]	RowNumber[3]	
1	1|2|3|4|5|6|7|8|9|10	11|12|13|14|15|16|17|18|19|20	21|22|23|24|25	
2	1|2|3|4|5|6|7|8|9|10	21|22|23|24|25	11|12|13|14|15|16|17|18|19|20	
3	11|12|13|14|15|16|17|18|19|20	1|2|3|4|5|6|7|8|9|10	21|22|23|24|25	
4	11|12|13|14|15|16|17|18|19|20	21|22|23|24|25	1|2|3|4|5|6|7|8|9|10	
5	21|22|23|24|25	11|12|13|14|15|16|17|18|19|20	1|2|3|4|5|6|7|8|9|10	
6	21|22|23|24|25	1|2|3|4|5|6|7|8|9|10	11|12|13|14|15|16|17|18|19|20	
7	11|12|13|14|15|16|17|18|19|20	11|12|13|14|15|16|17|18|19|20	11|12|13|14|15|16|17|18|19|20	
8	61|62|63|64|65	61|62|63|64|65	26	
9	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	61|62|63|64|65	
10	1|2|3|4|5|6|7|8|9|10	61|62|63|64|65	1|2|3|4|5|6|7|8|9|10	
11	61|62|63|64|65	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	
12	31|32|33|34|35|36|37|38|39|40	11|12|13|14|15|16|17|18|19|20	11|12|13|14|15|16|17|18|19|20	
13	11|12|13|14|15|16|17|18|19|20	31|32|33|34|35|36|37|38|39|40	11|12|13|14|15|16|17|18|19|20	
14	11|12|13|14|15|16|17|18|19|20	11|12|13|14|15|16|17|18|19|20	31|32|33|34|35|36|37|38|39|40	
15	1|2|3|4|5|6|7|8|9|10	41|42|43|44|45	11|12|13|14|15|16|17|18|19|20	
16	11|12|13|14|15|16|17|18|19|20	1|2|3|4|5|6|7|8|9|10	41|42|43|44|45	
17	41|42|43|44|45	11|12|13|14|15|16|17|18|19|20	1|2|3|4|5|6|7|8|9|10	
18	46|47|48|49|50|51|52|53|54|55	1|2|3|4|5|6|7|8|9|10	11|12|13|14|15|16|17|18|19|20	
19	11|12|13|14|15|16|17|18|19|20	46|47|48|49|50|51|52|53|54|55	1|2|3|4|5|6|7|8|9|10	
20	1|2|3|4|5|6|7|8|9|10	11|12|13|14|15|16|17|18|19|20	46|47|48|49|50|51|52|53|54|55	
21	1|2|3|4|5|6|7|8|9|10	56|57|58|59|60	1|2|3|4|5|6|7|8|9|10	
22	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	56|57|58|59|60	
23	56|57|58|59|60	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	
24	61|62|63|64|65	61|62|63|64|65	61|62|63|64|65	
25	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	
26	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	66	
27	1|2|3|4|5|6|7|8|9|10	66	1|2|3|4|5|6|7|8|9|10	
28	66	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	
29	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	67|68|69|70|71	
30	1|2|3|4|5|6|7|8|9|10	67|68|69|70|71	1|2|3|4|5|6|7|8|9|10	
31	67|68|69|70|71	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	
32	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10	1|2|3|4|5|6|7|8|9|10
