Id	HeadId[1]	HeadId[2]	HeadId[3]	HeadId[4]	HeadId[5]
1	2	2	1	1	1
2	2	1	2	1	1
3	2	1	1	2	1
4	2	1	1	1	2
5	1	2	2	1	1
6	1	2	1	2	1
7	1	2	1	1	2
8	1	1	2	2	1
9	1	1	2	1	2
10	1	1	1	2	2
11	2	2	2	1	1
12	2	2	1	2	1
13	2	2	1	1	2
14	2	1	2	2	1
15	2	1	2	1	2
16	2	1	1	2	2
17	1	2	2	2	1
18	1	2	2	1	2
19	1	2	2	2	1
20	1	1	2	2	2
21	2	2	2	2	1
22	2	2	2	1	2
23	2	2	1	2	2
24	2	1	2	2	2
25	1	2	2	2	2
26	1	1	3	1	1
27	2	4	4	1	1
28	2	4	1	4	1
29	2	1	4	1	4
30	4	1	2	4	1
31	5	2	2	1	1
32	5	2	1	2	1
33	2	5	1	1	2
34	2	1	5	2	1
35	2	1	2	1	5
36	2	1	1	5	2
37	1	5	2	2	1
38	1	2	5	1	2
39	1	2	2	5	1
40	1	1	2	2	5
41	5	2	2	2	1
42	2	5	2	1	2
43	2	2	1	5	2
44	2	1	5	2	2
45	1	2	2	2	5
46	6	2	2	1	1
47	6	2	1	2	1
48	2	6	1	1	2
49	2	1	6	2	1
50	2	1	2	1	6
51	2	1	1	6	2
52	1	6	2	2	1
53	1	2	6	1	2
54	1	2	2	6	1
55	1	1	2	2	6
56	6	2	2	2	1
57	2	6	2	1	2
58	2	2	1	6	2
59	2	1	6	2	2
60	1	2	2	2	6
61	2	1	1	1	1
62	1	2	1	1	1
63	1	1	2	1	1
64	1	1	1	2	1
65	1	1	1	1	2
66	1	4	1	1	1
67	5	5	1	1	2
68	1	5	5	2	1
69	1	2	5	5	1
70	2	1	1	5	5
71	5	1	2	1	5
