Id	Weight	MinDis	MaxDis	CharacterIds[1]	CharacterIds[2]	State[1]	State[2]
1	10	1	7	1011002	1021001	LOVE	LOVE
2	10	1	7	1011002	1031001	LOVE	LOVE
3	10	1	7	1021001	1031001	LOVE	LOVE
4	10	1	7	1021001	1011003	LOVE	LOVE
5	10	1	7	1021001	1061003	LOVE	LOVE
6	10	1	7	1031001	1011002	LOVE	LOVE
7	10	1	7	1031001	1021001	LOVE	LOVE
8	10	1	7	1031001	1081002	LOVE	LOVE
9	10	1	7	1041002	1021001	LOVE	LOVE
10	10	1	7	1041002	1031002	LOVE	LOVE
11	10	1	7	1051001	1021001	LOVE	LOVE
12	10	1	7	1051001	1031001	LOVE	LOVE
13	10	1	7	1051001	1041002	LOVE	LOVE
14	10	1	7	1061002	1031001	LOVE	LOVE
15	10	1	7	1061002	1021001	LOVE	LOVE
16	10	1	7	1061002	1081002	LOVE	LOVE
17	10	1	7	1071002	1071003	LOVE	LOVE
18	10	1	7	1071002	1041002	LOVE	LOVE
19	10	1	7	1081002	1061002	LOVE	LOVE
20	10	1	7	1081002	1031001	LOVE	LOVE
21	10	1	7	1081002	1011003	LOVE	LOVE
22	10	1	7	1021002	1031002	LOVE	LOVE
23	10	1	7	1021002	1011003	LOVE	LOVE
24	10	1	7	1021002	1061003	LOVE	LOVE
25	10	1	7	1031002	1021002	LOVE	LOVE
26	10	1	7	1031002	1061002	LOVE	LOVE
27	10	1	7	1061003	1031002	LOVE	LOVE
28	10	1	7	1061003	1021001	LOVE	LOVE
29	10	1	7	1061003	1011003	LOVE	LOVE
30	10	1	7	1031003	1021002	LOVE	LOVE
31	10	1	7	1031003	1011003	LOVE	LOVE
32	10	1	7	1011003	1021002	LOVE	LOVE
33	10	1	7	1011003	1031001	LOVE	LOVE
34	10	1	7	1011003	1061003	LOVE	LOVE
35	10	1	7	1071003	1031003	LOVE	LOVE
36	10	1	7	1071003	1041002	LOVE	LOVE
37	10	4	7	1011002	1061002	HATE	HATE
38	10	4	7	1021001	1071002	HATE	HATE
39	10	4	7	1051001	1081002	HATE	HATE
40	10	4	7	1071002	1081002	HATE	HATE
41	10	4	7	1061003	1011002	HATE	HATE
42	10	1	7	1051003	1031001	LOVE	LOVE
43	10	1	7	1051003	1041002	LOVE	LOVE
44	10	4	7	1021003	1021001	HATE	HATE
45	10	4	7	1021003	1021002	HATE	HATE
46	10	4	7	1081003	1041002	HATE	HATE
47	10	1	7	1091002	1011002	LOVE	LOVE
48	10	1	7	1091002	1021001	LOVE	LOVE
49	10	1	7	1091002	1031001	LOVE	LOVE
50	10	1	7	90220	90370	LOVE	LOVE
51	10	1	7	1111002	1011002	LOVE	LOVE
52	10	1	7	1111002	1031001	LOVE	LOVE
54	10	1	7	81600	1021003	LOVE	LOVE
55	10	1	7	81600	1061002	LOVE	LOVE
56	10	1	7	81500	1091002	LOVE	LOVE
57	10	4	7	81500	1011002	HATE	HATE
58	10	1	7	92030	1111002	LOVE	LOVE
59	10	1	7	1041003	1071002	LOVE	LOVE
60	10	1	7	1041003	1071003	LOVE	LOVE
61	10	4	7	1041003	1081003	HATE	HATE
62	10	4	7	1041003	1081002	HATE	HATE
63	10	1	7	1121002	1061003	LOVE	LOVE
64	10	1	7	1121002	1061002	LOVE	LOVE
65	10	1	7	92670	1091002	LOVE	LOVE
66	10	1	7	92670	1041003	LOVE	LOVE
67	10	1	7	92670	1041002	LOVE	LOVE
68	10	1	7	813000	1021001	LOVE	LOVE
69	10	1	7	813000	1031001	LOVE	LOVE
70	10	1	7	813000	1011002	LOVE	LOVE
71	10	1	7	1000000	1041002	LOVE	LOVE
72	10	1	7	1000000	1011002	LOVE	LOVE
73	10	4	7	1000000	1071002	HATE	HATE
74	10	4	7	1000000	1051003	HATE	HATE
75	10	1	7	1021004	1011003	LOVE	LOVE
76	10	1	7	1021004	1031001	LOVE	LOVE
77	10	4	7	1131002	81600	HATE	HATE
78	10	1	7	1511003	1061002	LOVE	LOVE
79	10	1	7	1511003	1061003	LOVE	LOVE
80	10	4	7	1511003	81600	HATE	HATE
81	10	1	7	1141003	1021004	LOVE	LOVE
82	10	1	7	1141003	1011003	LOVE	LOVE
83	10	1	7	1141003	1031001	LOVE	LOVE
