Group	WordsIndex	Text	Duration[1]	Duration[2]	Duration[3]	Duration[4]	CvId
1001	1	This frame has yet to receive its final calibrations.	3	3	3	3	100000002
1001	2	"Even if you re-read the data afterwards, you would only experience it as the actions of another, not your own."	7	7	7	7	100000003
1001	3	"That is to say, after this battle..."	4	4	4	4	100000004
1001	4	...I will no longer be myself.	2	2	2	2	100000005
1002	1	This frame has yet to receive its final calibrations.	3	3	3	3	100000002
1002	2	"Even if you re-read the data afterwards, you would only experience it as the actions of another, not your own."	7	7	7	7	100000003
1002	3	"That is to say, after this battle..."	4	4	4	4	100000004
1002	4	...I will no longer be myself.	2	2	2	2	100000005
112012501	1	This frame has yet to receive its final calibrations.	3	3	3	3	100000002
112012501	2	"Even if you re-read the data afterwards, you would only experience it as the actions of another, not your own."	7	7	7	7	100000003
112012501	3	"That is to say, after this battle..."	4	4	4	4	100000004
112012501	4	...I will no longer be myself.	2	2	2	2	100000005
112012502	1	You would go to such lengths? Then I'll give you my all.	7.5	7.5	7.5	7.5	100000059
112012502	2		3	3	3	3	
112012502	3	You will never hurt... Commandant!	4	4	4	4	100000007
112012503	1	I still... remember...	4	4	4	4	100000008
112012503	2	"The times we all spent together... The awakening machines, and the infected Tifa."	10	10	10	10	100000009
112012503	3	"I feel grave sadness for them... But there was nothing I can do, but to defeat them."	6	6	6	6	100000010
112012504	1	 	5.7	5.7	5.7	5.7	
112012504	2	Are you trying to take me with you?!	2	2	2	2	100000060
112012504	3	 	0.2	0.2	0.2	0.2	
112012504	4	If this is the only way!	3.8	3.8	3.8	3.8	100000012
112012504	5	"Commandant, please allow me...!"	6	6	6	6	100000013
112012505	1	"I still remember... the sister who took care of me, and Camu who appeared after Kamui's corruption."	6	6	6	6	100000014
112012505	2	They dread this world because of the madness the virus brings.	4	4	4	4	100000015
112012505	3	So I told them what I learnt from Commandant.	4	4	4	4	100000016
112012505	4	You can't survive alone.	5	5	5	5	100000017
112012506	1	"No matter how this battle ends, ""you"" will fade from this world, ""you"" will no longer exist——"	8	8	8	8	100000062
112012506	2	Is not ending it here the best possible outcome?	6	6	6	6	100000063
112012507	1	I won't fade.	2	2	2	2	100000018
112012507	2	"No matter what happens, I will always, always be with you, Commandant!"	5	5	5	5	100000019
112012508	1	<color=#000000>Commandant—</color>	2	2	2	2	100000023
112012508	2	 	1.5	1.5	1.5	1.5	
112012508	3	I wanted to escort the commandant out of here.	7.5	7.5	7.5	7.5	100000021
112012508	4	But it looks like... I...	5	5	5	5	100000022
150201601	1	It matters not if the merging halts!	3.2	3.2	3.2	3.2	100000064
150201601	2	I'll destroy the ARU. I'll get to live!	5.8	5.8	5.8	5.8	100000065
150201602	1	...Ugh!	1	1	1	1	100000074
150201603	1	"Looks like that commandant is having some trouble in my M.I.N.D., ahahahaha!"	7.4	7.4	7.4	7.4	100000067
150201603	2	End your pointless struggle. Then die!	4	4	4	4	100000068
150201603	3		0.8	0.8	0.8	0.8	
150201603	4	I won't give up...!	1.3	1.3	1.3	1.3	100000075
150201604	1	Cough... Don't think I won't retaliate!	6	6	6	6	100000069
150201604	2	"How, she's...!"	4	4	4	4	100000076
150201605	1		0.4	0.4	0.4	0.4	
150201605	2	But if I follow what Commandant says...	3	3	3	3	100000077
150201605	3		0.45	0.45	0.45	0.45	
150201605	4	There!	1	1	1	1	100000078
150201606	1		0.3	0.3	0.3	0.3	
150201606	2	...Ugh!	1	1	1	1	100000074
150201606	3		0.5	0.5	0.5	0.5	
150201606	4	Ngh... It's too late!	2.2	2.2	2.2	2.2	100000079
150201607	1		1	1	1	1	
150201607	2	Let's end it here!	1.5	1.5	1.5	1.5	100000082
150201608	1		1.2	1.2	1.2	1.2	
150201608	2	FALL!	1.4	1.4	1.4	1.4	100000084
150201609	1		0.1	0.1	0.1	0.1	
150201609	2	This is... within my striking range!	3.6	3.6	3.6	3.6	100000083
150201610	1	Stop that narwhal's wails! Stop!	7	7	7	7	100000066
150201611	1	It's not... OVER!!!	4	4	4	4	100000070
150201612	1	"...Commandant, let's end this nightmare."	4.2	4.2	4.2	4.2	100000073
313271601	1	Lloyd	0.3	0.3	0.3	0.3	
313271601	2	Lloyd the	0.3	0.3	0.3	0.3	
313271601	3	Lloyd the Undying	0.3	0.3	0.3	0.3	
313271601	4	Lloyd the Undying Hero	0.8	0.8	0.8	0.8	
313271601	5	Lloyd the Undying Hero defeated	0.3	0.3	0.3	0.3	
313271601	6	Lloyd the Undying Hero defeated the	0.3	0.3	0.3	0.3	
313271601	7	Lloyd the Undying Hero defeated the mighty	0.3	0.3	0.3	0.3	
313271601	8	Lloyd the Undying Hero defeated the mighty enemy	0.8	0.8	0.8	0.8	
313271601	9	Lloyd the Undying Hero defeated the mighty enemy and	0.3	0.3	0.3	0.3	
313271601	10	Lloyd the Undying Hero defeated the mighty enemy and saved	0.3	0.3	0.3	0.3	
313271601	11	Lloyd the Undying Hero defeated the mighty enemy and saved all	0.3	0.3	0.3	0.3	
313271601	12	Lloyd the Undying Hero defeated the mighty enemy and saved all his	0.3	0.3	0.3	0.3	
313271601	13	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades.	0.8	0.8	0.8	0.8	
313271601	14	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not	0.3	0.3	0.3	0.3	
313271601	15	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not even	0.3	0.3	0.3	0.3	
313271601	16	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not even one	0.3	0.3	0.3	0.3	
313271601	17	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not even one life	0.3	0.3	0.3	0.3	
313271601	18	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not even one life was	0.3	0.3	0.3	0.3	
313271601	19	Lloyd the Undying Hero defeated the mighty enemy and saved all his comrades. Not even one life was lost.	3	3	3	3	
313271601	20	b	0.3	0.3	0.3	0.3	
313271601	21	by	0.3	0.3	0.3	0.3	
313271601	22	by 	0.3	0.3	0.3	0.3	
313271601	23	by L	0.3	0.3	0.3	0.3	
313271601	24	by Ll	0.3	0.3	0.3	0.3	
313271601	25	by Llo	0.3	0.3	0.3	0.3	
313271601	26	by Lloy	0.3	0.3	0.3	0.3	
313271601	27	by Lloyd	9999	9999	9999	9999	
15031701	1	...Thanks.	1	1	1	1	
15031701	2	I would like to think that... I made this decision myself.	2	2	2	2	
15031702	1	"Even if you refuse, I must end myself here."	1.5	1.5	1.5	1.5	
15031703	2	Because I'm... Kowloong City's...	1.5	1.5	1.5	1.5	
1013012601	1	Even if I have to resort to violence...	2	2	2	2	
1013012601	2	I must keep you here...	2	2	2	2	
15041001	1	I am the Alpha and the Omega. I am the arbiter. I am everything.	11	11	11	11	100000106
15041002	1	I am the cunning fox. I am the dreadful lion.	7	7	7	7	100000107
15041003	1	I buried Father. I built his kingdom.\nI released blood and the beasts sealed in Heaven. I crowned the champion.	15	15	15	15	100000108
15041004	1	"To bring Father back to Earth, I crown the champion."	8	8	8	8	100000109
15041005	1	"However, there is no champion here."	7	7	7	7	100000110
15041006	1	"There was no champion last time, or the time before."	10	10	10	10	100000111
15041007	1	"Every time, I destroy Father's city and rebuild it again."	9	9	9	9	100000112
15041008	1	"Every time, I release blood and the beasts sealed in Heaven. I crown the champion."	11	11	11	11	100000113
1501061201	1	It hurts! It hurts! It huuuurts!	2	2	2	2	
1501061201	2	"Hehe... hehehe... You poor things, do you think that is it?!"	2	2	2	2	
1501061201	3	I will crush you all!	2	2	2	2	
1015011601	1		0.3	0.3	0.3	0.3	100000162
1015011601	2	Sink... till the bottom of this sea.	6.5	6.5	6.5	6.5	
1015011602	1		0.1	0.1	0.1	0.1	100000163
1015011602	2	Everything crumbles and falls...	4	4	4	4	
1015011603	1		0.3	0.3	0.3	0.3	100000164
1015011603	2	I... I can no longer go back!	4	4	4	4	
1015011604	1		0.1	0.1	0.1	0.1	100000165
1015011604	2	Let the ocean bury you!	5	5	5	5	
1016011301	1		0.6	0.6	0.6	0.6	100000184
1016011301	2	"They will seek, understand,"	2.2	2.2	2.2	2.2	
1016011301	3	and possess sentiments once only known to humankind.	3.2	3.2	3.2	3.2	
1016011302	1		0.7	0.7	0.7	0.7	100000185
1016011302	2	"They will learn, abolish,"	3	3	3	3	
1016011302	3	and replace humanity's dated ideas of the world.	3.6	3.6	3.6	3.6	
1017011201	1	<color=#33FF00>After　　　　　　　　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the　　　　　　　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the horde　　　　　　\n　　    　　　         　</color>	0.3	0.3	0.3	0.3	
1017011201	1	<color=#33FF00>After the horde of　　　　　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the horde of Corrupted　　　　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged　　　\n　　    　　　         　</color>	0.3	0.3	0.3	0.3	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the　　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire　\n　　    　　　         　</color>	0.2	0.2	0.2	0.2	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　　    　　　         　</color>	2	2	2	2	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day    　　　         　</color>	0.3	0.3	0.3	0.3	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 5  　　　         　</color>	0.15	0.15	0.15	0.15	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 55　　　         　</color>	1.15	1.15	1.15	1.15	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 55　　0       　</color>	0.15	0.15	0.15	0.15	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 55　　08:    　</color>	0.3	0.3	0.3	0.3	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 55　　08:3  　</color>	0.15	0.15	0.15	0.15	
1017011201	1	<color=#33FF00>After the horde of Corrupted ravaged the entire world\n　Day 55　　08:30  　</color>	2	2	2	2	
1017012501	1	The will of the Punishing Virus has corrupted the Signal Orbs?!	3.5	3.5	3.5	3.5	100000243
1017012501	1	Torrent<//FUSION>…… Hope <//DESPAIR>…	3.5	3.5	3.5	3.5	100000261
1017012501	1	"It's using the contaminated Signal Orbs as its power! Leave, Lucia!"	6	6	6	6	100000239
1017012502	1	Garghhh—!	3	3	3	3	100000244
1017012503	1	Lucia!	1.5	1.5	1.5	1.5	100000240
1017012504	1	Embrace <//REJECTION>... Annihilate <//REBIRTH>...	5	5	5	5	100000262
1017012505	1	The Punishing Virus is gathering. At this rate...	4.5	4.5	4.5	4.5	100000245
1017012505	1		4	4	4	4	100000263
1017012505	1	I can... stop it...!	5	5	5	5	100000241
1017012506	1	"I entrust the hope to you, Lucia..."	4	4	4	4	100000242
1017012507	1	Give Liv back to us!	4	4	4	4	100000246
301311220	1	"If only we could have peace soon, that'd be nice."	3.5	3.5	3.5	3.5	
301311220	2	Then we could go on a trip together.	5	5	5	5	
301311221	1	I will never change my decision no matter what.	4	4	4	4	
301311221	2	I'll be by your side. That is our promise.	4	4	4	4	
301311222	1	Will you hold my hand? 	2	2	2	2	
