Id	FirstTagId	TagName	Order	ChapterType[1]	ChapterType[2]	ChapterType[3]	ChapterType[4]	ChapterType[5]	Bg
1	3	Floating Record	1	76					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg1.png
2	3	Event Record	2	75					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg2.png
3	3	Extra Story	3	74					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg3.png
4	3	Interlude	4	77					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg4.png
5	4	Study Course	1	72	14	47	80		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenYanxiBg1.png
6	5	BP Training	1	73					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenZiyuanBg1.png
7	5	Character Shard	2	78					Assets/Product/Texture/Image/UiNewFuBen/NewFuBenZiyuanBg1.png
8	6	Regular Challenge	1	5	7	10	44		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png
9	6	Special Challenge	2	71	9	28	11		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png
10	6	Alternative Interpretation	3	60	81				Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png
