Id	Name	Icon	Description
110004	Fused Armor	Assets/Product/Texture/Image/IconAffix/AffixIconRongjia1.png	Extra DMG Reduction decreases by 50% when taking DMG from Tank Omniframes.
33101	Deterioration	Assets/Product/Texture/Image/IconAffix/AffixIconLuehua.png	When the enemy deals DMG, the healing received by the target is reduced by 50% for 3s.
32131	Lightning Shield	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	Every time the enemy gets hit, has a 10% chance to call down a lightning strike upon the attacker, dealing Lightning DMG equal to 20% of its ATK.
32101	Lone Wolf	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	If there are fewer than 3 companions around the enemy, its Extra DMG Bonus increases by 10% (up to 30%) for each companion lost.
32112	Commander II	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	The enemy's Extra DMG Bonus increases by 10% for each companion around. Stacks up to 3 times.
110001	Penetration III	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	The enemy will reduce the target's Extra DMG Reduction by 5% when dealing DMG. Stacks up to 10 times. Each stack lasts 10s.
32071	Radiation I	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	The enemy will deal Physical DMG equal to 1% of its ATK to nearby targets per second.
32072	Radiation II	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	The enemy will deal Physical DMG equal to 2% of its ATK to nearby targets per second.
32073	Radiation III	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	The enemy will deal Physical DMG equal to 3% of its ATK to nearby targets per second.
32031	Berserk I	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	The enemy's attacking desire increases by 33%. When dealing DMG, has a 20% chance to deal 33% Extra DMG.
32032	Berserk II	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	The enemy's attacking desire increases by 66%. When dealing DMG, has a 40% chance to deal 33% Extra DMG.
32033	Berserk III	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	The enemy's attacking desire increases by 100%. When dealing DMG, has a 60% chance to deal 33% Extra DMG.
32011	Recovery I	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	The enemy will recover 1% of max HP per second.
32012	Recovery II	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	The enemy will recover 2% of max HP per second.
32013	Recovery III	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	The enemy will recover 3% of max HP per second.
110007	Attack Boost II	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	The enemy's ATK increases by 20%.
110008	Attack Boost III	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	The enemy's ATK increases by 30%.
33001	Flash	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	The enemy will teleport toward the target every 10s.
33032	Black Hole II	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong.png	The enemy will pull the player in every 12s.
33033	Black Hole	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong.png	The enemy will pull the player in every 8s.
33062	Freeze II	Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png	Each enemy attack has a 60% chance to deal an additional 10% Ice DMG and freeze the target for 1s.
32042	Bomb	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	The enemy will explode and deal Physical DMG equal to 45% of its ATK to nearby units before it dies.
32043	Bomb	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	The enemy will explode and deal Physical DMG equal to 45% of its ATK to nearby units before it dies.
33123	Backfire III	Assets/Product/Texture/Image/IconAffix/AffixIconFanshi.png	The enemy will generate an energy shield that deals 10% Physical DMG to the attackers. Lasts 3s. 16s cooldown.
110002	Barrier	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	Receives a permanent shield equal to 15% of current HP. Becomes immune to attacks while the shield is active. Removes the shield after taking a certain amount of damage. It will reactivate in 15s.
