Id	GroupId	StageIndex	PreShowIndex[1]	PreShowIndex[2]	PreShowIndex[3]
1	1	1			
2	1	2	1		
3	1	3	2		
4	1	4	1		
5	1	5	3	4	
6	1	6	5		
7	1	7	6		
8	1	8	7		
9	1	9	5		
10	1	10	9		
11	1	11	9		
12	1	12	10	11	
13	1	13	3	4	
14	1	14	13		
15	1	15	8	12	14
16	1	16	15		
17	1	17	16		
18	1	18	17		
19	1	19	15		
20	1	20	19		
21	1	21	20		
22	1	22	15		
23	1	23	14	22	
24	1	24	23		
25	1	25	18	21	24
26	1	26	25		
27	2	1			
28	2	2	1		
29	2	3	2		
30	2	4	3		
31	2	5	4		
32	2	6	5		
33	2	7	6		
34	3	1			
35	3	2	1		
36	3	3	2		
37	3	4	1		
38	3	5	3	4	
39	3	6	5		
40	3	7	6		
41	3	8	7		
42	3	9	5		
43	3	10	9		
44	3	11	9		
45	3	12	10	11	
46	3	13	3	4	
47	3	14	13		
48	3	15	8	12	14
49	3	16	15		
50	3	17	16		
51	3	18	17		
52	3	19	15		
53	3	20	19		
54	3	21	20		
55	3	22	15		
56	3	23	14	22	
57	3	24	23		
58	3	25	18	21	24
59	3	26	25		
