Id	EventEffect	EventIcon	EventParams[1]	EventParams[2]	EventParams[3]	EventParams[4]	EventParams[5]
10170102		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	City 043 Conservation Area Basement				
10170103		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon016.png	Negotiation and Cooperation				
10170104		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	City 043 Conservation Area Basement				
10170105		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	City 043 Conservation Area Basement				
10170106		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	Transfer some of the injured to City 045				
10170107		Assets/Product/Texture/Image/RoleCharacter/FannishaNormal02.png	Some of the injured stay in the City 043 Conservation Area				
10170108		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	Transfer "everyone" to City 046				
10170109		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	3 survivors and 1 deceased				
10170110		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	Return to the City 043 Conservation Area				
10170111		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	City 046 Conservation Area				
10170112		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	City 047 Underground Base				
10170113		Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	The Last 13 Days of Liv				
10170114		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon016.png	Gray Raven, Strike Hawk, and Cerberus assemble				
10170115		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png	Asslam has <color=#ff0000>12</color> carriages left	Construct	35	Survivor	587
10170116		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png	Asslam has <color=#ff0000>5</color> carriages left	Construct	23	Survivor	151
10170117		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Asslam has been destroyed.	Construct	12	Survivor	1
10170118		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	The Last Day of Liv				
10170119		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png	Changyu and Sophia are coming.	Hetero Barrage	???		
10170120		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Hold on until the last minute	Hetero Barrage	???	Survivor	5
10170121		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	Hold on until the last minute	Hetero Barrage	???	Survivor	5
10170123		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Hold on until the last minute	Hetero Barrage	???	Survivor	1
10170122		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	The Last 9 Hours of Liv				
10170124		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	05:30 a.m.	Hetero Barrage	???		
10170128		Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon015.png	Her choice	Hetero Barrage	874		
