Id	Life	Attack	Defense	Crit					
1001	2000	1000	1000	500					
1002	2100	1050	1100	525					
1003	2200	1100	1200	550					
1004	2300	1150	1300	575					
1005	2400	1200	1400	600					
1006	2500	1250	1500	625					
1007	2600	1300	1600	650					
1008	2700	1350	1700	675					
1009	2800	1400	1800	700					
1010	2900	1450	1900	725					
1011	3000	1500	2000	750					
1012	3100	1550	2100	775					
1013	3200	1600	2200	800					
1014	3300	1650	2300	825					
1015	3400	1700	2400	850					
1016	3500	1750	2500	875					
1017	3600	1800	2600	900					                     
1018	3700	1850	2700	925					
1019	3800	1900	2800	950					
1020	4000	2000	3000	1000					
2001	2000	1000	1000	500					
2002	2100	1050	1100	525					
2003	2200	1100	1200	550					
2004	2300	1150	1300	575					
2005	2400	1200	1400	600					
2006	2500	1250	1500	625					
2007	2600	1300	1600	650					
2008	2700	1350	1700	675					
2009	2800	1400	1800	700					
2010	2900	1450	1900	725					
2011	3000	1500	2000	750					
2012	3100	1550	2100	775					
2013	3200	1600	2200	800					
2014	3300	1650	2300	825					
2015	3400	1700	2400	850					
2016	3500	1750	2500	875					
2017	3600	1800	2600	900					
2018	3700	1850	2700	925					
2019	3800	1900	2800	950					
2020	4000	2000	3000	1000					
