Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents[1]	TeachingContents[2]	TeachingContents[3]	TeachingContents[4]	TeachingContents[5]	TeachingContents[6]	TeachingContents[7]	TeachingContents[8]	TeachingContents[9]	TeachingContents[10]	BuffSuggestAbility
32092	<color=#34aff9><size=34>Blessing III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png		Machiavelli will summon 2 <color=#34aff9>Iron Thorns</color> for every 25% HP lost. The Iron Thorns will destroy the platform in 35s.	text: <color=#34aff9>Iron Thorn:</color>	Assets/Product/Texture/Image/UiBabelTower/BgFightTieji.png									
32093	<color=#34aff9><size=34>Blessing III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32101	<color=#34aff9><size=34>Solo</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png		When the enemy has less then 3 allies nearby, gain 10% Extra DMG for each missing ally (max 30%)											
32111	<color=#34aff9><size=34>Command I</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png		For every ally the enemy has nearby, you gain 5% Extra DMG (max 3 stacks)											
32112	<color=#34aff9><size=34>Command II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32112.png		For every ally the enemy has nearby, you gain 10% Extra DMG (max 3 stacks)											
32113	<color=#34aff9><size=34>Command III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32113.png		For every ally the enemy has nearby, you gain 15% Extra DMG (max 3 stacks)											
32121	<color=#34aff9><size=34>Penetration</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png		Each time the enemy hits lose 3% DEF for 10s (max 10 stacks)											
32122	<color=#34aff9><size=34>Penetration II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32123	<color=#34aff9><size=34>Penetration III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32131	<color=#34aff9><size=34>Lightning Shield</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png		Whenever the enemy is attacked, there is a 10% chance to trigger a lightning bolt (CD: 5s).											
32132	<color=#34aff9><size=34>Lightning Shield II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32133	<color=#34aff9><size=34>Lightning Shield III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32141	<color=#34aff9><size=34>Wave II<</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		A shockwave will be created when an enemy stands up, sending nearby enemies flying (CD:18s)											
32142	<color=#34aff9><size=34>Wave II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		A shockwave will be created when an enemy stands up, sending nearby enemies flying (CD:14s)											
32143	<color=#34aff9><size=34>Wave III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		A shockwave will be created when an enemy stands up, sending nearby enemies flying (CD:10s)											
