Id	Name	ShowType	Order
1	ATK	1	1
2	ATK	2	2
3	HP	1	3
4	HP	2	4
5	Signature Recovery Efficiency	1	5
6	Signature Recovery Efficiency	2	6
7	Elemental DMG	1	7
8	Elemental DMG	2	8
9	CRIT DMG	1	9
10	CRIT DMG	2	10
11	Healing	1	11
12	Healing	2	12
13	DEF	1	13
14	DEF	2	14
15	DMG Reduction	1	15
16	DMG Reduction	2	16
17	Ignore Resistances	1	17
18	Ignore Resistances	2	18
19	Fire DMG	1	19
20	Fire DMG	2	20
21	Ice DMG	1	21
22	Ice DMG	2	22
23	Dark DMG	1	23
24	Dark DMG	2	24
25	Lightning DMG	1	25
26	Lightning DMG	2	26
27	Physical DMG	1	27
28	Physical DMG	2	28
29	Total DMG	1	29
30	Total DMG	2	30
