Id	Title	Icon	Description	IsEnd	HasLeave	OptionId[1]	OptionId[2]	OptionId[3]	OptionDesc[1]	OptionDesc[2]	OptionDesc[3]
1	Strange Vehicle		You find a car on the shoulder of the road. Its engine seems to need a bit of fuel to get it going.			2	3	4	Check the nearby gas station.	Try to start the abandoned car anyway.	Fill the fuel tank with vital fluid.
2	Strange Vehicle		There is no petrol left in the gas station. You only find some supplies and a bunch of wandering lunatics.	1		1			Continue.		
3	Strange Vehicle		A little petrol flows into the fuel tank. It should now be able to run for a while.	1		2			Continue.		
4	Strange Vehicle		...What is on your mind?	1		3			Continue.		
5	Stalker		The trees rustle and the light flickers. You hear stealthy footsteps behind you... It feels like someone is following you.			6	7	8	Fight whoever it is.	Try to get rid of it.	Distract the stalker.
6	Stalker		You notice a figure hiding behind a streetlight and decide to teach him a lesson.	1		1			Continue.		
7	Stalker		A longer route, but the safest play.	1		2			Continue.		
8	Stalker		You throw some money behind you and run away instantly. The figure does not come after you.	1		3			Continue.		
9	Wrecked Vending Machine		You happen on a wrecked vending machine at the roadside.			10	11	12	Put a coin into it.	Shake it roughly.	Look around.
10	Wrecked Vending Machine		Ding-dong! The vending machine still works! You get some food from it.	1		1			Continue.		
11	Wrecked Vending Machine		The vending machine falls and hits your foot, but you manage to get many supplies.	1		2			Continue.		
12	Wrecked Vending Machine		You pick up some coins in the grass.	1		3			Continue.		
13	Dusty Toy Box		A dusty toy box lies in the corner. It looks like a normal box that nothing will burst out of it.			14	15	16	Search.	Ignore.	Search carefully.
14	Dusty Toy Box		It might be a trap, but you cannot give up any chances to get extra supplies.	1		1			Continue.		
15	Dusty Toy Box		The first rule of survival is you never touch a suspicious box.	1		2			Continue.		
16	Dusty Toy Box		You find some old jewelry.	1		3			Continue.		
17	Strange Figure		A dark figure appears ahead of you. You cannot see his face, but he is clearly digging a hole, mumbling to himself.			18	19	20	Pat him on the shoulder.	Pretend not to see anything and take another route.	You are startled and fall to the ground.
18	Strange Figure		A punch is thrown at your face as you scare him out of his wits. He then offers you help, as a token of apology.	1		1			Continue.		
19	Strange Figure		Although it costs you extra time to bypass him, you feel much safer and find some supplies on your way.	1		2			Continue.		
20	Strange Figure		Your dramatic reaction typically seen in horror movies makes him nod in satisfaction. Your butt hurts so bad.	1		3			Continue.		
21	Forbidden Magic Circle		An ancient magic book lies quietly next to a huge magic circle. It seems that the book records some taboo spells.			22	23	24	View the healing spell.	View the alchemy spell.	View the demon king summoning spell.
22	Forbidden Magic Circle		A white-haired fairy appears from the magic circle. She heals your injuries and, with an impassive expression, charges you for her services. She looks like someone you know, or is it just a feeling of déjà vu?	1		1			Continue.		
23	Forbidden Magic Circle		You obtain some gold from the magic circle. The spell is real, but it can be used once only.	1		2			Continue.		
24	Forbidden Magic Circle		You offer your bright red blood to the magic circle, and the treasure of the demon king appears instantly with a burst of light.	1		3			Continue.		
25	A Priest's Gaze		A priest passes you by and stares at you worriedly. He thinks you are possessed by something unholy.			26	27	28	Plead for an exorcism.	Plead for blessing.	You are the protagonist. You believe you will be all right.
26	A Priest's Gaze		The priest sends for a professional exorcist couple to perform a rite of exorcism.	1		1			Continue.		
27	A Priest's Gaze		The priest gives you a silver necklace that looks remarkably expensive.	1		2			Continue.		
28	A Priest's Gaze		Although bewildered, the priest still casts blessing on you out of concern for your safety.	1		3			Continue.		
29	Bloody Art		The mad artist is holding a rumbling chainsaw. He needs one more arm to complete his "masterwork."			30	31	32	Confront him head-on.	Hide in the cabinet.	Create a diversion.
30	Bloody Art		You manage to take down the mad artist in a tough fight.	1		1			Continue.		
31	Bloody Art		Grumbling to himself, the mad artist searches every cabinet except the ones you are hiding in. You notice something in the corner of your cabinet after the artist has left.	1		2			Continue.		
32	Bloody Art		A brick thrown at the wall draws the mad artist's attention. You take this chance to grab the supplies left aside and leave.	1		3			Continue.		
33	Heavy Rain		A heavy rain suddenly pours down on you with flashes of lightning. You decide to—			34	35	36	Get some rest.	Find a place to wait out the rain.	Keep moving on.
34	Heavy Rain		The rain lasts for a long while. You earn sufficient resting time.	1		1			Continue.		
35	Heavy Rain		You have waited for a long while, but the rain shows no signs of letting up. A hospitable old man invites you to his house until the rain ends.	1		2			Continue.		
36	Heavy Rain		No matter how bad is the weather, it will not stop you from going forward!	1		3			Continue.		
37	Ominous Precognition		A mysterious fortune teller holds a crystal ball, waiting for a question from you.			38	39	40	Ask about the past.	Ask about the future.	Ask about financial tips.
38	Ominous Precognition		The fortune-teller looks at the crystal ball and starts mumbling. All of a sudden, his jaw drops open. "You... you should've been dead. How come you..."	1		1			Continue.		
39	Ominous Precognition		Perhaps your future has overloaded the crystal ball. It breaks in the fortune-teller's hands.	1		2			Continue.		
40	Ominous Precognition		The fortune-teller gives you some tips for earning money. Unfortunately, these tips belong to the Golden Age. They do not work anymore.	1		3			Continue.		
41	Children		"Trick or treat!" You are surrounded by a bunch of kids in a Halloween costume.			42	43	44	Give out candy.	Refuse to give candy.	Trick or treat!
42	Children		The kids grab their candy and leave with great joy.	1		1			Continue.		
43	Children		You learn a lesson that getting rid of a bunch of kids is as difficult as nailing jelly to a tree.	1		2			Continue.		
44	Children		You put on a sheet with two eye holes and join the kids' trick-or-treat parade.	1		3			Continue.		
45	The Killing Begins		A killer, armed with a machete, stands ahead of you and a horde of zombies are chasing behind. No time to hesitate anymore!			46	47	48	Jump into a sewer.	Fight until the bitter end.	Run away as fast as you can.
46	The Killing Begins		"Gee, never thought I would meet someone here." A scruffy journalist beams at you with "sincere" joy.	1		1			Continue.		
47	The Killing Begins		You survive, but at a cost.	1		2			Continue.		
48	The Killing Begins		You toss away some of your belongings to increase your speed.	1		3			Continue.		
49	A Scraggy Mother		A scraggy mother cradles a swaddled baby in her arms. Her baby is sick and she pleads for help.			50	51	52	Check on the baby.	Leave her some supplies.	Leave immediately.
50	A Scraggy Mother		The baby is already dead, but the mother keeps mumbling an unknown nursery rhyme.	1		1			Continue.		
51	A Scraggy Mother		A smile creeps across the mother's face. She appreciates your kindness.	1		2			Continue.		
52	A Scraggy Mother		You leave without doing anything.	1		3			Continue.		
53	Feeding Ground		You decide to hurry through a dangerous area before dusk falls. But many dark figures are wandering around ahead. What attracted them?			54	55	56	Force your way through.	Find a safe route.	Sneak past them.
54	Feeding Ground		Dawn is about to break. You have to break through this area before all the dark figures become drawn to you.	1		1			Continue.		
55	Feeding Ground		You still have a long way to go. If you can avoid danger, it is worth spending even a day to find a safer route.	1		2			Continue.		
56	Feeding Ground		Thanks to Asimov's topographic radar and laser sensors, you manage to get through and find an abandoned supply crate.	1		3			Continue.		
57	Footprints		You follow the smoke and find an abandoned store. The only issue is that it seems like it has already seen visitors.			58	59	60	Search the supply crates.	Investigate the trails of the visitors.	Leave it behind.
58	Footprints		Judging by the supplies they left in the store, they must have gone in a rush.	1		1			Continue.		
59	Footprints		Someone got here ahead of you.	1		2			Continue.		
60	Footprints		You decide to hasten to the next destination.	1		3			Continue.		
61	A Chilling Gaze		The intentionally left tunnel, a pile of rubbish in the corner, the glimmering light in the mist... Someone is probably watching you.			62	63	64	Walk right through it.	Try to walk around it.	Try to disassemble it.
62	A Chilling Gaze		Your worries are not unfound. An ally has also stepped into the same trap. You both took some damage, but at least you are alive.	1		1			Continue.		
63	A Chilling Gaze		Taking the long route is a waste of time and resources, but for the safety of your team, you decide to do it anyway.	1		2			Continue.		
64	A Chilling Gaze		Disassembling it took a longer amount of time than you expected... But the materials you gained from the trap seem to be useful.	1		3			Continue.		
65	Vending Machine		You see a wrecked vending machine far away. A little repair might make it work again...			66	67	68	Kick it.	Repair it.	Leave.
66	Vending Machine		Your kick seems to have made matters worse. Now you have to disassemble the vending machine to take out the supplies inside.	1		1			Continue.		
