Id	Name	IndexInMap	TalentIcon	PrefabPath	Descriptions[1]	Descriptions[2]	Descriptions[3]	Descriptions[4]	Descriptions[5]	Descriptions[6]	Descriptions[7]	Descriptions[8]	Descriptions[9]	Descriptions[10]	Descriptions[11]
1101	Beacon: Power	1	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_001.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	ATK is increased by 0% in Command Bureau challenges.	ATK is increased by 2% in Command Bureau challenges.	ATK is increased by 4% in Command Bureau challenges.	ATK is increased by 6% in Command Bureau challenges.	ATK is increased by 8% in Command Bureau challenges.	ATK is increased by 10% in Command Bureau challenges.	ATK is increased by 12% in Command Bureau challenges.	ATK is increased by 14% in Command Bureau challenges.	ATK is increased by 16% in Command Bureau challenges.	ATK is increased by 18% in Command Bureau challenges.	ATK is increased by 20% in Command Bureau challenges.
1102	Beacon: Garrison	2	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_015.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	Physical DEF is increased by 0% in Command Bureau challenges.	Physical DEF is increased by 5% in Command Bureau challenges.	Physical DEF is increased by 10% in Command Bureau challenges.	Physical DEF is increased by 15% in Command Bureau challenges.	Physical DEF is increased by 20% in Command Bureau challenges.	Physical DEF is increased by 25% in Command Bureau challenges.	Physical DEF is increased by 30% in Command Bureau challenges.	Physical DEF is increased by 35% in Command Bureau challenges.	Physical DEF is increased by 40% in Command Bureau challenges.	Physical DEF is increased by 45% in Command Bureau challenges.	Physical DEF is increased by 50% in Command Bureau challenges.
1103	Beacon: Physical DMG Up	3	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_013.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	Physical DMG is increased by 0% in Command Bureau challenges.	Physical DMG is increased by 2% in Command Bureau challenges.	Physical DMG is increased by 4% in Command Bureau challenges.	Physical DMG is increased by 6% in Command Bureau challenges.	Physical DMG is increased by 8% in Command Bureau challenges.	Physical DMG is increased by 10% in Command Bureau challenges.	Physical DMG is increased by 12% in Command Bureau challenges.	Physical DMG is increased by 14% in Command Bureau challenges.	Physical DMG is increased by 16% in Command Bureau challenges.	Physical DMG is increased by 18% in Command Bureau challenges.	Physical DMG is increased by 20% in Command Bureau challenges.
1201	Beacon: Fire DMG Up	4	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_008.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Fire DMG is increased by 0% in Command Bureau challenges.	Fire DMG is increased by 3% in Command Bureau challenges.	Fire DMG is increased by 6% in Command Bureau challenges.	Fire DMG is increased by 9% in Command Bureau challenges.	Fire DMG is increased by 12% in Command Bureau challenges.	Fire DMG is increased by 15% in Command Bureau challenges.	Fire DMG is increased by 18% in Command Bureau challenges.	Fire DMG is increased by 21% in Command Bureau challenges.	Fire DMG is increased by 24% in Command Bureau challenges.	Fire DMG is increased by 27% in Command Bureau challenges.	Fire DMG is increased by 30% in Command Bureau challenges.
1202	Beacon: Ice DMG Up	5	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_009.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Ice DMG is increased by 0% in Command Bureau challenges.	Ice DMG is increased by 3% in Command Bureau challenges.	Ice DMG is increased by 6% in Command Bureau challenges.	Ice DMG is increased by 9% in Command Bureau challenges.	Ice DMG is increased by 12% in Command Bureau challenges.	Ice DMG is increased by 15% in Command Bureau challenges.	Ice DMG is increased by 18% in Command Bureau challenges.	Ice DMG is increased by 21% in Command Bureau challenges.	Ice DMG is increased by 24% in Command Bureau challenges.	Ice DMG is increased by 27% in Command Bureau challenges.	Ice DMG is increased by 30% in Command Bureau challenges.
1203	Beacon: Lightning DMG Up	6	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_010.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Lightning DMG is increased by 0% in Command Bureau challenges.	Lightning DMG is increased by 3% in Command Bureau challenges.	Lightning DMG is increased by 6% in Command Bureau challenges.	Lightning DMG is increased by 9% in Command Bureau challenges.	Lightning DMG is increased by 12% in Command Bureau challenges.	Lightning DMG is increased by 15% in Command Bureau challenges.	Lightning DMG is increased by 18% in Command Bureau challenges.	Lightning DMG is increased by 21% in Command Bureau challenges.	Lightning DMG is increased by 24% in Command Bureau challenges.	Lightning DMG is increased by 27% in Command Bureau challenges.	Lightning DMG is increased by 30% in Command Bureau challenges.
1204	Beacon: Dark DMG Up	7	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_018.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Dark DMG is increased by 0% in Command Bureau challenges.	Dark DMG is increased by 3% in Command Bureau challenges.	Dark DMG is increased by 6% in Command Bureau challenges.	Dark DMG is increased by 9% in Command Bureau challenges.	Dark DMG is increased by 12% in Command Bureau challenges.	Dark DMG is increased by 15% in Command Bureau challenges.	Dark DMG is increased by 18% in Command Bureau challenges.	Dark DMG is increased by 21% in Command Bureau challenges.	Dark DMG is increased by 24% in Command Bureau challenges.	Dark DMG is increased by 27% in Command Bureau challenges.	Dark DMG is increased by 30% in Command Bureau challenges.
1301	Beacon: DMG Bonus	8	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_019.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Extra DMG is increased by 0% in Command Bureau challenges.	Extra DMG is increased by 2% in Command Bureau challenges.	Extra DMG is increased by 4% in Command Bureau challenges.	Extra DMG is increased by 6% in Command Bureau challenges.	Extra DMG is increased by 8% in Command Bureau challenges.	Extra DMG is increased by 10% in Command Bureau challenges.	Extra DMG is increased by 12% in Command Bureau challenges.	Extra DMG is increased by 14% in Command Bureau challenges.	Extra DMG is increased by 16% in Command Bureau challenges.	Extra DMG is increased by 18% in Command Bureau challenges.	Extra DMG is increased by 20% in Command Bureau challenges.
1302	Beacon: HP Boost	9	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_016.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Max HP is increased by 0% in Command Bureau challenges.	Max HP is increased by 4% in Command Bureau challenges.	Max HP is increased by 8% in Command Bureau challenges.	Max HP is increased by 12% in Command Bureau challenges.	Max HP is increased by 16% in Command Bureau challenges.	Max HP is increased by 20% in Command Bureau challenges.	Max HP is increased by 24% in Command Bureau challenges.	Max HP is increased by 28% in Command Bureau challenges.	Max HP is increased by 32% in Command Bureau challenges.	Max HP is increased by 36% in Command Bureau challenges.	Max HP is increased by 40% in Command Bureau challenges.
1303	Beacon: Riot	10	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	CRIT Rate is increased by 0% in Command Bureau challenges.	CRIT Rate is increased by 1% in Command Bureau challenges.	CRIT Rate is increased by 2% in Command Bureau challenges.	CRIT Rate is increased by 3% in Command Bureau challenges.	CRIT Rate is increased by 4% in Command Bureau challenges.	CRIT Rate is increased by 5% in Command Bureau challenges.	CRIT Rate is increased by 6% in Command Bureau challenges.	CRIT Rate is increased by 7% in Command Bureau challenges.	CRIT Rate is increased by 8% in Command Bureau challenges.	CRIT Rate is increased by 9% in Command Bureau challenges.	CRIT Rate is increased by 10% in Command Bureau challenges.
