Id	OperationKey	XboxKeyCode	PsKeyCode	KeyboardKeyCode	OtherKeyCode	OperationType	KeyCodeType
1	1	JoystickButton1	JoystickButton2	Alpha1		1	1
2	2	JoystickButton0	JoystickButton1	Alpha2		1	1
3	3	JoystickButton2	JoystickButton0	Alpha3		1	1
4	4	JoystickButton3	JoystickButton3	Alpha4		1	1
5	5	Axis3M&JoystickButton1	JoystickButton6&JoystickButton2	Alpha5		1	1
6	6	Axis3M&JoystickButton0	JoystickButton6&JoystickButton1	Alpha6		1	1
7	7	Axis3M&JoystickButton2	JoystickButton6&JoystickButton0	Alpha7		1	1
8	8	Axis3M&JoystickButton3	JoystickButton6&JoystickButton3	Alpha8		1	1
9	15	JoystickButton5	JoystickButton5	Mouse0|J		1	4
10	16	JoystickButton4	JoystickButton4	Mouse1|K		1	4
11	17	Axis3P	JoystickButton7	L|R		1	1
12	18	Axis3M	JoystickButton6	I		1	0
13	20	Axis7P	Axis8P	Q		1	1
14	21	Axis7M	Axis8M	E		1	1
15	23	Axis6M	Axis7M	C		1	1
16	28	Axis6P	Axis7P	Space		1	0
17	29	JoystickButton6	JoystickButton8	G		1	0
18	128	Axis2M	Axis2M	W		1	0
19	129	Axis2P	Axis2P	S		1	0
20	130	Axis1M	Axis1M	A		1	0
21	131	Axis1P	Axis1P	D		1	0
22	132	Axis5M	Axis6M	UpArrow		1	1
23	133	Axis5P	Axis6P	DownArrow		1	1
24	134	Axis4M	Axis3M	LeftArrow		1	1
25	135	Axis4P	Axis3P	RightArrow		1	1
26	136			F		1	1
27	137	Axis3M&JoystickButton9	JoystickButton6&JoystickButton11	Tab		1	1
28	138	Axis3M&JoystickButton8	JoystickButton6&JoystickButton10	BackQuote		1	1
29	139	JoystickButton9	JoystickButton11			1	1
30	140			Y		1	1
31	141	JoystickButton7	JoystickButton9	Escape		1	2
32	141	JoystickButton0	JoystickButton1	Escape		4	2
33	142	JoystickButton3	JoystickButton3	R		4	2
34	143	Axis3M	JoystickButton6	P		4	2
35	144	JoystickButton2	JoystickButton0	G		4	2
36	145			Space		4	2
37	148	JoystickButton0	JoystickButton1	K		4	2
38	149	Axis6P	Axis7P	J		4	2
39	1			N		2	1
40	2			M		2	1
41	3			W		2	1
42	4			S		2	1
43	5			A		2	1
44	6			D		2	1
45	150	JoystickButton7	JoystickButton9	Escape		2	2
46	240	Axis6P&JoystickButton1	Axis7P&JoystickButton2	LeftControl&Q		1	1
47	241	Axis6P&JoystickButton0	Axis7P&JoystickButton1	LeftControl&E		1	1
48	242	Axis6P&JoystickButton2	Axis7P&JoystickButton0	LeftControl&Alpha1		1	1
49	243	Axis6P&JoystickButton3	Axis7P&JoystickButton3	LeftControl&Alpha2		1	1
50	244			LeftControl&Alpha3		1	1
51	245			LeftControl&Alpha4		1	1
52	1	Axis6P	Axis7P	Space		3	2
53	2	JoystickButton2	JoystickButton0	G		3	2
54	156	Axis2M	Axis2M			4	2
55	157	Axis2P	Axis2P			4	2
56	158	Axis1M	Axis1M			4	2
57	159	Axis1P	Axis1P			4	2
58	153	Axis5M	Axis6M			4	2
59	154	Axis5P	Axis6P			4	2
60	152	JoystickButton1	JoystickButton2			4	2
61	155			Return		4	2
62	1000	Axis3P	JoystickButton7			4	2
63	1156	Axis3P#Axis2M	JoystickButton7#Axis2M	W		4	2
64	1157	Axis3P#Axis2P	JoystickButton7#Axis2P	S		4	2
65	1158	Axis3P#Axis1M	JoystickButton7#Axis1M	A		4	2
66	1159	Axis3P#Axis1P	JoystickButton7#Axis1P	D		4	2
67	1	Axis6M	Axis7M	A		6	2
68	2	Axis7P	Axis8P	W		6	2
69	3	Axis6P	Axis7P	D		6	2
70	4	Axis7M	Axis8M	S		6	2
71	5	JoystickButton1	JoystickButton2	K		6	2
72	6	JoystickButton2	JoystickButton0	J		6	2
73	1	JoystickButton4	JoystickButton4	F		7	2
74	2	JoystickButton5	JoystickButton5	J		7	2
75	1	JoystickButton2	JoystickButton0	K		8	2
76	2	JoystickButton1	JoystickButton2	J		8	2
77	3	Axis2M	Axis2M	W		8	2
78	4	Axis2P	Axis2P	S		8	2
