KeyCode	Str	XboxIcon	PsIcon
8	Backspace		
9	Tab		
13	Enter		
27	Esc		
32	Space		
39	'		
44	,		
45	-		
46	.		
47	/		
48	0		
49	1		
50	2		
51	3		
52	4		
53	5		
54	6		
55	7		
56	8		
57	9		
59	;		
91	[		
92	\		
93	]		
96	~		
256	Pad 0		
257	Pad 1		
258	Pad 2		
259	Pad 3		
260	Pad 4		
261	Pad 5		
262	Pad 6		
263	Pad 7		
264	Pad 8		
265	Pad 9		
266	Pad .		
267	Pad /		
268	Pad *		
269	Pad -		
270	Pad +		
271	Pad Enter		
273	↑		
274	↓		
275	→		
276	←		
309	RightWin		
310	LeftWin		
323	Mouse 1		
324	Mouse 2		
325	Mouse 3		
326	Mouse 4		
327	Mouse 5		
328	Mouse 6		
329	Mouse 7		
330		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon6.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon7.png
331		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon8.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon6.png
332		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon7.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon8.png
333		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon5.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon5.png
334		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon9.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon9.png
335		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon16.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon16.png
336		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon23.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon10.png
337		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon24.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon17.png
338		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon15.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs5Icon1.png
339		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon22.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs5Icon2.png
340			Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon15.png
341			Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon22.png
343			Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs5Icon3.png
1001		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon14.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon14.png
1002		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon13.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon13.png
1003		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon12.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon12.png
1004		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon11.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon11.png
1005		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon17.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon21.png
1006		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon10.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon20.png
1007		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon21.png	
1008		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon20.png	
1009		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon19.png	
1010		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon18.png	
1011		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon4.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon19.png
1012		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon3.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon18.png
1013		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon1.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon4.png
1014		Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadXboxIcon2.png	Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon3.png
1015			Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon1.png
1016			Assets/Product/Texture/Atlas/UiSetGamePad/UiGamePadPs4Icon2.png
