Id	StageId	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffIds[4]	BuffIds[5]
1	1	32188	32189	32190	32191	32192
2	2	32188	32189	32190	32191	32192
3	3	32188	32189	32190	32191	32192
4	4	32188	32189	32190	32191	32192
5	5	32188	32189	32190	32191	32192
6	6	32188	32189	32190	32191	32192
7	7	32188	32189	32190	32191	32192
8	8	32188	32189	32190	32191	32192
9	9	32188	32189	32190	32191	32192
10	10	32188	32189	32190	32191	32192
11	11	32188	32189	32190	32191	32192
12	12	32188	32189	32190	32191	32192
13	13	32188	32189	32190	32191	32192
14	14	32188	32189	32190	32191	32192
15	15	32188	32189	32190	32191	32192
16	16	32188	32189	32190	32191	32192
