StageId	Text	BackCount	ResetCount	TotalLoseCount
1101	Keep going forward—looks like this is our only option.	3	3	3
1102	It seems like you'll have to get through the crucial Kuroro from the right to reach the endpoint...	3	3	3
1103	A Kuroro will run in the opposite direction if either a Construct shows up around it or another character is eliminated.	3	3	3
1104	It doesn't seem like you'll be able to make it to the endpoint going down. Is there a way to move the crucial Kuroro downward, though...	3	3	3
1105	Can you somehow push the crucial Kuroro to the left so it moves in sync with the patrolman...?	3	3	3
1106	Why don't you try approaching it from the side with Tai'E's help since you can't get close to it from below?	3	3	3
1107	And Tai'E only shows up on odd rounds, eh... I see what you're saying. We definitely can't miss this opportunity.	3	3	3
1108	You can make it straight to the endpoint if You can push the Kuroro on the right to the top.	3	3	3
1109	If you want to push Kuroro upward to make it a stepping stone, you'll need to take advantage of the fact that it runs away when it gets scared.	3	3	3
1110	It seems like you can keep moving and change location and direction if you move close to Tai'E from the side.	3	3	3
1201	I have a bad feeling about these pools. You just might be able to make your way through them if you can freeze them.	3	3	3
1202	Kuroros will run away in fear, too, if the character around its fall into the water.	3	3	3
1203	There is water all around the Kuroro at the bottom. Maybe we don't need to make our hands dirty at all, Commandant.	3	3	3
1204	You can probably use the Kuroro in the upper-right corner. Keep it safe until you're done using it.	3	3	3
1205	It seems like there is no way you'll ever be able to reach the Kuroro up there... Guess you'll need a few extra hands.	3	3	3
1206	After spotting an abnormal occurrence in its sight, the Roseblade will move to where it took place in the next round.	3	3	3
1207	Roseblade won't stop in front of the pool. If only you can move it forward...	3	3	3
1208	Is there a way we can move the Kuroro in the middle down to the bottom...?	3	3	3
1209	You need to catch the stepping stone with another stone so it won't fall into the water.	3	3	3
1210	The butler won't come down for you if you don't knock on the door.	3	3	3
1301	Be careful. The Kuroro carries fire with it, and fire will melt ice...	3	3	3
1302	The Kuroro has decided to burn through the ice. You'll have to go around to get close to it, then.	3	3	3
1303	If you stand on the green mark, all the stone gates with the same mark will drop down.	3	3	3
1304	You need someone to keep these stone gates from going back up so you can get close to the Kuroro in the bottom-left corner...	3	3	3
1305	Let's burn the grass first. The path that appeared doesn't seem like a difficult walk at all.	3	3	3
1306	The Kuroro at the bottom is wrapped up in ice under the bushes. Try to get close to it from the side.	3	3	3
1307	There are quite a few pools on the field, and the Kuroro is an Ice Kuroro. I wonder if we can somehow get its help...	3	3	3
1308	You'll need to come up with a way to burn down the grass that's blocking its way before luring out Roseblade.	3	3	3
1309	Now, imagine for a second that the Kuroro up there is all alone by itself...	3	3	3
1310	Move up the Fire Kuroro at the bottom so it can work with the Kuroro on the right.	3	3	3
1401	The Lightning Circle pulls in all the characters and Kuroros that carry Lightning Attribute with them.	3	3	3
1402	Use Lightning Circle	3	3	3
1403	Pushing Kuroros into the water seems to come with more benefits than one.	3	3	3
1404	If you can somehow keep the Kuroro from moving away from the Lightning Circle on the right...	3	3	3
1405	Now, both Kuroros carry Lightning Attribute with them—which doesn't just happen for no reason. It has to be a hint.	3	3	3
1406	Move to the right from the get-go and let miracles happen.	3	3	3
1407	Lightning Attribute still works even when it's carried by a Kuroro.	3	3	3
1408	Push the Kuroro to the right and make the grass grow so you can land on it.	3	3	3
1409	You need to clear the path up to the endpoint with Roseblade. Try to block its way with the grass.	3	3	3
1410	Head to the right and block Tai'E clockwise. The endpoint is right there.	3	3	3
1501	You don't have another choice... Need I say more, Commandant?	3	3	3
1502	It teleports everything—even Kuroros, yes. Chase it down and make it your stepping stone.	3	3	3
1503	Let's familiarize ourselves with it: Teleport it into the mist and follow it.	3	3	3
1504	The mist has multiple entrances and exits, so best of luck choosing the right path.	3	3	3
1505	To start with, you can try getting rid of the elemental Kuroros, Commandant.	3	3	3
1506	Hold off on changing direction when you're done eliminating the Kuroro at the bottom. See, there is a crypt below the Lightning Circle.	3	3	3
1507	Try destroying the Lightning Circle on the left, Commandant. The Kuroro will take care of the rest.	3	3	3
1508	Try to make the Kuroro on the left fall into the water, then approach the crucial Kuroro using Teleporting Mist.	3	3	3
1509	It seems like you'll have to make a round.	3	3	3
1510	It doesn't seem like you can make it straight to the endpoint... You'll have to catch the Kuroros that fall and make them into a wall to catch yourself with.	3	3	3
2101	Keep going forward—looks like this is our only option.	3	3	3
2102	Changing your direction immediately after you stop doesn't seem to work here.	3	3	3
2103	I see... A Kukuro will run in the opposite direction whenever a Construct shows up near it.	3	3	3
2104	And it seems like they get scared and run away, too, when enemies around them are eliminated.	3	3	3
2105	If you could push the upper-right Kuroro up...	3	3	3
2106	It will be easier if we can patch the opening on the left.	3	3	3
2107	Watch out, Commandant. That red circle shows Shark-speare's detection range.	3	3	3
2108	The walls in front of the endpoint are pretty smooth. How do I make it to the other side...?	3	3	3
2109	Look carefully. There are only two paths leading to the endpoint. If you can take one of them...	3	3	3
2110	Tai'E moves along a fixed route in each turn... And anything with a predictable pattern can be exploited.	3	3	3
2201	You will also be able to control the shadows, but they won't scare Kuroro off or eliminate them.	3	3	3
2202	Hmm... Is there a way to get pass the walls and get to the area below?	3	3	3
2203	It seems there is only one entrance to the area below.	3	3	3
2204	Those holes look dangerous... Remember to avoid them.	3	3	3
2205	Kuroro will be scared and run if someone falls into a trap hole.	3	3	3
2206	You have to sacrifice your own shadow when necessary.	3	3	3
2207	It seems better to reach the Kuroro on the left edge from above or right.	3	3	3
2208	The key is to get back to the area above from below and reach the endpoint.	3	3	3
2209	On the bright side, with the detection range and traps around, we're bound to steer clear of some of the wrong paths.	3	3	3
2210	The endpoint and Shark-speare are surrounded by walls. Is there anything we can use as a stepping stone...?	3	3	3
2301	The Electro-Walls are electrified, so be careful not to bump into them. Step on the switch to turn them off.	3	3	3
2302	You don't always need to get your hands dirty to get what you want.	3	3	3
2303	One and only objective: Turn off the switch.	3	3	3
2304	You don't have to push every single button, Commandant. Stay focused.	3	3	3
2305	There is only one entrance at the endpoint. How can we get there...?	3	3	3
