Id	ModelName	Speed	Distance	AnimName	RoleEffect	RoleEffectRoot	SceneEffect	SceneEffectRoot
101101	QR3LiangMd010011MZ	3	9	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101102	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (9)
101103	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101104	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (21)
101105	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101106	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (33)
101107	QR3LiangMd010011MZ	3	6	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101108	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (51)
101109	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101110	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (63)
101111	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101112	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (75)
101113	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101114	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (87)
101115	QR3LiangMd010011MZ	3	15	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101201	QR3LiangMd010011MZ	3	6	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101202	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (6)
101203	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101204	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (18)
101205	QR3LiangMd010011MZ	3	6	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101206	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (36)
101207	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101208	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (48)
101209	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101210	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (60)
101211	QR3LiangMd010011MZ	3	9	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101212	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (81)
101213	QR3LiangMd010011MZ	0	0	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
101214	QR3LiangMd010011MZ	0	12	Speedup01			Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan10SpeedupLiJiasudai.prefab	speedup%02d (93)
101215	QR3LiangMd010011MZ	3	15	Run01	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
102101	QR2WanshiMd010011MZ	3	3	Run	Assets/Product/Effect/Prefab/FxMengZhanPrefab/FxMengZhan01RunSmoke.prefab	Bip001		
