Id	Name	NameplateId[1]	NameplateId[2]	NameplateId[3]
1	Lee	17040101	17040102	17040103
2	Wanshi	17040201	17040202	17040203
3	Roland	17040301	17040302	17040303
4	Camu	17040401	17040402	17040403
5	Watanabe	17040501	17040502	17040503
6	Chrome	17040601	17040602	17040603
7	Changyu	17040701	17040702	17040703
8	Kamui	17040801	17040802	17040803
9	Karenina	17040901	17040902	17040903
10	Pulao	17041001	17041002	17041003
11	Rosetta	17041101	17041102	17041103
12	Luna	17041201	17041202	17041203
13	Bianca	17041301	17041302	17041303
14	Selena	17041401	17041402	17041403
15	Qu	17041501	17041502	17041503
16	Sophia	17041601	17041602	17041603
17	Lucia	17041701	17041702	17041703
18	Ayla	17041801	17041802	17041803
19	Liv	17041901	17041902	17041903
20	Nanami	17042001	17042002	17042003
21	Vera	17042101	17042102	17042103
22	α	17042201	17042202	17042203
23	Villier	17042301	17042302	17042303
24	Tai'E	17042401	17042402	17042403
