Id	Name	ModelName	CareerName	CampName	Description	IntroAnim[1]	IntroAnim[2]	IntroCv	IntroLength[1]	IntroLength[2]	ThankAnim[1]	ThankAnim[2]	ThankCv	ThankLength[1]	ThankLength[2]	CircleHead	SquareHead	ActionBg	CareerIcon	BigCharacterImage	ShareImg	WinAnimGroupId[1]	WinAnimGroupId[2]	WinAnimGroupId[3]	WinAnimGroupId[4]	WinAnimGroupId[5]	LoseAnimGroupId[1]	LoseAnimGroupId[2]	LoseAnimGroupId[3]	LoseAnimGroupId[4]	LoseAnimGroupId[5]	VictoryAnim
201	Lee	QR3LiangMd010011MZ	Attacker	Gray Raven	Lee is a member of Gray Raven and a former member of Kurono's special task force. He has incredible knowledge of firearms and is very experienced in using them. Always speaking based on calculations and data, he can leave people with an impression of being distant and straightforward, but he will always protect those closest to him should conflicts arise. Has a deal with his younger brother, who currently lives in Babylonia.	Show03	Show05	100000316	5	5	Thanks03	Thanks05	100000317	6	6	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLiSS.png	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLi.png	1011	2011	3011	4011	4011	1012	2012	3012	4013	4013	Victory01
202	Wanshi	QR2WanshiMd010011MZ	Support	Strike Hawk	As a Strike Hawk member, Wanshi always has a sleepy look. But once you get to know him better, you will realize he can be very trustworthy when things have gone bad.	Show03	Show05	100000348	9	9	Thanks03	Thanks05	100000349	11	11	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	Assets/Product/Texture/Image/Role/RoleHeadWanShiQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadWanShi.png	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWanshi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWanshi.png	1021	2021	3021	4021	4021	1022	2022	3022	4023	4023	Victory01
203	Roland	QR2LuolanMd010011MZ	Vanguard	Ascendant	Once deceived by a ridiculous lie, he now only wants to seek the truth. He is a paranoid knight that is willing to give everything—including life—for his ideal king.	Show04	Show05	100000324	6	6	Thanks04	Thanks05	100000325	7	7	Assets/Product/Texture/Image/Role/RoleHeadLuolan3Qnew.png	Assets/Product/Texture/Image/Role/RoleHeadR2LuolanQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLuolan.png	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuolan.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuolan.png	1031	2031	3031	4031	4031	1032	2032	3032	4033	4033	Victory01
204	Camu	QR2KamuMd010011MZ	Vanguard	Strike Hawk	Once lived in Kamui's M.I.N.D., he is now a special operator of Babylonia in charge of missions related to the Dead Zone. Enjoys gourmet food.	Show03	Show05	100000312	6	6	Thanks03	Thanks05	100000313	9	9	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadKamuQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKamu.png	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKamu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKamu.png	1041	2041	3041	4041	4041	1042	2042	3042	4043	4043	Victory01
205	Watanabe	QR2DubianMd010011MZ	Attacker	Forsaken	Leader of the Forsaken, who chose to leave Babylonia to protect Oasis with his comrades who have been forgotten by the world. And the creed of the Forsaken is to never forget.	Show03	Show05	100000306	4	4	Thanks03	Thanks05	100000307	9	9	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubianSSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadDubian.png	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleDubian.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleDubian.png	1051	2051	3051	4051	4051	1052	2052	3052	4053	4053	Victory01
206	Chrome	QR3KuluomuMd010011MZ	Tank	Strike Hawk	Captain of Strike Hawk. His specialized Inver-Device allows him to exchange important information via unique, stable channels. Cares a lot about his team members and always aims to complete every mission with perfection. Chrome used to study in F.O.S. College.	Show03	Show05	100000314	5	5	Thanks03	Thanks05	100000315	5	5	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKulomu.png	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKuluomu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKuluomu.png	1061	2061	3061	4061	4061	1062	2062	3062	4063	4063	Victory01
207	Changyu	QR1ChangyuMd010011MZ	Tank	Akdilek	Born in Kowloong and worked in the theater, Changyu ended up being one of the guards on Asslam. Due to his time at the theater, he still has the habit of practicing opera skills.	Show04	Show05	100000304	9	9	Thanks04	Thanks06	100000305	8	8	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadChangYuQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadChangYu.png	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleChangyu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleChangyu.png	1071	2071	3071	4071	4071	1072	2072	3072	4073	4073	Victory01
208	Kamui	QR2ShenweiMd010011MZ	Tank	Strike Hawk	One of the members of Strike Hawk. Good at solo missions. Always keeps an optimistic attitude in both life and battle, but his wild personality has also caused a lot of trouble. However, he still cares about his companions in his own way.	Show04	Show05	100000342	6	6	Thanks04	Thanks06	100000343	5	5	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadShenwei.png	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShenwei.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShenwei.png	1081	2081	3081	4081	4081	1082	2082	3082	4083	4083	Victory01
209	Karenina	QR4KalieninaMd010011MZ	Tank	Engineering Force	A member of the Engineering Force, Karenina has a background in Cosmos Technician Union. Her grumpy and simple nature often drives her to resolve problems with explosions instead of strategies. Bothered by fact that she has never beaten Lucia.	Show02	Show07	100000310	4	4	Thanks02	Thanks07	100000311	8	8	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKalienina.png	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKalienina.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKalienina.png	1091	2091	3091	4091	4091	1092	2092	3092	4093	4093	Victory01
2010	Pulao	QR2PulaoMd010011MZ	Vanguard	Kowloong Chamber of Commerce	The Construct representing the Pulao Crew—one of the Kowloong Crew that the Nighter established in order to replicate the Kowloong Chamber of Commerce. As one of the vessels Villier prepared for Huaxu, she has lost memories as a result of the Memory transfer experiment.	Show02	Show06	100000330	8	8	Thanks02	Thanks07	100000331	7	7	Assets/Product/Texture/Image/Role/RoleHeadPulao3Qnew.png	Assets/Product/Texture/Image/Role/RoleHeadPulaoQnew.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadPuLao.png	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRolePulao.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRolePulao.png	1101	2101	3101	4101	4101	1102	2102	3102	4103	4103	Victory01
