Id	Name	ModelPath	ModelFaceName	FaceSkinPath	DefaultMoveSpeed	DefaultBodyAnimName	BodyAnimPath[0]	BodyAnimPath[1]	BodyAnimPath[2]	BodyAnimPath[3]	BodyAnimPath[4]	BodyAnimPath[5]	BodyAnimPath[6]	BodyAnimPath[7]	BodyAnimPath[8]	BodyAnimPath[9]	FaceAnimPath[0]	FaceAnimPath[1]	FaceAnimPath[2]	FaceAnimPath[3]	FaceAnimPath[4]
1021004	Lucia	Assets/Product/Role/CharaterPrefab/R4LuxiyaMd010011.prefab	R4LuxiyaMd010011Face	Assets/Product/Role/StoryFace/R4LuxiyaMd010011FaceStoryVC.asset	1.5	PlotStand1	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotAngry1Loop.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotAngry1ToStand1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToAngry1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToTalk1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToWorry1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotTalk1Loop.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotTalk1ToStand1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotWorry1Loop.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotWorry1ToStand1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceAngry1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceDefault.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceTalk1.anim	Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceWorry1.anim	
1011003	Lee	Assets/Product/Role/CharaterPrefab/R3LiangMd010011.prefab	R3Liang01003Face	Assets/Product/Role/StoryFace/R3Liang01003FaceStoryVC.asset	1.5	PlotStand1	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotAngry1Loop.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotAngry1ToStand1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToAngry1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToTalk1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToThink1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotTalk1Loop.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotTalk1ToStand1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotThink1Loop.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotThink1ToStand1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceAngry1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceDefault.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceTalk1.anim	Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceThink1.anim	
1021003	Celica																				
1021005	Radiance																				
1000000	Liv	Assets/Product/Role/CharaterPrefab/R4LifuMd010021Stroy.prefab	R4LifuMd010011Face	Assets/Product/Role/StoryFace/R4LifuMd010011FaceStoryVC.asset	1.5	PlotStand1	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSad1Loop.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSad1ToStand1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSerious1Loop.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSerious1ToStand1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToSad1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToSerious1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToTalk1.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotTalk1Loop.anim	Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotTalk1ToStand1.anim	Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face05.anim	Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face01.anim	Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face02.anim	Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face03.anim	Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face04.anim
600000																					
600001	Hassen																				
600002	Hippocrates																				
600003	Celica	Assets/Product/Role/CharaterPrefab/Npc1SailikaMd000001.prefab			1.5	Stand1	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim	Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim					
600004	Construct Soldier 1	Assets/Product/Role/CharaterPrefab/NPC1GouzaotiMd10002.prefab			1.5	Stand2	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Stand2.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Standup.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Stun.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Walk.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Walkb.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim	Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim					
