Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory609.jpg																								
2	2		401							1	36																							
3	3		301									Speech Function Test																						
4	4		201							1	1021001																							
5	5		301			DialogEnable				1	Lucia	Are you still here, Commandant?	1																					
6	6		306							1																								
7	7		301								Lucia	Commandant. Should we do something if you're free...?	1																					
8	13		306																															
9	8		301								Lucia	Just staying like this is fine, too. Just the two of us...	1																					
10	9		301								Lucia	Our minds have been linked for over 1 hour. Do you need a rest, Commandant?	1																					
11	10		301								Lucia	Linking minds for an extended period of time is not advised. Please take care, Commandant.	1																					
12	11		301								Lucia	Prolongedly linking minds can lead to mental exhaustion. Would you like a break?	1																					
13	12		301								Lucia	I'd prefer staying linked with you, but it bears too much of a strain on you. Please take a rest.	1																					
14	14		301								Lucia	Good to see you again, Commandant.	1																					
15	15		301								Lucia	Awaiting your orders, Commandant.	1																					
16	16		301								Lucia	Lucia at your service.	1																					
17	17		301		1		AniZhuanchangBegin				Lucia	I'm always ready, Commandant.	1																					
