Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory227.png																								
2	2		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStorySnowNew.prefab	2																							
3	3		401							1	204																							
4	4		301			DialogEnable						Numerous mechanical devices have surrounded the airdrop cabin since Rosetta was away.																						
5	5		301									Drones hover around the equipment. Several mechanical arms are sticking out from the sides.																						
6	6		201							1	500214		-400																					
7	7		201							2	500004		400																					
8	8		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		2																						
9	9		301							1	Asimov	Next up, I'll modify the CUB. I've already prepared the replacement components.	2																					
10	10		301								Asimov	In order to reduce the burden on your M.I.N.D., I can only approximate its performance according to your previous frame after the calibration. I can't match it perfectly.	2																					
11	11		301								Asimov	After all, I can't agree with that way of harming yourself.	2																					
12	12		301								Asimov	If you're clear on what to do, bring it here.	2																					
13	13		301								Rosetta	Come on.	1																					
14	14		301									Rosetta leads the CUB toward the mechanical equipment in front of her.																						
15	15		301									A mechanical arm extends toward the CUB, waiting to connect.																						
16	16		301									The CUB comes to a stop right as it touches the mechanical arm.																						
17	17		301								Asimov	Is this one of the deviations you mentioned?	2																					
18	18		301								Rosetta	I don't know. I didn't run into anything like this on the way back.	1																					
19	19		301								Rosetta	Seems like...	1																					
20	20		301									Rosetta strokes the CUB's crest. The CUB, having shown no willingness to move, suddenly rears up on its hind legs.																						
21	21		301								Rosetta	It's resisting.	1																					
22	22		301									The CUB raises one of its front hooves and kicks the mechanical arm away. It turns its head away, its hooves landing on the ground with a heavy thud.																						
23	23		301									Seeing this, Rosetta immediately runs toward the CUB to stop it, but it dodges her with ease and then disappears into the snowy forest.																						
24	24		301								Asimov	...It still turns out like this in the end.	2																					
25	25		301								Asimov	Good thing I came prepared. Wouldn't want a repeat of what happened to Toniris.	2																					
26	26		301								Asimov	There might be some side effects, but they will be within our margin of error.	2																					
27	27		401							2	1515																							
28	28		301									And with that, Asimov begins typing away on his terminal.																						
29	29		301									Rosetta interrupts Asimov as she watches the CUB disappear into the snowy forest.																						
30	30		301								Rosetta	I took the job. It stands to reason that I should finish it.	1																					
31	31		301								Rosetta	After all, no one is better at searching the snowy forest than the Forest Guard.	1																					
32	32		301								Asimov	If you insist, Leader of the Forest Guard. The additional data could provide us with more ways to optimize the frame.	2																					
33	33		204							1	4																							
34	34		301				AniZhuanchangBegin				Rosetta	(Nods) Leave it to me.	1																					
35	35		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		2																					
36	36		202							1	2				1																			
37	37		101							Assets/Product/Texture/Image/BgStory/Bgstory95.png																								
38	38		201							1	500214																							
39	39		301			AniZhuanchangEnd				1	Rosetta	These tracks in the snow are fresh... Given their depth... And the current snowfall...	1																					
40	40		301								Rosetta	It was here roughly five minutes ago.	1																					
41	41		301								Rosetta	I need to hurry up... It's getting farther ahead.	1																					
42	42		301									Rosetta follows the CUB's tracks through the snowy forest. As she makes her way into the forest toward the mountains, the snowstorm becomes more intense, and visibility begins to drop.																						
43	43		204							1	5																							
44	44		301									Rosetta, who usually maintains her composure, begins to show signs of distress.																						
45	45		301									—Why did she not let Asimov help her?																						
46	46		301									—Why does she want to do this all by herself?																						
47	47		301									—With Asimov's help, maybe...																						
48	48		204							1	4																							
49	49		301								Rosetta	No. This is my failure as a guardian. I have to deal with this myself.	1																					
50	50		401							1	36																							
51	51		301				AniZhuanchangBegin					Shaking off the snow on her head, Rosetta continues to chase the CUB deep into the snow forest.																						
52	52		204							1																								
