Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory21.jpg																								
2	2		401							1	204																							
3	3		201							1	500001																							
4	4		301			DialogEnable				1	Celica	Good morning, Commandant.	1																					
5	5		302								Morning... Celica...	6																						
6	6		301								Celica	Whoa! Those are quite the striking pair of panda eyes! Are you... alright?	1																					
7	7		302								I was making Zongs	8	I got a little carried away cooking	8																				
8	8		301								Celica	Zongs? Oh yes, Duanwu festival is coming up. Did you make these yourself, Commandant? They look pretty tasty.	1																					
9	9		301								Celica	Are those Zongs you have there? What an armful! Are those for the Constructs?	1																					
10	10		302								Yes	11	It's Duanwu festival after all	11																				
11	11		301								Celica	Ah... that's very thoughtful of you, Commandant, but be sure to ferret out the likes and dislikes of our Constructs, to avoid embarrassment.	1																					
12	12		301								Celica	Wars have been started over less!	1																					
13	13		202							1																								
14	14		301									Celica leaves before you could muster a response.																						
15	15		302				AniZhuanchangBegin				Wars...?	16	What does she mean by that?	16																				
16	16		101							Assets/Product/Texture/Image/BgStory/BgStory17.jpg																								
17	17		401							1	201																							
18	18		301			AniZhuanchangEnd						(A delicate sheen of nervous energy does seem to be in the air today. All around Babylonia, people look at one another with wary and distrustful stares)																						
19	19		201							1	500019																							
20	20		201							2	500019		-600																					
21	21		201							3	500019		600																					
22	22		301							1	Construct Soldier	Good day. Could those be Zongs you have there? Mind if we open them up for inspection?	1																					
23	23		302								Why is that?	24	Of course not	24																				
24	24		301								Construct Soldier	Oh, no need to worry. We just wanted to make sure. Oh, and also ask you to vote for us.	2																					
25	25		202							1	2	3			1																			
26	26		201							1	500028		1460																					
27	27		201							2	500028		1460																					
28	28		203							1	1	-400																						
29	29		203							2	1	400																						
30	30		301							1	Zong Police A	Hey! Canvassing is prohibited!	1																					
31	31		301								Zong Police B	You'll have to come with us!	2																					
32	32		201							1	500019																							
33	33		201							2	500019		-600																					
34	34		201							3	500019		600																					
35	35		301							1	Construct Soldier	Uh-oh... it's the Zong Police! Scram!	1																					
36	36		202							1	2	3			1																			
37	37		201							1	500028		-400																					
38	38		201							2	500028		400																					
39	39		301							1	Zong Police A	Stop right there!	1																					
40	40		301								Zong Police B	There's another! Arrest first, ask questions later!	2																					
41	41		302								Me!?	42																						
42	42		301				AniZhuanchangBegin				???	Commandant, over here!																						
43	411		202							1	2																							
44	43		101							Assets/Product/Texture/Image/BgStory/BgStory17.jpg																								
45	44		401							1	5																							
46	45		201							1	500166	1																						
47	46		301			AniZhuanchangEnd				1	Lucia	Thank goodness, Commandant. You almost got caught up in that debacle...	1																					
48	47		302								Lucia?	48	What's going on here?	48																				
49	48		204							1	4																							
50	49		301								Lucia	You didn't know? As thanks for our assistance in escorting the Forsaken shipment, the ACA sent Babylonia a batch of assorted Zongs.	1																					
51	50		301								Lucia	Disagreements started to spread from the ideal flavor of Zongs, all the way into other food preferences and the definition of good taste...	1																					
52	51		302								For what...	52	Is this the "war" Celica spoke of?	52																				
53	52		204							1	5																							
54	53		301								Lucia	Now the two factions are hosting referendums in an attempt to install their flavor as the official Babylonian flavor.	1																					
55	54		302								What about this "Zong Police" business...	55																						
56	55		301								Lucia	The "Zong Police" is a temporary constabulary, hastily put together to head off impeding violence between the two factions.	1																					
57	56		301								Lucia	The streets are no longer safe if you're carrying Zongs, Commandant...	1																					
58	57		204							1	1																							
59	58		301								Lucia	Say, those Zongs you have there, Commandant. Are they for us?	1																					
60	59		302								(Gift Sweet Zongs)	60	(Gift Savory Zongs)	60																				
61	60		204							1	6																							
62	61		301								Lucia	You made these, Commandant?	1																					
63	62		302								Is it to your liking?	63																						
64	63		301								Lucia	Well... I'm not sure what my likings are, or rather, what "Lucia's" likings are.	1																					
65	64		204							1	1																							
66	65		301								Lucia	But I'll like it, Commandant, as long as you're making it.	1																					
67	66		302								Lucia...	67																						
68	67		201							1	1031001	1																						
69	68		301							1	Liv	Oh, there you are, Lucia. Good morning, Commandant.	1																					
70	69		201							1	500166	1																						
71	71		301							1	Lucia	What a coincidence, Liv. The Commandant has a gift for us.	1																					
72	73		201							1	1031001	1																						
