Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory8.jpg																								
2	2		401							1	5																							
3	3		201							1	500025																							
4	4		301			DialogEnable				1	Liv	The recording says that we don't have to prepare the clothes and rings for the wedding...	1																					
5	5		301								Liv	Then we're left with the venue, guests, witnesses, and decorations.	1																					
6	6		201							1	1011001																							
7	7		301							1	Lee	Liv, are you really trying to host a wedding for a projection device?	1																					
8	8		201							1	500025																							
9	9		301							1	Liv	...Can't I? I'll try not to take up time from the mission. I'm sure Commandant can allow that?	1																					
10	10		302								I'll help.	11	Actually, I don't agree with this.	12																				
11	11	16	301								Liv	Really? That's great! I knew you'd say that, Commandant.	1																					
12	12		201							1	1011001																							
13	13		301							1	Lee	See? It's weird organizing a wedding for projections, however you put it.	1																					
14	14		201							1	500025																							
15	15		301							1	Liv	Will you let me have this, Commandant? Just once? It must have been their last wish when they were still alive...	1																					
16	16		201							1	1021001																							
17	17		301							1	Lucia	Let's do it, then.	1																					
18	18		203							1	0.25	-400																						
19	19		201							2	1011001		400																					
20	20		301							1	Lee	Lucia?!	2																					
21	21		202							2					1																			
22	22		203							1	0.25																							
23	23		301								Lucia	The squads nearby and the members from the Support Force are interested after hearing about it as well.	1																					
24	24		302								Interested?	25	Has the news spread that far already?	26																				
25	25	27	301								Lucia	That's right. They're all coming our way.	1																					
26	26		301								Lucia	We're messaging each other digitally, after all.	1																					
27	27		301								Lucia	No one has ever witnessed a wedding, and everyone could use some relief amidst the war.	1																					
28	28		301								Lucia	Plus, this area is stabilizing with everyone's combined effort anyway.	1																					
29	29		301								Lucia	Let's organize an eventful diversion off the record, Commandant.	1																					
30	30		302								If Lucia thinks so...	31	Alright, as long as it doesn't impede the mission.	32																				
31	31	33	301								Lucia	Then we're good, having Commandant's permission.	1																					
32	32		301								Lucia	Of course.	1																					
33	33		201							1	500025																							
34	34		301		1		AniZhuanchangBegin			1	Liv	Does that mean the wedding is on? That's great!	1																					
