Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory186.png																								
2	2		401							1	210																							
3	3		301			DialogEnable						Breezy night. White beaches. Salty air.																						
4	4		301									You push yourself up from the sand. Some seems to have gotten into your mouth.																						
5	5		302								...Bleugh.	6																						
6	6		301									This place is... Venus Splash Park.																						
7	7		301									Unlike the last time you were here, you see the entire water park ablaze with lights. Joyous Golden Age tunes, played by an accordion, wander into your ears.																						
8	8		301									You walk toward the water park. On your way there, you see more and more service robots.																						
9	9		401							1	205																							
10	10		301								Cathy?	Have a lookie! Have a gander! Would you like a live performance, friend?																						
11	11		301								Martini?	Hey buddy, want a glass of martini?																						
12	12		301									Deftly rotating the wheel beneath it, the service robot slides before you while holding a plate with two of its arms. It bows using the other two mechanical arms in a gentlemanly manner.																						
13	13		302								No thanks...	14	(Now's not the time for this.)	14																				
14	14		301								Martini?	Ahah, right! Underage drinking is illegal.																						
15	15		301									The robot announces in a blaring robotic tone. It turns, splashing you with some of the content inside the glasses. Proceeding to completely ignore you, it continues on its quest to provide martini for humans.																						
16	16		302								...	17	...Underage?	17																				
17	17		301								Cathy?	A customer! A customer! Another one! Another customer!																						
18	18		302								Another?	19	Are there other people here?	19																				
19	19		301								Cathy?	Please, good fellow. Come with me! Come with me!																						
20	20		301									The dainty looking robot jumps up and down before you. It must have too much energy.																						
21	21		302				AniZhuanchangBegin				(Follow)	999																						
22	999		101							Assets/Product/Texture/Image/BgStory/Bgstory203.png																								
23	22		301			AniZhuanchangEnd					Cathy?	The greatest performance is now live at Venus Splash Park!																						
24	23		301									The robot tugs you, leading you before a building. You see the watermelon A'Mao selling ice cream and souvenirs there. Several other robots are also cheerfully giving away snacks and toys.																						
25	24		301								A'Mao?	Here, kiddo. Have this.																						
26	25		302								No thanks...	26	Uh, thanks.	28																				
27	26		301									Completely ignoring your response, the watermelon stuffs a multicolored package into your hands.																						
28	27		302								...Fine.	28																						
29	28		301								A'Mao?	Yay! Haha! Yay!																						
30	29		301									Seeing you receive the gift, the watermelon cheerily yelps and rolls away into the distance.																						
31	30		302				AniZhuanchangBegin				...	31																						
32	31		101							Assets/Product/Texture/Image/BgStory/Bgstory204.png																								
33	32		401							1	209																							
34	33		301			AniZhuanchangEnd						The Cathy unit eventually leads you to a theater hall. You make out a banner scrawled with crayoned letters of "Death of Shome" on top of the stage.																						
35	34		302								...What kind of cult is this?	35																						
36	35		301									You look for Luna in the dim-lit spectator area, but instead find every other single robot gazing heatedly at you. Their eyes flicker in an eerie sheen, looking all the more terrifying in the darkness.																						
37	36		302								...Let's not try anything, just yet.																							
38	37		201							1	500177																							
39	38		301							1	Shark-speare?	Showtime! Showtime!	1																					
40	39		301									A spotlight flares up in the middle of the theater stage. Shark-speare, who has gotten on it since who-knows-when, is heralding the start of the show.																						
41	40		301								Shark-speare?	Showtime! Showtime!	1																					
42	41		301									Shark-speare's head falls off, revealing Shome's face inside, indignantly blinking.																						
43	42		401							1	202																							
44	43		201							1	500178																							
45	44		301							1	Shome?	Luna, do you really think you have everything under your control?	1																					
46	45		301								Shome?	Do you really think no one knows what you're planning?	1																					
47	46		301								Shome?	You must be disappointed! Before you learned of the truth from me, have you ever thought that you'd be stripped of your status as an agent?	1																					
48	47		301								Shome?	How does it feel when things go awry? But this is nothing! NOTHING, compared to the pain you have caused in others...!	1																					
49	48		301								Shome?	You will NEVER find happiness in your life! Not this one, not your next, or the one after!	1																					
50	49		301								Shome?	Repent by suffering for a thousandfold the pain you've caused! You deserve this! And your sister too, must bear the burden of your sin...	1																					
51	996		202							1																								
52	51		301								Luna	...Shut up!																						
53	52		301									Luna's voice reverberates from a corner in the darkness, audibly irate. The robots all stare at her fixedly.																						
54	53		301								Luna	Why... are you all looking at me like that...																						
55	54		301								Luna	No... Go away!																						
56	55		302								Luna!	57																						
57	57		301									In the few moments where you were taken by the play, the robots seem to have grown in numbers. You try to leave your seat, but the walls upon walls of steel block your way. The darkness does little to help you find Luna.																						
58	58		302								...The stage.	59																						
59	59		301									Fumbling around, you manage to crawl to the stage. You pull apart the heavy curtains and somehow find the spotlights trained upon you.																						
60	60		302								Hey! Look over here!	61	Free her!	61																				
61	61		301									You catch the attention of the robots. They rush at you, like ants swarming around honey.																						
62	62		301									With the mechanoids dispersed around her, you see that Luna has been standing next to the exit.																						
63	63		201							1	500238	4																						
64	64		301							1	Luna	...	1																					
65	65		301									She notices your gaze, but there is a lost expression about her. Her eyes meet yours over the sheets of mechanoids in the spectator seats, eventually focusing on them.																						
66	66		302								Stay there.	67																						
67	67		301									You mouth the words. You cannot tell if she heard you, but she does stand there, still and silent.																						
68	68		202							1					1																			
69	69		301									Looking around, you settle your sights on a banner around the stage, one dangling with balloons and ribbons.																						
70	70		301									You fish out the gift the watermelon gave you earlier and fashion a lasso out of the packaging ribbon. Giving it a good throw, it latches onto the banner. Then testing it for integrity, you hop and take to the air.																						
71	998		502							RImgBg1Shake																								
72	888		401							2	1512																							
73	71		301									As the wall grows closer and closer, you let go, mentally judging the distance. You land perfectly... with a thud, right next to a mechanoid.																						
74	72		201							1	500238	4																						
75	73		301							1	Luna	...	1																					
76	74		302								I'm fine!	75	Just a tiny accident.	75																				
77	75		301									The mechanoids take immediate notice of you. Without another word, you grab Luna's hand and run.																						
78	76		301				AniZhuanchangBegin					Just like the last time.																						
79	997		101							Assets/Product/Texture/Image/BgStory/Bgstory203.png																								
80	77		301			AniZhuanchangEnd					Luna	Where are we going?	1																					
