Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory67.jpg																								
2	2		401							1	5																							
3	3		301			DialogEnable					???	How is it, adapting to the new environment well?																						
4	4		201							1	1011001																							
5	5		301							1	Lee	Yes, it's all good. You don't have to worry.	1																					
6	6		301								Lee	Not to mention, you should know exactly how I'm doing, shouldn't you?	1																					
7	7		301								???	Haha, you could say so.																						
8	8		301								???	But, I'd feel more relieved hearing it from you directly.																						
9	9		301								Lee	Don't worry so much about me. It'll get to me as well.	1																					
10	10		301								Lee	Have more faith in both yourself and me.	1																					
11	11		301								???	Right, I will.																						
12	12		301								???	Just, seeing you with that commandant...																						
13	13		301								???	Makes me a bit jealous.																						
14	14		301								???	If I could, I'd like to go to Earth with you too...																						
15	15		301								Lee	Don't be silly... The commandant is in constant danger of consciousness damage and death just being on a mission.	1																					
16	16		301								Lee	It might seem noble and exciting, but if I can...	1																					
17	17		301								Lee	I'd like for you to live safe and sound. Just that.	1																					
18	18		301								???	I'm all grown up now, unlike before!																						
19	19		301								???	I've been working hard to catch up to you...																						
20	20		301								???	Binary is nothing but a piece of cake to me now!																						
21	21		301								Lee	Right, right, but you still have a long way to go if you want to surpass me.	1																					
22	22		301								???	Tch, I'll get there someday!																						
23	23		301								???	And then I'll be the one protecting you...																						
24	24		301								Lee	All grown up, huh...	1																					
25	25		301		1		AniZhuanchangBegin				Lee	Alright then. I look forward to that day.	1																					
