Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory0.png																								
2	2		401							1	2																							
3	3		201							1	500040																							
4	4		301			DialogEnable				1	Nanami	All gone... Humans... have they all left?	1																					
5	5		301								Nanami	Activating repair sequence—	1																					
6	6		301				AniZhuanchangBegin					………………																						
7	7		202							1					1																			
8	8		101							Assets/Product/Texture/Image/BgStory/Bgstory5.jpg																								
9	9		201							1	500038																							
10	10		301			AniZhuanchangEnd				1	Nanami	It's fixed... My body... wow...	1																					
11	11		301								Nanami	But... why aren't I corrupted...?	1																					
12	12		301								Nanami	Just now, when I wasn't thinking straight, I kept thinking about the time with Mommy and Daddy...	1																					
13	13		301								Nanami	It's because of them that... I... persevered...	1																					
14	14		301								Nanami	But... I can never go back...	1																					
15	15		301								Nanami	Humans will not accept the machine that is me...	1																					
16	16		301								Nanami	But... I'm thinking like a human now... and free...	1																					
17	17		301								Nanami	So... am I a human... or... a machine...?	1																					
18	18		301								Nanami	Ah!	1																					
19	19		301								Nanami	This is... my... digital diary...!	1																					
20	20		301								Nanami	...	1																					
21	21		202							1					1																			
22	22		301									...																						
23	23		301				AniZhuanchangBegin				Nanami	I must keep it safe...																						
24	25		101							Assets/Product/Texture/Image/BgCg/Cgqz303.jpg																								
25	26		301			AniZhuanchangEnd						Relaying data—																						
26	27		301								Nanami	Mother, Father... Jane... I'll keep myself safe... I'll bring all these precious things over...																						
27	28		301								Nanami	Then... I'll continue to walk this Earth... as a new me.																						
28	29		301								Nanami	Even though I don't know what the future holds... Or where I should go...																						
29	30		301								Nanami	But now that I've accepted my true self... I don't know why, but I feel a sense of relief... Heehee...																						
30	31		301								Nanami	From now on, I'm my own person...																						
31	32		301		1		AniZhuanchangBegin				Nanami	It's a bit lonely though, hehe...																						
