Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory122.png																								
2	2000		401							1	207																							
3	2		301			DialogEnable						June 3rd, 10:19																						
4	3		301									Babylonia Ground Frontier, Airforce Base 28, Battle Preparation Room																						
5	4		201							1	500080																							
6	5		301							1	Watanabe	...That's... what happened.	1																					
7	6		203							1	0.25	-400																						
8	7		201							2	500106		400																					
9	8		301							1	Cyril	...	2																					
10	9		301								Watanabe	Sorry... If I got there quicker, I might've been able to save him.	1																					
11	10		202							1					1																			
12	11		203							2	0.25																							
13	12		301								Cyril	...	2																					
14	13		301								Cyril	The very first virus outbreak... Took place just after I left Islay.	2																					
15	14		301								Cyril	Do you know that Islay made the best whisky? I really miss that peat flavor...	2																					
16	15		301								Cyril	My wife had some leg problems. She could only walk out to the garden...	2																					
17	16		203							2	0.25	400																						
18	17		201							1	500080		-400																					
19	18		301							1	Watanabe	...Is she alright?	1																					
20	19		301								Cyril	Like most people, she died in that disaster, leaving nothing behind.	2																					
21	20		301								Watanabe	...	1																					
22	21		202							1					1																			
23	22		203							2	0.25																							
24	23		301								Cyril	Look at me, Captain, "Beak of Islay", what a fancy name! But I couldn't even protect my own family!	2																					
25	24		301								Cyril	I learned this the hard way long ago. But my son didn't understand...! I cut off all the possible ways for him to join the army, only to find out he joined the mercenary...	2																					
26	25		301								Cyril	I only learned about his death after three months! Three bloody months... There wasn't even a proper obituary...	2																					
27	26		301								Cyril	(Coughs fiercely)	2																					
28	27		201							2	500080																							
29	28		301							1	Watanabe	Calm down.	2																					
30	29		202							2					1																			
31	30		301									Cyril refuses the water offered by Watanabe. He supports himself with a hand on the desk. For quite some time, his chest moved up and down before he finally raises his head and stares at Watanabe.																						
32	31		201							1	500106																							
33	32		301							1	Cyril	What happened to you after that? I heard the Construct reconstruction surgery isn't easy... Did you do it because of the pay?	1																					
34	33		203							1	0.25	400																						
35	34		201							2	500080		-400																					
36	35		301							1	Watanabe	...	2																					
37	36		301								Watanabe	To be honest, I joined the mercenary for the money in the beginning.	2																					
38	37		301								Cyril	Some wanted fame, some wanted wealth. Some might do it out of impulse. But the army is never as simple as you think, young blood.	1																					
39	38		202							1					1																			
40	39		203							2	0.25																							
41	40		301								Watanabe	With all due respect, Captain, Bruce never joined the army out of impulse. He had his beliefs...	2																					
42	41		301								Watanabe	If you could have more time with him, I'm sure you would be proud of him.	2																					
43	42		301								Watanabe	I could not understand why Bruce insisted to stay and continue searching.	2																					
44	43		301								Watanabe	But since then I've witnessed too many tragedies and lost too many people...	2																					
45	44		301								Watanabe	I walked 10km in the snow, dead bodies everywhere. Broken limbs hung from trees like firecrackers.	2																					
46	45		201							2	500106																							
47	46		301							1	Cyril	This is a world where human lives don't matter anymore.	2																					
48	47		201							2	500080																							
49	48		301							1	Watanabe	...	2																					
50	49		301								Watanabe	But now, I slowly begin to understand Bruce.	2																					
51	50		301								Watanabe	If I became a Construct... I may be able to kill one more Corrupted and save one more person. I never had any direction in life, but ever since I became a Construct, I found the reason to live on.	2																					
52	51		301								Watanabe	Bruce taught me that.	2																					
53	52		301								Watanabe	He was a great friend.	2																					
54	53		202							2					1																			
55	54		301									Cyril does not reply. He looks away and picks up a file on the desk.																						
56	55		201							1	500106																							
57	56		301							1	Cyril	Do you know what they are shipping this time, kid?	1																					
58	57		203							1	0.25	400																						
59	58		201							2	500080		-400																					
60	59		301							1	Watanabe	Maintenance equipment and supplies?	2																					
61	60		301								Cyril	That's what they told everyone else. But really, they are just sending the "VIPs" and their belongings away from the war.	1																					
62	61		301								Watanabe	...	2																					
63	62		202							1	2				1																			
64	63		301									Cyril tosses the folder to Watanabe.																						
65	64		201							1	500106																							
66	65		301							1	Cyril	See for yourself. Here's the list of passengers and supplies on board.	1																					
67	66		203							1	0.25	-400																						
68	67		201							2	500080		400																					
69	68		301							1	Watanabe	The Earth Minister of Administration, Secretary of the Treasury, Administrator of Area 50 to 72...	2																					
70	69		301								Watanabe	Metropolitan Museum 272 pieces of grade 1 collections, 360 pieces of grade 2 collections; private gallery contribution... Owner... Earth Minister of Immigration?	2																					
71	70		301								Cyril	Humans are going extinct, but Babylonia still has the luxury to ship artworks. Very admirable, don't you think?	1																					
72	71		301								Watanabe	...	2																					
73	72		301								Watanabe	...Babylonia is in a very special situation. We can't rule out the possibility that some people with ill intent are planning something.	2																					
74	73		301								Watanabe	How did you get this confidential information?	2																					
75	74		301								Cyril	Don't forget I served three times longer than you did.	1																					
76	75		301								Cyril	Have you realized the true nature of those people, young man?	1																					
77	76		301								Cyril	This government that you are fighting for... Are they the saviors, or just a bunch of cowards... You better see with your own eyes.	1																					
78	77		202							1					1																			
79	78		203							2	0.25																							
80	79		301								Watanabe	...Thank you for the advice, Captain Cyril.	2																					
81	80		301								Watanabe	But we are still soldiers, fighting for humanity.	2																					
82	81		301								Watanabe	The duty of a soldier is to obey orders. We can only do our best to complete the mission.	2																					
83	82		201							2	500106																							
84	83		301							1	Cyril	...	2																					
85	84		301		1		AniZhuanchangBegin				Cyril	Haha, you're right, young man.	2																					
