Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory21.jpg																								
2	2		401							1	208																							
3	3		201							1	500214	14																						
4	4		301			DialogEnable				1	Rosetta	So... a game of chance.	1																					
5	5		301									Having heard your description of the mystery box, Rosetta sighs a breath of relief. After a brief consideration, she has seemingly made up her mind.																						
6	6		204							1																								
7	7		301								Rosetta	Can I delegate the task of opening the box to you, Commandant? I don't need to be the one to open it if we're hoping to share the surprise.	1																					
8	8		302								If you insist...	9																						
9	9		301									You take the mystery box back from Rosetta. It feels heavier now, bearing both of your expectations.																						
10	10		302								Here goes a whole week of luck!	11																						
11	11		301									You trade a week of luck with a small bonfire-shaped night light. You turn it on, and the soft, warm light illuminates Rosetta's face.																						
12	12		204							1	1																							
13	13		301								Rosetta	I'm glad you are the one who opened it.	1																					
14	14		301		1		AniZhuanchangBegin				Rosetta	Do you remember the bonfire we lit in the Arctic? It looked as heartwarming as this. This light belongs to us, and I will defend it with my life.	1																					
