Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory93.png																								
2	2		401							1	10																							
3	3		301			DialogEnable						The person looks to be the leader of the refugees clumsily expresses thanks.																						
4	4		302								What are you people doing here?	5																						
5	5		201							1	500136																							
6	6		301							1	Refugee	We're told that this mountain is home to the Grand Elder.	1																					
7	7		302								The Grand Elder?	8																						
8	8		301							1	Refugee	They say faithful believers in the Grand Elder will be fed pancakes and goat milk.	1																					
9	9		301							1	Refugee	The Grand Elder hates to see people suffer.	1																					
10	10		201							1	500166																							
11	11		301							1	Lucia	Where's this "Grand Elder"?	1																					
12	12		202							1																								
13	13		301									With a shaky finger the refugee leader points to the summit in the distance. That's where the monastery Celica mentioned is located.																						
14	14		201							1	500136																							
15	15		301							1	Refugee	But getting in the Grand Elder's door is not easy.	1																					
16	16		301							1	Refugee	You need to go to that stone house down there and memorize the Grand Elder's scripture.	1																					
17	17		202							1																								
18	18		301									The campsite, now lying in tatters, offers little shelter to the refugees you've saved.																						
19	19		301									You watch the refugees pack their things and can't think of a reason to stop them leaving.																						
20	20		301									Then again, it's unlikely that the mission location Celica gave you proves to be some philanthropist's abode. There must be more than meets the eye about the monastery.																						
21	21		201							1	1031001																							
22	22		301							1	Lee	Let's find a place out of the wind to make camp.	1																					
23	23		301							1	Lee	We gotta keep Commandant's body temperature up.	1																					
24	24		302				AniZhuanchangBegin				Okay.	25																						
25	25		202		1					1																								
