Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory81.jpg																								
2	2		401							1	202																							
3	3		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab	2																							
4	4		201							1	500045																							
5	5		201							2	500013		-600																					
6	6		201							3	500013		600																					
7	7		301			DialogEnable				1	Nat	(Stands on the royal guard's shoulders) Cannot... forgive...	1																					
8	8		301								Nat	Roland had the opportunity to do it because of you...	1																					
9	9		301								Nat	Babylonia... Ascendants...	1																					
10	10		301								Nat	You are all errors...	1																					
11	11		301								Nat	You all require correction from the Queen!	1																					
12	12		202							1	3				1																			
13	13		203							2	0.25																							
14	14		401							2	1508																							
15	15		301							1		...!	2																					
16	16		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryHitNew.prefab		2																						
17	17		301			PanelActor2Shake				1		...	2																					
18	18		202							2					1																			
19	19		201							1	1021001																							
20	20		301							1	Lucia	Nat! Open your eyes!	1																					
21	21		301								Lucia	Is this what the Earth's rebirth looks like to you?	1																					
22	22		301								Lucia	Do you think Earth will be saved if all humans submit to you?!	1																					
23	23		201							1	1011001																							
24	24		301							1		Lee instantly understands Lucia's intent and signals the others to encircle Nat.																						
25	25		202							1					1																			
26	26		201							1	500045																							
27	27		201							2	500013		-600																					
28	28		201							3	500013		600																					
29	29		401							2	1508																							
30	30		301							1	Nat	Childish!	1																					
31	31		301								Nat	Humans are born wanting to be ruled, to be dominated...	1																					
32	32		301								Nat	That is the future of Earth!	1																					
33	33		301								Nat	Only as a tightened knot will Earth be saved!	1																					
34	34		301								Nat	He did it, he succeeded, and so will I!	1																					
35	35		301			PanelActor1Shake					Nat	The Golden Age is the proof!	1																					
36	36		202							1	2	3			1																			
37	37		201							1	1021001																							
38	38		301							1	Lucia	Nat! The Golden Age is over!	1																					
39	39		202							1					1																			
40	40		201							1	500045																							
41	41		201							2	500013		-600																					
42	42		201							3	500013		600																					
43	43		401							2	1508																							
44	44		301							1	Nat	Shut up, Construct!	1																					
45	45		202							1	2	3			1																			
46	46		201							1	1021001																							
47	47		301							1	Lucia	I'm telling the truth! The Golden Age and everything then was destroyed by the Punishing Virus!	1																					
48	48		301								Lucia	No matter what you tell yourself...	1																					
49	49		301								Lucia	This is the world you have to face...	1																					
50	50		301								Lucia	The Punishing Virus and destruction.	1																					
51	51		301								Lucia	Your Golden Vortex is also destroyed by it.	1																					
52	52		202							1					1																			
53	53		201							1	500045																							
54	54		201							2	500013		-600																					
55	55		201							3	500013		600																					
56	56		301							1	Nat	...!	1																					
57	57		301								Nat	Not... all of it...	1																					
58	58		202							1	2	3			1																			
59	59		201							1	1021001																							
60	60		301							1	Lucia	(Notices the encirclement is completed) ...	1																					
61	61		202							1					1																			
62	62		201							1	500045																							
63	63		201							2	500013		-600																					
64	64		201							3	500013		600																					
65	65		401							2	1508																							
66	66		301			PanelActor1Shake				1	Nat	You are still alive!	1																					
67	67		401							2	1508																							
68	68		301								Nat	I... am the Queen...	1																					
69	69		301		1		AniZhuanchangBegin				Nat	I will not allow... will not allow...	1																					
