Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory79.jpg																								
2	2		401							1	202																							
3	3		201							2	1101001																							
4	4		301			DialogEnable				1	Watanabe	Liv, hold on! We'll... find a way to...	2																					
5	5		301								Watanabe	Before that, you mustn't allow yourself to be captured by that pseudo-consciousness. Or else, you'll be taken and imprisoned.	2																					
6	6		301								Watanabe	And it will usurp your M.I.N.D.	2																					
7	7		202							2					1																			
8	8		201							1	1031001																							
9	9		301							1	Liv	Okay... I'll try holding on longer...	1																					
10	10		202							1					1																			
11	11		201							2	1101001																							
12	12		301							1	Watanabe	Damn it!	2																					
13	13		202							2					1																			
14	14		201							3	500005																							
15	15		301		1		AniZhuanchangBegin			1	Forsaken Soldier	Watanabe...	3																					
