Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory14.png																								
2	2		401							1	205																							
3	3		301			DialogEnable						Not long ago—																						
4	4		201							1	1041001	1																						
5	5		301							1	Nanami	Oh? Looks like there's a party in the Gray Raven lounge!	1																					
6	6		301								Nanami	Let Nanami see what the Gray Ravens are up to!	1																					
7	7		301									And so Nanami sees...																						
8	8		301									...The Gray Raven Commandant sitting in the middle, wearing a strange headgear, with Liv whispering something beside. Lee and Kamui are arguing heatedly over something.																						
9	9		301									What they have in common is that they are all holding their controllers hard in their hands.																						
10	10		301									Nanami's hand sneakily plants her hand on the terminal of the lounge.																						
11	11		401							2	1515																							
12	12		301								Nanami	(Oohh... I see!)	1																					
13	13		301								Nanami	(How can they leave Nanami out of such FUN!)	1																					
14	14		401							2	1515																							
15	15		301								Nanami	(Aaaand... Done! Next, time for Nanami's showtime!)	1																					
16	16		301								Nanami	(Ohoho... this will be fun!)	1																					
17	17		401							2	1509																							
18	18		301								Nanami	(Ah! Then I might as well... And get everyone together to...)	1																					
19	19		301								Nanami	(Oh? What's this? Let's have a lookie...)	1																					
20	20		203							1	0.25	-400																						
21	21		201							2	1031001	7	400																					
22	22		301							1	Liv	Nanami?	2																					
23	23		301			PanelActor1Shake				1	Nanami	Hmm...	1																					
24	24		301									You take off the device and see the suspicious Nanami doing her suspicious things to the terminal.																						
25	25		302								I knew it...	26																						
26	26		204							2																								
27	27		301								Liv	Those strange questions just now, those were Nanami's doing...	2																					
28	28		301								Nanami	Ehehe, you found out.	1																					
29	29		301								Nanami	Nanami wanted to ask some interesting questions, but you just wouldn't answer them!	1																					
30	30		301								Nanami	But whatever! Nanami is going to keep playing!	1																					
31	31		301								Nanami	Nanami saw a watermelon on the beach just now!	1																					
32	32		301								Nanami	And from the old files, humans always do this on the beach—they smash watermelons blindfolded!	1																					
33	33		301								Nanami	But Nanami never understood the point of this... Maybe I'll understand if I get to experience it!	1																					
34	34		301								Nanami	Nanami Army—Attack!	1																					
35	35		204							2	7																							
36	36		301								Liv	Watermelon...? Ah, Nanami! Wait!	2																					
37	37		203							1	0.25	-1460																						
38	38		202							1																								
39	39		301								Liv	...	2																					
40	40		201							1	1081001		-400																					
41	41		301							1	Kamui	Commandant! Liv! Why did you two suddenly exit the game? Weird things are popping up on the beach! Hurry back!	1																					
42	42		301				AniZhuanchangBegin				Liv	We're coming now! Lee! You're still in the game, right?	2																					
43	43		101							Assets/Product/Texture/Image/BgStory/Bgstory184.png																								
44	44		202							1	2				1																			
45	45		201							1	500173																							
46	46		301			AniZhuanchangEnd				1	Lee	Yeah.	1																					
47	47		201							1	1031001	7																						
48	48		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																						
49	49		301							1	Liv	Um, I don't have time to explain now... But we can't let Nanami break the watermelon! That watermelon is...	1																					
50	50		202							1																								
51	51		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																					
52	52		201							1	500173																							
53	53		301							1	Lee	The "mission item?" Alright, then.	1																					
54	54		201							1	1081001	1																						
55	55		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																						
56	56		301							1	Kamui	What... What are you talking about?	1																					
57	57		201							1	1031001	14																						
58	58		301							1	Liv	The watermelon is the reward for the beach volleyball earlier, and a very important mission item.	1																					
59	59		201							1	1081001	1																						
60	60		301							1	Kamui	Really? It's my first time hearing about it...	1																					
61	61		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																					
62	62		201							1	500173																							
63	63		301							1	Lee	Didn't you read the story?	1																					
64	64		201							1	1081001	2																						
65	65		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																						
66	66		301							1	Kamui	Huh? There's a story?	1																					
67	67		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																					
68	68		201							1	500173		-400																					
69	69		201							2	1031001	14	400																					
70	70		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		2																						
71	71		301								Liv and Lee	...	1	2																				
72	72		302								What happens if the watermelon's smashed?	73																						
73	73		401							1	102																							
74	74		301								Liv	A "tragedy that can't be undone" will happen, and we'll fail the mission.	2																					
75	75		301								Lee	So we can't let Nanami destroy the mission target.	1																					
76	76		302				AniZhuanchangBegin				I'll be counting on you, Lee!	77																						
77	77		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		2																					
78	78		101							Assets/Product/Texture/Image/BgStory/Bgstory184.png																								
79	79		202							1	2				1																			
80	80		301			AniZhuanchangEnd						Right now, Lee stands alone on the beach.																						
81	81		201							1	500173																							
82	82		301							1		So while the commandant and the others are trying to reconnect to the game, Lee will have to protect the mission item.																						
83	83		301									Lee nods. He rushes over with a serious look, the same as ever.																						
84	84		301		1		AniZhuanchangBegin					——Donning the armor that is a swimsuit, Lee enters a duel on the battlefield that is the beach.																						
