Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory14.png																								
2	2		401							1	5																							
3	3		201							1	1091001																							
4	4		301			DialogEnable				1	Bianca	Hello, Gray Raven Commandant.	1																					
5	5		302								Bianca?	6	What's Bianca doing here?	6																				
6	6		301								Bianca	Given it's an important mission, I was ordered to offer my support to the Gray Raven.	1																					
7	7		203							1	0.25	400																						
8	8		201							2	1021001		-400																					
9	9		301							1	Lucia	Thank you, I'm sure it'll go well.	2																					
10	10		201							2	1031001		-400																					
11	11		301							1	Liv	Well, Karenina... she didn't come?	2																					
12	12		301								Bianca	I asked her to stay at the base to avoid unnecessary issues.	1																					
13	13		202							1	2				1																			
14	14		201							1	1011001																							
15	15		301							1	Lee	Wise move. I'm afraid the application for infrastructure reconstruction has not yet been approved due to Karenina's sudden visit.	1																					
16	16		201							1	1101001	1	-400																					
17	17		201							2	1091001		400																					
18	18		301							1	Watanabe	I found the infrastructure materials you asked for earlier...	1																					
19	19		204							1	5																							
20	20		204							2	4																							
21	21		301								Bianca	...Watanabe!	2																					
22	22		301								Watanabe	...Bianca!	1																					
23	23		302								Um...	24	Calm down.	24																				
24	24		202							1	2				1																			
25	25		201							1	1011001																							
26	26		301							1	Lee	Wait! No more unwanted issues!	1																					
27	27		201							1	1021001	4																						
28	28		301							1	Lucia	You're both here to assist us in this mission. Please drop your weapons!	1																					
29	29		201							1	1101001	5	-400																					
30	30		201							2	1091001	4	400																					
31	31		301							1	Bianca	Since it's arranged so.	2																					
32	32		301								Watanabe	...Hmph, I'll do it for the sake of Lucia.	1																					
33	33		202							1	2				1																			
34	34		201							1	1031001	14																						
35	35		301		1		AniZhuanchangBegin			1	Liv	Are you two okay? Karenina was not even here...	1																					
