Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory61.jpg																								
2	2		401							1	201																							
3	3		401							2	1509																							
4	4		201							1	1011001																							
5	5		301			DialogEnable				1	Lee	The tactical terminal has been activated.	1																					
6	6		202							1					1																			
7	7		301									...																						
8	8		302								Nothing?	9	No memory?	9																				
9	9		201							1	1031001																							
10	10		301							1	Liv	There was a 0.03-second flicker just above the terminal, but it disappeared immediately...	1																					
11	11		201							1	1021001																							
12	12		301							1	Lucia	No response from the terminal, Lee?	1																					
13	13		201							1	1011001																							
14	14		301							1	Lee	The tactical terminal well functions and no anomalies were detected.	1																					
15	15		401							1	112																							
16	16		201							1	1021001																							
17	17		301							1	Lucia	—!	1																					
18	18		201							1	1011001																							
19	19		301							1	Lee	...Enemies coming?	1																					
20	20		201							1	1031001	7																						
21	21		301							1	Liv	No response from the Corrupted detected!	1																					
22	22		201							1	1021001	4																						
23	23		301							1	Lucia	But I sense a real and murderous feeling all over my body...	1																					
24	24		301								Lucia	...Stay put.	1																					
25	25		201							1	1031001																							
26	26		301							1	Liv	Where would the enemies be...	1																					
27	27		201							1	1011001																							
28	28		301							1	Lee	Wait, I figured it out.	1																					
29	29		201							1	1021001	4																						
30	30		301							1	Lucia	—!	1																					
31	31		204							1																								
32	32		401							1	204																							
33	33		301								Lucia	The murderous feeling is gone. What did you do, Lee?	1																					
34	34		201							1	1011001	10																						
35	35		301							1	Lee	I closed the tactical terminal for now. Turns out the memory intends to attack us.	1																					
36	36		201							1	1031001																							
37	37		301							1	Liv	But she won't be able to touch us for real... right?	1																					
38	38		201							1	1021001	3																						
39	39		301							1	Lucia	The murderous feeling was so real, like a cut on the skin.	1																					
40	40		204							1																								
41	41		301								Lucia	It's hard to imagine that such a feeling comes from a memory.	1																					
42	42		302							996	Seems like it's a powerful one.	45	But it shouldn't be able to affect us.	46																				
43	43		201							1	1011001																							
44	44		303							996																								
45	45	47	301							1	Lee	In this case, there's no way to properly test the memory. Things are getting a bit tricky.	1																					
46	46		301							1	Lee	In this case, there's no way to properly test the memory. Things are getting a bit tricky.	1																					
47	47		302								Perhaps I've got an idea.	48	Lee, reactivate the terminal.	48																				
48	48		201							1	1031001	14																						
49	49		301							1	Liv	Commandant, do you have any idea?	1																					
50	50		201							1	1011001																							
51	51		301							1	Lee	...I see.	1																					
52	52		202							1					1																			
53	53		301									...																						
54	54		401							1	205																							
55	55		201							1	500079																							
56	56		301							1	Cottie	Well, what's going on? I'm right in a dream of donuts!	1																					
57	57		301								Cottie	You won't get away with it if you're waking me up just for some boring little stuff!	1																					
58	58		301								Cottie	Well, what's this feeling...	1																					
59	59		301								Cottie	I see. Huh, it was the commandant's idea, right? You've found the right person this time.	1																					
60	60		301								Cottie	Aife, is that you?	1																					
61	61		201							1	500078																							
62	62		301							1	Aife	Cottie... it's been a while.	1																					
63	63		201							1	500079																							
64	64		301							1	Cottie	You're still the same as before, ready to attack others at any time, you cross sniper.	1																					
65	65		201							1	500078																							
66	66		301							1	Aife	Isn't it normal to be on alert and take a defensive stance with weapons at all times?	1																					
67	67		201							1	500079																							
68	68		301							1	Cottie	Are you calling sniping defense? Forget it, take a good look at the person behind.	1																					
69	69		302								...Aife.	70	...	70																				
70	70		401							1	207																							
71	71		201							1	500078																							
72	72		301							1	Aife	...!	1																					
73	73		201							1	500079																							
74	74		301							1	Cottie	See? These are not your enemies.	1																					
75	75		201							1	500078																							
76	76		301							1	Aife	I knew it. Our battles... won't just end up like this.	1																					
77	77		201							1	500079																							
78	78		301							1	Cottie	Hmph, after all, "that guy" has barely won my approval. I could never be wrong about others!	1																					
79	79		201							1	500078																							
80	80		301							1	Aife	Then I got it.	1																					
81	81		201							1	1011001																							
82	82		301							1	Lee	The timing is just right. Test for memory integrity and corruption completed. Ready for recycling.	1																					
83	83		201							1	500078																							
84	84		301							1	Aife	Sergeants are always at their disposal. Whatever the order is, consider it done.	1																					
85	85		302								Alright, Aife?	86	Start recycling, Lee.	86																				
86	86		301								Aife	Commandant... I haven't heard of it in a while.	1																					
87	87		201							1	1011001																							
88	88		301							1	Lee	So, all the memory data recycling is completed.	1																					
89	89		201							1	500079																							
90	90		301							1	Cottie	Hey! Well... Commandant!	1																					
91	91		302								Huh?	92	Cottie, what's going on?	92																				
92	92		301								Cottie	I don't care if you're the commandant of the former Moe Army, our commandant... anyway, listen to me!	1																					
93	93		301								Cottie	Heads up! I haven't been waiting for someone... or being excited to see someone...	1																					
94	94		301								Cottie	... like having a lot of delicious donuts!	1																					
95	95		301								Cottie	But! If you dare to wake me up from a sweet dream of donuts, you'd have to take responsibility for it!	1																					
96	96		301								Cottie	I don't care what enemies you're up against, or what damn Punishing Virus, I just want you to win! Got it?	1																					
97	97		302								Understood.	98	Leave it to us.	98																				
98	98		301								Cottie	And, I'm not looking forward to those words... you know?	1																					
99	99		302								?	100	……	100																				
100	100		301								Cottie	Wel... Hey, don't you have something to say since I offered my help as a powerful marshal?	1																					
101	101		302								Welcome back, Cottie!	102	Ah, welcome back!	102																				
102	102		301								Cottie	Hmph, good luck. I'll be waiting.	1																					
103	103		202							1					1																			
104	104		301									...																						
105	105		201							1	1031001	6																						
106	106		301							1	Liv	...Is it over?	1																					
107	107		301								Liv	Seems like the commandant has made an incredible pact.	1																					
108	108		201							1	1021001	3																						
109	109		301							1	Lucia	It's a heavy inheritance.	1																					
110	110		201							1	1011001																							
111	111		301							1	Lee	That's true.	1																					
112	112		302								Be sure to win!	113	Let's tough it out together!	113																				
113	113		201							1	1011001		-600																					
114	114		201							2	1021001	4																						
115	115		201							3	1031001		600																					
116	116		301		1		AniZhuanchangBegin			1	Lucia	I'm sure we will, Commandant.	2																					
