Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory247.png																								
2	1000		401							1	201																							
3	2		201							1	500219	16																						
4	3		301			DialogEnable				1	Little Girl	Nngh...	1																					
5	4		201							1	500231																							
6	5		301							1	HNB1	Can you keep going?	1																					
7	6		201							1	500219	16																						
8	7		301							1	Little Girl	I'm... I'm okay...	1																					
9	8		201							1	500233																							
10	9		301							1	HBG3	All this is too much for a human child to handle. Let's find a place to rest.	1																					
11	10		201							1	500219	16																						
12	11		301							1	Little Girl	No, I'm... I'm okay...!	1																					
13	12		201							1	500231																							
14	13		301							1	HNB1	You've already done great.	1																					
15	14		202												1																			
16	15		301									Seeing the sad look on the girl's face, HNB1 pats her consolingly on the head.																						
17	16		201							1	500231	1				1																		
18	17		301							1	HNB1	A few hours of rest won't hurt. Are you hungry? I heard your stomach growl.	1																					
19	18		201							1	500219	4																						
20	19		301							1	Little Girl	Am not! My tummy didn't growl!	1																					
21	1001		204							1																								
22	20		301									(Stomach growls)																						
23	21		301								Little Girl	O-okay, fine... Maybe a little...	1																					
24	22		201							1	500231	1																						
25	23		301							1	HNB1	It's okay. I won't laugh at you.	1																					
26	1002		204							1																								
27	24		301								HNB1	I'll go look for something to eat. Find somewhere nearby for her to rest, G3.	1																					
28	25		201							1	500233																							
29	26		301		1		AniZhuanchangBegin			1	HBG3	Understood.	1																					
