Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory65.jpg																								
2	2		401							1	102																							
3	3		301									The monster is powerful, even summoning countless bionics to fight for it.																						
4	4		301									But up against the battle-hardened Constructs of "Virtual Horizon"...																						
5	5		302								Entropy, don't let any stragglers go!	6																						
6	6		201							1	500026																							
7	7		301							1	Entropy	I'd advise giving up.	1																					
8	8		401							2	10001004																							
9	9		301									The bionics charging on the frontline are reduced to scrap metal amid the bulletstorm, hindering their assault.																						
10	10		302								Eclipse, stop them in their tracks.	11																						
11	11		201							1	1031001																							
12	12		301							1	Eclipse	I can do it.	1																					
13	13		401							2	1509																							
14	14		301									Right as the bionics slow their assault, Eclipse opens up a small black hole, absorbing a horde of bionics and clearing a much needed path.																						
15	15		302								Lotus... It's all up to you.	16																						
16	16		201							1	1021001																							
17	17		301							1	Lotus	Roger.	1																					
18	18		301									Lotus jumps on the back of a bionic, leaping into battle and charging the monster.																						
19	19		401							2	10002001																							
20	20		201							1	500209																							
21	21		301			PanelActor1Shake				1	Dark Monster	AAAAGGHHH!	1																					
22	22		301									The monster adeptly swings its claws to catch Lotus, but it takes two scythed hits from both sides.																						
23	23		201							1	500110																							
24	24		301							1	Brilliance	Be careful, don't let me take everyone's attention away!	1																					
25	25		201							1	500155																							
26	26		301							1	Arclight	Give it your best shot!	1																					
27	27		202							1					1																			
28	28		301									Without skipping a beat, Lotus stomps on the monster's claws and plunges her blade into its chest.																						
29	29		401							2	10002001																							
30	30		201							1	500209																							
31	31		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryHitNew.prefab	3																							
32	32		301							1	Dark Monster	Rargh!!!!!	1																					
33	33		301									The dying monster waves its claws wildly, clearing all of the Constructs in its way. It fixes its gaze, in preparation to charge at you.																						
34	34		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryHitNew.prefab																							
35	35		201							1	500001	4																						
36	36		301							1	Ann	Commandant, watch out!	1																					
37	37		201							1	1041001																							
38	38		301							1	Storm	Muda!	1																					
39	39		401							2	10005001																							
40	40		301			PanelActor1Shake						Storm leaps high and cleaves the monster in two with her chainsaw, leaving everyone stunned.																						
41	41		302								When did the Storm model get so OP?!	42																						
42	42		202							1					1																			
43	68		401							1	22																							
44	43		301									Regardless, the monster is finally vanquished. The world around you begins to fade into a blur.																						
45	44		201							1	500001																							
46	45		301							1	Ann	It's over... Commandant... You will soon return to your world.	1																					
47	46		302								Ann...	47																						
48	47		301								Ann	I'm afraid you'll forget all of this when you wake up, since your consciousness was forced in here.	1																					
49	48		302								You mean like it was all a dream?	49																						
50	49		301								Ann	A dream... Perhaps. Maybe it will be for you, and maybe even to us.	1																					
51	50		301				AniZhuanchangBegin				Ann	Looks like it's time for us to sleep as well. Maybe we'll meet again next time when we wake up—Commandant.	1																					
52	51		101							Assets/Product/Texture/Image/BgStory/BgStory46.jpg																								
53	52		401							1	210																							
54	53		201							1	500012		-400																					
55	54		201							2	500004		400																					
56	55		301			AniZhuanchangEnd				1	Nikola	Is the commandant awake?	1																					
57	56		301								Asimov	Yes. Just dozed off is all. Looks like everything is back to normal.	2																					
58	57		301								Nikola	What about "Virtual Horizon"?	1																					
59	58		301								Asimov	Rosetta and I checked again, and no abnormalities were found. That strange data noise hasn't appeared ever since.	2																					
60	59		301								Nikola	So, looks you guys were worried about nothing.	1																					
61	60		301								Asimov	Maybe, but according to the commandant, the sudden slumber came right after the experiment, which is not normal.	2																					
62	61		301								Asimov	I highly advise putting a stop to further testing until we uncover the truth behind the matter.	2																					
63	62		301								Nikola	Alright, sure.	1																					
64	63		202							2					1																			
65	64		203							1	0.25	0																						
66	65		301									As Asimov leaves, Nikola lets out a grin.																						
67	66		204							1	13																							
68	67		301		1		AniZhuanchangBegin				Nikola	Maybe it was too urgent this time, but... there will surely be more opportunities.	1																					
