Id	Name	StandbyModel	CombatModel	SToCAnime	StandbyBornAnime	CToSAnime	CombatBornAnime	SToCVoice	CToSVoice	SToCEffect	CombatBornEffect	StandbyBornEffect	CToSEffect
16010000	Yuan Ye	Pet2NiuoffMd010011	Pet2NiuonMd010011	Change01	Change02	EfChange02	EfChange01	849	850		Assets/Product/Effect/Prefab/FxPet2NiuonPrefab/Common/FxPet2NiuonChuxianUi.prefab		Assets/Product/Effect/Prefab/FxPet2NiuonPrefab/Common/FxPet2NiuonXiaoshiUi.prefab
16020000	Dark Owl	Pet3XiaooffMd010011	Pet3XiaoonMd010011	Change01	Change02	EfChange02	EfChange01	4103022	4103023		Assets/Product/Effect/Prefab/FxPet3XiaoonPrefab/FxUiPet3XiaoonChuxian.prefab		Assets/Product/Effect/Prefab/FxPet3XiaoonPrefab/FxUiPet3XiaoonXiaoshi.prefab
16030000	Toniris	Pet3HeoffMd010011	Pet3HeonMd010011	Change01	Change02	EfChange02	EfChange01	4102016	4102017	Assets/Product/Effect/Prefab/FxPet3HeonPrefab/FxUiPet3HeonChuxian.prefab			Assets/Product/Effect/Prefab/FxPet3HeonPrefab/FxUiPet3HeonXiaoshi.prefab
16040000	Frost Oath	Pet3MaoffMd010011	Pet3MaonMd010011	Change01	Change02	EfChange02	EfChange01	4104031	4104032	Assets/Product/Effect/Prefab/FxPet3MaonPrefab/Common/FxUiPet3MaonChuxian.prefab			Assets/Product/Effect/Prefab/FxPet3MaonPrefab/Common/FxUiPet3MaonXiaoshi.prefab
16050000	Seeshell	Pet2BeioffMd010011	Pet2BeionMd010011	Change01	Change02	EfChange02	EfChange01	4105001	4105002		Assets/Product/Effect/Prefab/FxPet2BeionPrefab/Common/FxUiPet2BeionChuxian.prefab		Assets/Product/Effect/Prefab/FxPet2BeionPrefab/Common/FxUiPet2BeionXiaoshi.prefab
16060000	Nitor	Pet3MaooffMd010011	Pet3MaoonMd010011	Change01	Change02	EfChange02	EfChange01	4106012	4106013	Assets/Product/Effect/Prefab/FxPet3Maoon/Common/FxPet3MaoonChuxianUi.prefab			Assets/Product/Effect/Prefab/FxPet3Maoon/Common/FxPet3MaoonXiaoshiUi.prefab
16070000	Lingya	Pet2YangoffMd010011	Pet2YangonMd010011	Change01	Change02	EfChange02	EfChange01	4107012	4107013		Assets/Product/Effect/Prefab/FxPet2YangonPrefab/Common/FxUiPet2YangonChuxian.prefab		Assets/Product/Effect/Prefab/FxPet2YangonPrefab/Common/FxUiPet2YangonXiaoshi.prefab
16080000	Boreas	Pet3YingoffMd010011	Pet3YingonMd010011	Change01	Change02	EfChange02	EfChange01	4108015	4108016		Assets/Product/Effect/Prefab/FxPet3YingonPrefab/FxUiPet3YingChange1.prefab		Assets/Product/Effect/Prefab/FxPet3YingonPrefab/FxUiPet3YingChange.prefab
16090000	Thorny	Pet2CiweioffMd010011	Pet2CiweionMd010011	Change01	Change02	EfChange02	EfChange01	4109013	4109014		Assets/Product/Effect/Prefab/FxPet2CiweionPrefab/Common/FxUiPet2CiweiChuxian.prefab		Assets/Product/Effect/Prefab/FxPet2CiweionPrefab/Common/FxUiPet2CiweiXiaoshi.prefab
16100000	Jet Jaeger	Pet3HuoffMd010011	Pet3HuonMd010011	Change01	Change02	EfChange02	EfChange01	4110020	4110021		Assets/Product/Effect/Prefab/FxPet3HuonPrefab/Common/FxUiPet3HuonChange01.prefab		Assets/Product/Effect/Prefab/FxPet3HuonPrefab/Common/FxUiPet3HuonChange02.prefab
16110000	Moonhopper	Pet3TuoffMd010011	Pet3TuonMd010011	Change01	Change02	EfChange02	EfChange01	4111015	4111016		Assets/Product/Effect/Prefab/FxPet3TuonPrefab/Common/FxUiPet3TuonChange01.prefab		Assets/Product/Effect/Prefab/FxPet3TuonPrefab/Common/FxUiPet3TuonChange02.prefab
16120000	Shimmer	Pet3YuoffMd010011	Pet3YuonMd010011	Change01	Change02	EfChange02	EfChange01	4112008	4112009		Assets/Product/Effect/Prefab/FxPet3YuonPrefab/Common/FxUiPet3YuonChuxian.prefab		Assets/Product/Effect/Prefab/FxPet3YuonPrefab/Common/FxUiPet3YuonXiaoshi.prefab
16130000	Punchy	Pet3QuanoffMd010011	Pet3QuanonMd010011	Change01	Change02	EfChange02	EfChange01	4113013	4113014		Assets/Product/Effect/Prefab/FxPet3QuanonPrefab/Common/FxUiPet3QuanChange0102.prefab		Assets/Product/Effect/Prefab/FxPet3QuanonPrefab/Common/FxUiPet3QuanXiaoshi.prefab
16140000	Rainbow	Pet3WuzeioffMd010011	Pet3WuzeionMd010011	Change01	Change02	EfChange02	EfChange01	4114011	4114012		Assets/Product/Effect/Prefab/FxPet3WuzeionPrefab/FxUiPet3WuzeionChange01.prefab		Assets/Product/Effect/Prefab/FxPet3WuzeionPrefab/FxUiPet3WuzeionChange02.prefab
