Tag	Des	Style	Effect	Type
1	Special	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
2	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
3	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
4	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
5	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
6	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
7	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
8	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
9	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
10	Free	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb1.png		0
11	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
12	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
13	Good Deal	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	0
14	Limited	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb4.png		0
15	% Off	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png		1
16	Special Offer	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg1.png		0
17	56%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
18	51%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
19	50%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
20	55%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
21	85%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
22	59%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
23	63%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
24	60%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
25	74%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
26	66%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
27	78%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
28	74%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
29	67%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
30	64%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
31	69%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
32	79%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
33	84%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
34	73%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
35	65%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
36	58%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
37	67%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
38	62%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
39	75%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
40	77%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
41	72%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
42	57%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
43	19%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
44	28%OFF	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		0
