Id	ModelId	UiName	MainModelId	MinorModelId
1	R4YongyechaobotMd010011	UiMain		R4YongyechaoMd010011
2	R4YongyechaobotMd010011	UiFavorabilityNew		R4YongyechaoMd010011
3	R4YongyechaobotMd010011	UiPhotograph		R4YongyechaoMd010011
4	R4YongyechaobotMd010011	UiDrawShow		R4YongyechaoMd010011
5	R4YongyechaobotMd010011	Default	R4YongyechaobotMd010011	R4YongyechaoMd010011
6	R4YongyechaobotMd010021	UiMain		R4YongyechaoMd010021
7	R4YongyechaobotMd010021	UiFavorabilityNew		R4YongyechaoMd010021
8	R4YongyechaobotMd010021	UiPhotograph		R4YongyechaoMd010021
9	R4YongyechaobotMd010021	UiDrawShow		R4YongyechaoMd010021
10	R4YongyechaobotMd010021	Default	R4YongyechaobotMd010021	R4YongyechaoMd010021
11	R4YongyechaobotMd010031	UiMain		R4YongyechaoMd010031
12	R4YongyechaobotMd010031	UiFavorabilityNew		R4YongyechaoMd010031
13	R4YongyechaobotMd010031	UiPhotograph		R4YongyechaoMd010031
14	R4YongyechaobotMd010031	UiDrawShow		R4YongyechaoMd010031
15	R4YongyechaobotMd010031	Default	R4YongyechaobotMd010031	R4YongyechaoMd010031
16	R4YongyechaobotMd019321	UiMain		R4YongyechaoMd019321
17	R4YongyechaobotMd019321	UiFavorabilityNew		R4YongyechaoMd019321
18	R4YongyechaobotMd019321	UiPhotograph		R4YongyechaoMd019321
19	R4YongyechaobotMd019321	UiDrawShow		R4YongyechaoMd019321
20	R4YongyechaobotMd019321	Default	R4YongyechaobotMd019321	R4YongyechaoMd019321
21	R4YongyechaobotMd010011	UiPhotographPortrait		R4YongyechaoMd010011
22	R4YongyechaobotMd010021	UiPhotographPortrait		R4YongyechaoMd010021
23	R4YongyechaobotMd010031	UiPhotographPortrait		R4YongyechaoMd010031
24	R4YongyechaobotMd019321	UiPhotographPortrait		R4YongyechaoMd019321
