Id	RoleId	StandType	ChangeToStandType	ShowType	ConditionId	ConditionParam	Content	CvId	FaceId	ActionId	Duration[1]	Duration[2]	Duration[3]	Duration[4]	Weight	Validity	CoolTime	FavorLimit	ShowButton	ActivityId	ShowTime
1010201	1011002	0	0	0	10001	1	Good. You came back alive.	101069		BoardAct0201	4.983	4.333	4.699	4.699	1	-1	-1	1|8	1|2		
1010202	1011002	0	0	0	10001	1	Ready for a new day of operations, Commandant?	101051		BoardAct0202	3.667	5.544	4.699	5.572	1	-1	-1	1|8	1|2		
1010203	1011002	0	0	0	10001	1	Did that mission really have to take you so long?	101055		BoardAct0203	5.667	5.667	5.667	5.712	1	-1	-1	1|8	1|2		
1010204	1011002	0	0	0	120	-1	Ready for a new day of operations, Commandant?	101051		BoardAct0202	3.667	5.544	4.699	5.572	1	-1	-1	1|8	1|2		
1010205	1011002	0	0	0	2	-1	I can't complain. You're easier to deal with than the last commandant.	101033		BoardAct1001	10	10	10	10.007	1	-1	-1	1|8			
1010206	1011002	0	0	0	10001	3	That's enough!	101063		BoardAct1002	3.167	3.753	3.167	3.761	1	-1	-1	1|8			
1010207	1011002	0	0	0	10001	4	That's enough!	101063		BoardAct1002	3.167	3.753	3.167	3.761	1	-1	-1	1|8			
1010208	1011002	0	0	0	10001	5	That's enough!	101063		BoardAct1002	3.167	3.753	3.167	3.761	1	-1	-1	1|8			
1010301	1011003	0	0	0	10001	1	If you find yourself with a lot of spare time, you should maybe do some brain exercises.	101072		BoardAct0201	6.333	6.333	6.333	6.339	1	-1	-1	1|8	1|2		
1010302	1011003	0	0	0	10001	1	Free? How about we play a few rounds at the range?	101076		BoardAct0202	6	6	6	6.037	1	-1	-1	1|8	1|2		
1010303	1011003	0	0	0	10001	1	I remember everything you say. Orders, and everything else.	101081		BoardAct0203	9.667	9.667	9.667	9.659	1	-1	-1	1|8	1|2		
1010304	1011003	0	0	0	120	-1	Free? How about we play a few rounds at the range?	101076		BoardAct0202	5.667	5.933	5.689	6.037	1	-1	-1	1|8	1|2		
1010305	1011003	0	0	0	2	-1	I didn't say I dislike it.	101087		BoardAct1001	4.334	6.13	4.334	4.365	1	-1	-1	1|8			
1010306	1011003	0	0	0	10001	3	That's enough!	101063		BoardAct1002	4	4	4	3.761	1	-1	-1	1|8			
1010307	1011003	0	0	0	10001	4	That's enough!	101063		BoardAct1002	4	4	4	3.761	1	-1	-1	1|8			
1010308	1011003	0	0	0	10001	5	That's enough!	101063		BoardAct1002	4	4	4	3.761	1	-1	-1	1|8			
1010309	1011003	0	0	1	101	10	Great timing. There are issues with the experiment data. Get prepped to be holed up in the lab for the whole day.	101108		BoardAct1004	12.667	12.667	12.667	12.701	96	-1	-1	2|8			
1010310	1011003	0	0	1	111	3600	Relax. I'll take care of you. Don't be so hard on yourself. Rest awhile.	101104		BoardAct1007	13.033	13.033	13.033	13.033	98	-1	-1	3|8			
1010311	1011003	0	0	1	1	900	Any problems you can't solve? Don't beat yourself up. I can help.	101099		BoardAct1005	7.5	7.5	8.32	8.32	97	-1	-1	4|8			
1010312	1011003	0	0	0	10002	-1	You never get bored of this, do you?	101062		BoardAct1003	3.834	3.834	3.865	5	1	-1	-1	5|8			
1010313	1011003	0	0	2	102	2	I just happened to be on duty today. Not waiting for you here.	101111		BoardAct1006	9.1	9.1	9.1	9.659	99	-1	-1	6|8			
1020101	1021001	0	0	0	10001	1	Lucia at your service.	102069		BoardAct0101	4.167	4.167	4.523	4.523	1	-1	-1	1|8	1|2		
1020102	1021001	0	0	0	10001	1	I will make myself stronger, so please don't overwork yourself.	102038		BoardAct0201	7.511	6.305	6	6.305	1	-1	-1	1|8	1|2		
1020103	1021001	0	0	0	10001	1	I hold no fear for the future as long as you're here.	102043		BoardAct0301	7.373	6.305	6.381	6.407	1	-1	-1	1|8	1|2		
1020104	1021001	0	0	0	120	-1	Lucia at your service.	102069		BoardAct0101	4.167	4.167	4.523	4.523	1	-1	-1	1|8	1|2		
1020105	1021001	0	0	0	2	-1	I think I'm finally beginning to understand you.	102049		BoardAct1001	4.5	4.5	4.5	4.527	1	-1	-1	1|8			
1020106	1021001	0	0	0	10001	3	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020107	1021001	0	0	0	10001	4	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020108	1021001	0	0	0	10001	5	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020201	1021002	0	0	0	10001	1	Good morning, Commandant. Let us strive for humanity.	102026		BoardAct0201	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1020202	1021002	0	0	0	10001	1	I will make myself stronger, so please don't overwork yourself.	102038		BoardAct0202	8.667	8.667	8.667	8.667	1	-1	-1	1|8	1|2		
1020203	1021002	0	0	0	10001	1	I hold no fear for the future as long as you're here.	102043		BoardAct0203	9	9	9	9	1	-1	-1	1|8	1|2		
1020204	1021002	0	0	0	120	-1	Good morning, Commandant. Let us strive for humanity.	102026		BoardAct0201	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1020205	1021002	0	0	0	2	-1	I think I'm finally beginning to understand you.	102049		BoardAct1001	4.5	4.5	4.5	4.527	1	-1	-1	1|8			
1020206	1021002	0	0	0	10001	3	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020207	1021002	0	0	0	10001	4	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020208	1021002	0	0	0	10001	5	This is...?	102080		BoardAct1002	2.833	2.833	3	3	1	-1	-1	1|8			
1020301	1021003	0	0	0	10001	1	What are you expecting from me...?	1021009		BoardAct0201	6.5	6.5	6.5	6.5	1	-1	-1	1|8	1|2		
1020302	1021003	0	0	0	10001	1	Are you sure? Getting in contact with me will only increase your risk of infection.	1021010		BoardAct0202	10	10	10	10	1	-1	-1	1|8	1|2		
1020303	1021003	0	0	0	10001	1	I'll give you one advice—perform your best.	1021011		BoardAct0203	5	5	5	5	1	-1	-1	1|8	1|2		
1020304	1021003	0	0	0	120	-1	Are you sure? Getting in contact with me will only increase your risk of infection.	1021010		BoardAct0202	10	10	10	10	1	-1	-1	1|8	1|2		
1020305	1021003	0	0	0	2	-1	I can take you away if you've had enough of this child play. Just say the word.	1021023		BoardAct1001	6	6	6.484	6.484	1	-1	-1	1|8			
1020306	1021003	0	0	0	10001	3	Think you can hurt me this way?	1021085		BoardAct1002	4	4	5.211	5.211	1	-1	-1	1|8			
1020307	1021003	0	0	0	10001	4	Think you can hurt me this way?	1021085		BoardAct1002	4	4	5.211	5.211	1	-1	-1	1|8			
1020308	1021003	0	0	0	10001	5	Think you can hurt me this way?	1021085		BoardAct1002	4	4	5.211	5.211	1	-1	-1	1|8			
1020309	1021003	0	0	1	101	10	I've got all the time in the world. So you're gonna stay here until I allow you to leave.	1021081		BoardAct1004	12.333	12.333	12.333	12.333	96	-1	-1	2|8			
1020310	1021003	0	0	1	111	3600	I'm tired and let's call it a day.	1021074		BoardAct1007	7.333	7.333	7.333	7.333	98	-1	-1	3|8			
1020311	1021003	0	0	1	1	900	...Not here? Never mind.	1021070		BoardAct1005	5.667	5.667	5.667	5.667	97	-1	-1	4|8			
1020312	1021003	0	0	0	10002	-1	...One more time and you're screwed.	1021082		BoardAct1003	5.5	5.5	5.5	5.5	1	-1	-1	5|8			
1020313	1021003	0	0	2	102	2	I have completely corrupted this place while you were away... Just joking.	1021026		BoardAct1006	9.067	9.067	9.067	9.067	99	-1	-1	6|8			
1020401	1021004	0	0	0	10001	1	The thruster behind is quite hard to pilot. Would turning it into wings be better?	1022010		BoardAct0201	6.667	6.667	6.667	6.667	1	-1	-1	1|8	1|2		
1020402	1021004	0	0	0	10001	1	Gray Raven... I never thought I'd come to know a squad three times... Such a peculiar feeling.	1022012		BoardAct0202	9.667	9.667	10.962	10.962	1	-1	-1	1|8	1|2		
1020403	1021004	0	0	0	10001	1	My memories are a bit muddled... but it shouldn't affect the missions.	1022009		BoardAct0203	6.333	6.333	7.25	7.25	1	-1	-1	1|8	1|2		
1020404	1021004	0	0	0	120	-1	Gray Raven... I never thought I'd come to know a squad three times... Such a peculiar feeling.	1022012		BoardAct0202	9.667	9.667	10.962	10.962	1	-1	-1	1|8	1|2		
1020405	1021004	0	0	0	2	-1	Can you hold hands with me? That's my most desired, most meaningful present.	1022032		BoardAct1001	8.128	8	9.924	9.924	1	-1	-1	1|8			
1020406	1021004	0	0	0	10001	3	I... think I need some time for mental preparation.	1022053		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
