Type	PrefabPath
1	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelCenterTip.prefab
2	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelEvent.prefab
3	Assets/Product/Ui/UiFightPrefab/UiFightTips/BossTip.prefab
4	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelAssistTip.prefab
5	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelInfomation.prefab
6	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelBattleTutorial.prefab
7	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelPracticeTip.prefab
8	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelPracticeResultTip.prefab
9	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelPictureQuality.prefab
10	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelRepeatChallenge.prefab
11	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelDamage.prefab
12	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelCondition.prefab
13	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelDamageRuling.prefab
14	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelCountdown.prefab
15	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelStageCommonTip.prefab
16	Assets/Product/Ui/UiFightPrefab/UiFightTips/PanelStageCommonTipWithBtn.prefab
17	Assets/Product/Ui/ComponentPrefab/UiDlcHunt/UiFightDLCTips.prefab
