Key	Type	Value
SkillBallUiTemplate	string	Assets/Product/Ui/UiFightPrefab/BallTemplate.prefab
DefaultAttackButtonImage	string	Assets/Product/Texture/Image/UiFight/FightBtnAttack.png
DefaultDodgeButtonImage	string	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png
DefaultExSkillButtonImage	string	Assets/Product/Texture/Image/UiFight/FightSkillIconRLuxiya51.png
DefaultHitShakeEffectName	string	FxHitPartFlashing
FightRebornProgressTitle	string	Revive in
FightOnlineMsgTime	float	10
FightOnlineMsgSendCdTime	float	5
FightOnlineMsgAutoCloseTime	float	5
PartIcon1	string	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
PartIcon2	string	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
PartIcon3	string	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
PartIcon4	string	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
PartIcon5	string	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
MsgDefaultId	int	1
FightlianjixinhaoHex0	string	#FF3E23
FightlianjixinhaoHex1	string	#65FF3C
FightlianjixinhaoHex2	string	#FFEB3C
FightlianjixinhaoHex3	string	#FF8B23
FightlianjixinhaoHex4	string	#FF3E23
FightlianjixinhaoHex5	string	#FF3E23
NameUiOffsetX	float	0
NameUiOffsetY	float	0.7
IsShowOtherPlayerName	int	1
FightlianjixinhaoProgress0	float	0
FightlianjixinhaoProgress1	float	1
FightlianjixinhaoProgress2	float	0.75
FightlianjixinhaoProgress3	float	0.5
FightlianjixinhaoProgress4	float	0.25
FightlianjixinhaoProgress5	float	0
HpNormalDis	float	4
HpMinScale	float	0.7
HpMaxScale	float	1.5
HpBarShowTime	float	5
SpearPointProgressColorPoint1	float	0.3
SpearPointProgressColorPoint2	float	0.5
SpearPointProgressColorPoint3	float	1
SpearPointProgressColorHex1	string	#dbbb28
SpearPointProgressColorHex2	string	#e94f04
SpearPointProgressColorHex3	string	#e90904
