Id	CharacterId	Name	SignBoardActionId	UnlockLv	ConditionDescript
1010201	1011002	Display Pose 1	1010201	1	Affection <color=#C14F38>1</color>
1010202	1011002	Display Pose 2	1010202	1	Affection <color=#C14F38>1</color>
1010203	1011002	Display Pose 3	1010203	1	Affection <color=#C14F38>1</color>
1010205	1011002	Affection up	1010205	1	Affection <color=#C14F38>1</color>
1010206	1011002	Quick tap	1010206	1	Affection <color=#C14F38>1</color>
1010301	1011003	Display Pose 1	1010301	1	Affection <color=#C14F38>1</color>
1010302	1011003	Display Pose 2	1010302	1	Affection <color=#C14F38>1</color>
1010303	1011003	Display Pose 3	1010303	1	Affection <color=#C14F38>1</color>
1010305	1011003	Affection up	1010305	1	Affection <color=#C14F38>1</color>
1010306	1011003	Quick tap	1010306	1	Affection <color=#C14F38>1</color>
1010309	1011003	Connection made	1010309	2	Affection <color=#C14F38>2</color>
1010310	1011003	Excessive online time	1010310	3	Affection <color=#C14F38>3</color>
1010311	1011003	Idle	1010311	4	Affection <color=#C14F38>4</color>
1010312	1011003	Shake	1010312	5	Affection <color=#C14F38>5</color>
1010313	1011003	Extended offline time	1010313	6	Affection <color=#C14F38>6</color>
1020101	1021001	Display Pose 1	1020101	1	Affection <color=#C14F38>1</color>
1020102	1021001	Display Pose 2	1020102	1	Affection <color=#C14F38>1</color>
1020103	1021001	Display Pose 3	1020103	1	Affection <color=#C14F38>1</color>
1020105	1021001	Affection up	1020105	1	Affection <color=#C14F38>1</color>
1020106	1021001	Quick tap	1020106	1	Affection <color=#C14F38>1</color>
1020201	1021002	Display Pose 1	1020201	1	Affection <color=#C14F38>1</color>
1020202	1021002	Display Pose 2	1020202	1	Affection <color=#C14F38>1</color>
1020203	1021002	Display Pose 3	1020203	1	Affection <color=#C14F38>1</color>
1020205	1021002	Affection up	1020205	1	Affection <color=#C14F38>1</color>
1020206	1021002	Quick tap	1020206	1	Affection <color=#C14F38>1</color>
1020301	1021003	Display Pose 1	1020301	1	Affection <color=#C14F38>1</color>
1020302	1021003	Display Pose 2	1020302	1	Affection <color=#C14F38>1</color>
1020303	1021003	Display Pose 3	1020303	1	Affection <color=#C14F38>1</color>
1020305	1021003	Affection up	1020305	1	Affection <color=#C14F38>1</color>
1020306	1021003	Quick tap	1020306	1	Affection <color=#C14F38>1</color>
1020309	1021003	Connection made	1020309	2	Affection <color=#C14F38>2</color>
1020310	1021003	Excessive online time	1020310	3	Affection <color=#C14F38>3</color>
1020311	1021003	Idle	1020311	4	Affection <color=#C14F38>4</color>
1020312	1021003	Shake	1020312	5	Affection <color=#C14F38>5</color>
1020313	1021003	Extended offline time	1020313	6	Affection <color=#C14F38>6</color>
1020401	1021004	Display Pose 1	1020401	1	Affection <color=#C14F38>1</color>
1020402	1021004	Display Pose 2	1020402	1	Affection <color=#C14F38>1</color>
1020403	1021004	Display Pose 3	1020403	1	Affection <color=#C14F38>1</color>
1020405	1021004	Affection up	1020405	1	Affection <color=#C14F38>1</color>
1020406	1021004	Quick tap	1020406	1	Affection <color=#C14F38>1</color>
1020409	1021004	Connection made	1020409	2	Affection <color=#C14F38>2</color>
1020410	1021004	Excessive online time	1020410	3	Affection <color=#C14F38>3</color>
1020411	1021004	Idle	1020411	4	Affection <color=#C14F38>4</color>
1020412	1021004	Shake	1020412	5	Affection <color=#C14F38>5</color>
1020413	1021004	Extended offline time	1020413	6	Affection <color=#C14F38>6</color>
1030101	1031001	Display Pose 1	1030101	1	Affection <color=#C14F38>1</color>
1030102	1031001	Display Pose 2	1030102	1	Affection <color=#C14F38>1</color>
