Id	CharacterId	UnlockLv	Title	Content	ConditionDescript
1	1011002	1	No.001	Member of the Gray Raven, Attacker.\nExpert in engineering. Wields dual guns in combat. Skilled at various firearms and finding enemy weakness, as well as construction and maintenance.	Affection <color=#C14F38>1</color>
2	1011002	2	No.002	"Leave the Iso-Device to me."\nKnown for high intelligence and exceptional computing ability, with a data storage capacity far exceeding normal Constructs. Responsible for the setup of Iso-Devices and the maintenance of Gray Raven equipment.\nAlso familiar with Construct repair and maintenance.	Affection <color=#C14F38>2</color>
3	1011002	3	No.003	"Perhaps your intelligence quotient is no worse than the average human."\nHas a sharp and biting tongue that cuts to the heart of the matter, but seems to have a hard time conveying words of kindness and affection.\nHis intentions should be understood through action, not through words.	Affection <color=#C14F38>3</color>
4	1011002	4	No.004	"Brother? Er... I'm not sure..."\nSeems to have complicated thoughts about being called "brother."\nSeems to be unconcerned about anything other than the mission at hand, but quietly watches everything that is going on.\n\nHe was injured when he put himself in harm's way to protect Liv from the Corrupted "Tifa".\nDespite his unconcerned attitude, his care for his comrades is apparent.	Affection <color=#C14F38>4</color>
5	1011002	5	No.005	"I'd like for you to live safe and sound. Just that."\nFormerly the consciousness of the human Morian, he volunteered to join the Construct program as an experimental subject in order to save his brother.\nHis human heart now beats within his brother's chest.\nHis overall ability ranks at the top of his Construct class.	Affection <color=#C14F38>5</color>
6	1011002	6	No.006	"Your little tricks will not work."\nThe seeds of corruption were planted when he put himself in harm's way to protect Liv from Tifa's attack. He almost fell to Tifa's control when they met again in battle, but Lee's preventive measures were able to save him and turn the tide.\nA trustworthy and loyal Construct.	Affection <color=#C14F38>6</color>
7	1021001	1	No.001	Leader of Gray Raven. Attacker.\nAn outstanding soldier, committed to eliminating the infection and paving the way for humanity's return.\nWields a katana. In burst mode, she launches a flurry of attackers by forming twin energy blades.	Affection <color=#C14F38>1</color>
8	1021001	2	No.002	"Permission to engage the enemy."\nAbsolutely loyal to the mission, carrying out orders calmly and efficiently. Has a tendency to ignore her own safety in combat.\n	Affection <color=#C14F38>2</color>
9	1021001	3	No.003	One of the first batches of military Constructs.\nNo crisis will faze this veteran of countless battles.\nSuppresses surging emotions to prevent them from affecting the war.	Affection <color=#C14F38>3</color>
10	1021001	4	No.004	Seems to have had her memory wiped for unknown reasons.\nFragments of memory float up to the surface from time to time. In between missions, Lucia can be seen lost in thought.\n	Affection <color=#C14F38>4</color>
11	1021001	5	No.005	As a human, all Lucia and her sister Luna had were each other.\nTheir parents were killed by the Punishing virus.\nHer only wish is for a peaceful life with her sister.\nSeems to like frog plushies.	Affection <color=#C14F38>5</color>
12	1021001	6	No.006	Appears to have a past with the Ascendant.\n	Affection <color=#C14F38>6</color>
13	1031001	1	No.001	"Don't... don't look at me like this..."\nMember of Gray Raven, Support type. Skilled at tactical analysis and Construct repair, she operates in support of Gray Raven's operations.\nShy and introverted, combat is not her strong suit, but with Gray Raven being constantly short-handed, she has stepped up to the frontlines and is working to improve her skills.	Affection <color=#C14F38>1</color>
14	1031001	2	No.002	"I'll work hard!"\nKind and gentle, Liv always works hard to help others and make them happy.\nShe feels fortunate to be around friends and comrades whom she respects greatly.	Affection <color=#C14F38>2</color>
15	1031001	3	No.003	Liv's kind and pure nature also makes her get susceptible to deception and pain. She has a stubbornly altruistic streak which can put her in harm's way.\nGray Raven and the commandant have helped keep her gentle nature unscathed.	Affection <color=#C14F38>3</color>
16	1031001	4	No.004	"Don't go by yourself, Karenina!"\nHaving parted then reunited with the commandant, Liv has grown from a young and naive girl into a dependable team member.\nShe did not panic even when Karenina lost control of herself, and was able to give advice with calm, steady head.	Affection <color=#C14F38>4</color>
