Id	CharacterId	UnlockType	UnlockPara	ItemId	ItemCount	ConditionDescript
1	1011002	1	1000	1	10000	Reach 1000 BP to unlock
2	1011002	2	6	40628	2	Affection 6
3	1011002	3	80	3	40	Reach Lv.80 to unlock
4	1011002	1	3000	40628	5	Reach 3000 BP to unlock
5	1011002	4	6	3	60	Evolve to SSS to unlock
6	1021001	1	1000	1	10000	Reach 1000 BP to unlock
7	1021001	2	6	40628	2	Affection 6
8	1021001	3	80	3	40	Reach Lv.80 to unlock
9	1021001	1	3000	40628	5	Reach 3000 BP to unlock
10	1021001	4	6	3	60	Evolve to SSS to unlock
11	1031001	1	1000	1	10000	Reach 1000 BP to unlock
12	1031001	2	6	40628	2	Affection 6
13	1031001	3	80	3	40	Reach Lv.80 to unlock
14	1031001	1	3000	40628	5	Reach 3000 BP to unlock
15	1031001	4	6	3	60	Evolve to SSS to unlock
16	1041002	1	1000	1	10000	Reach 1000 BP to unlock
17	1041002	2	6	40628	2	Affection 6
18	1041002	3	80	3	40	Reach Lv.80 to unlock
19	1041002	1	3000	40628	5	Reach 3000 BP to unlock
20	1041002	4	6	3	60	Evolve to SSS to unlock
21	1051001	1	1000	1	10000	Reach 1000 BP to unlock
22	1051001	2	6	40628	2	Affection 6
23	1051001	3	80	3	40	Reach Lv.80 to unlock
24	1051001	1	3000	40628	5	Reach 3000 BP to unlock
25	1051001	4	6	3	60	Evolve to SSS to unlock
26	1061002	1	1000	1	10000	Reach 1000 BP to unlock
27	1061002	2	6	40628	2	Affection 6
28	1061002	3	80	3	40	Reach Lv.80 to unlock
29	1061002	1	3000	40628	5	Reach 3000 BP to unlock
30	1061002	4	6	3	60	Evolve to SSS to unlock
31	1071002	1	1000	1	10000	Reach 1000 BP to unlock
32	1071002	2	6	40628	2	Affection 6
33	1071002	3	80	3	40	Reach Lv.80 to unlock
34	1071002	1	3000	40628	5	Reach 3000 BP to unlock
35	1071002	4	6	3	60	Evolve to SSS to unlock
36	1081002	1	1000	1	10000	Reach 1000 BP to unlock
37	1081002	2	6	40628	2	Affection 6
38	1081002	3	80	3	40	Reach Lv.80 to unlock
39	1081002	1	3000	40628	5	Reach 3000 BP to unlock
40	1081002	4	6	3	60	Evolve to SSS to unlock
41	1021002	1	1000	1	10000	Reach 1000 BP to unlock
42	1021002	2	6	40628	2	Affection 6
43	1021002	3	80	3	40	Reach Lv.80 to unlock
44	1021002	1	3000	40628	5	Reach 3000 BP to unlock
45	1021002	4	6	3	60	Evolve to SSS to unlock
46	1031002	1	1000	1	10000	Reach 1000 BP to unlock
47	1031002	2	6	40628	2	Affection 6
48	1031002	3	80	3	40	Reach Lv.80 to unlock
49	1031002	1	3000	40628	5	Reach 3000 BP to unlock
50	1031002	4	6	3	60	Evolve to SSS to unlock
51	1071003	1	1000	1	10000	Reach 1000 BP to unlock
52	1071003	2	6	40628	2	Affection 6
53	1071003	3	80	3	40	Reach Lv.80 to unlock
54	1071003	1	3000	40628	5	Reach 3000 BP to unlock
55	1071003	4	6	3	60	Evolve to SSS to unlock
56	1031003	1	1000	1	10000	Reach 1000 BP to unlock
57	1031003	2	6	40628	2	Affection 6
58	1031003	3	80	3	40	Reach Lv.80 to unlock
59	1031003	1	3000	40628	5	Reach 3000 BP to unlock
60	1031003	4	6	3	60	Evolve to SSS to unlock
61	1061003	1	1000	1	10000	Reach 1000 BP to unlock
62	1061003	2	6	40628	2	Affection 6
63	1061003	3	80	3	40	Reach Lv.80 to unlock
64	1061003	1	3000	40628	5	Reach 3000 BP to unlock
65	1061003	4	6	3	60	Evolve to SSS to unlock
66	1051003	1	1000	1	10000	Reach 1000 BP to unlock
67	1051003	2	6	40628	2	Affection 6
68	1051003	3	80	3	40	Reach Lv.80 to unlock
69	1051003	1	3000	40628	5	Reach 3000 BP to unlock
70	1051003	4	6	3	60	Evolve to SSS to unlock
71	1021003	1	1000	1	10000	Reach 1000 BP to unlock
72	1021003	2	6	40628	2	Affection 6
73	1021003	3	80	3	40	Reach Lv.80 to unlock
74	1021003	1	3000	40628	5	Reach 3000 BP to unlock
75	1021003	4	6	3	60	Evolve to SSS to unlock
76	1081003	1	1000	1	10000	Reach 1000 BP to unlock
77	1081003	2	6	40628	2	Affection 6
78	1081003	3	80	3	40	Reach Lv.80 to unlock
79	1081003	1	3000	40628	5	Reach 3000 BP to unlock
80	1081003	4	6	3	60	Evolve to SSS to unlock
81	1091002	1	1000	1	10000	Reach 1000 BP to unlock
82	1091002	2	6	40628	2	Affection 6
83	1091002	3	80	3	40	Reach Lv.80 to unlock
84	1091002	1	3000	40628	5	Reach 3000 BP to unlock
85	1091002	4	6	3	60	Evolve to SSS to unlock
86	1041003	1	1000	1	10000	Reach 1000 BP to unlock
87	1041003	2	6	40628	2	Affection 6
88	1041003	3	80	3	40	Reach Lv.80 to unlock
89	1041003	1	3000	40628	5	Reach 3000 BP to unlock
90	1041003	4	6	3	60	Evolve to SSS to unlock
91	1111002	1	1000	1	10000	Reach 1000 BP to unlock
92	1111002	2	6	40628	2	Affection 6
93	1111002	3	80	3	40	Reach Lv.80 to unlock
94	1111002	1	3000	40628	5	Reach 3000 BP to unlock
95	1111002	4	6	3	60	Evolve to SSS to unlock
96	1121002	1	1000	1	10000	Reach 1000 BP to unlock
97	1121002	2	6	40628	2	Affection 6
98	1121002	3	80	3	40	Reach Lv.80 to unlock
99	1121002	1	3000	40628	5	Reach 3000 BP to unlock
100	1121002	4	6	3	60	Evolve to SSS to unlock
