Id	Name	ConditionId	ConditionParam	CvContent	CvId	ActionId	Priority	CoolTime	Duration	EffectPath	Weight
1	Idle 1	1	9	Celica: No motivations? How about when you finish your work,\nI give you a <color=#34AFF8>little present</color>?	100000886	jiangjie	9	60	6		1
2	Greeting upon Login	101	-1	Celica: I've already had today's work arranged for you!\nA 9.5-page paperwork. Should be a breeze to you!	100000880	dazhaohu	1	999	4		
3	Enter System	102	-1	Celica: Let's go!	100000880	dazhaohu	2	999	2.8		
4	Reward Reminder	120	-1	Celica: You have <color=#34AFF8>rewards</color> that can be claimed.\nI'm gonna charge you overtime fees if you need me to claim them for you.	100000886	huaixiao	6	15	4		
5	Single Tap	10001	1	Celica: Ha! Phew... It's you.\nI was thinking about moving a mission to tomorrow since you are busy.\nBut I've changed my mind right now.	100000881	huaixiao	4	3	4		
6	Quick Tap	10001	2	Celica: Don't even think about getting home on time today...	100000882	shengqi	3	6	5		
7	Reminder that it is locked	10002	-1	Celica: No, you have to <color=#34AFF8>complete previous</color> missions\nbefore unlocking the missions here.\nHurry only makes worry!	100000885	jiangjie	5	10	6		
8	Completed Mission Rewards	10004	-1	Celica: You've really impressed me by completing all the missions in such a short time!\nI expect you can be even faster, right?\nCan't wait to see it!	100000883	jiangjie	7	15	6		
9	Idle 3	1	9	Celica: The <color=#34AFF8>Progress Rewards</color> below are quite <color=#34AFF8>valuable</color>. \nJust so you know I'm not a complete demon!	100000884	jiangjie	8	120	6		1
10	Idle 2	1	9	Celica: Wanna know the gossip about President Hassen and Commander Nikola?\nBack? What's behind my...	100000884	huaixiao	10	180	4		1
