Id	GroupId	Condition	UnLockTime	Order	Title	SendName	Content	NpcHandIcon
113	2			13	Gift from Lucia	Lucia	 Open it for a standard rectangular chocolate bar. Just by looking at it, you have a feeling that it will taste exceptionally wonderful. A list of broken cooking utensils in the Babylonia public kitchen is attached to the bottom of the package. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png
114	2			14	Gift from Liv	Liv	 Open it for some chocolates made in different adorable shapes, such as heart, cotton, cat's claw, etc. Each of them is too cute to eat. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png
115	2			15	Gift from Lee	Lee	 Open it for some exquisite, neatly arranged chocolates, all in the same shape. A vague mark   lee   is stamped on the bottom of each chocolate. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png
116	2			16	Gift from Kamui	Kamui	Open it for a big chunk of chocolate in a slightly irregular shape. A smiley face that frosted on it makes you feel this chocolate will be unbearably sweet.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png
117	2			17	Gift from Nanami	Nanami	Open it and for a round chocolate ball. Everything seems fine except for its smell that is totally different from normal chocolates. What ingredients did Nanami add to it?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png
118	2			18	Gift from Watanabe	Watanabe	 Open it for an exquisite handmade chocolate. Its layer seems to have been damaged slightly because of careless transportation, but its taste remains the same. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png
119	2			19	Gift from Karenina	Karenina	 Open it and for chocolate balls that look normal but, in fact, contain a large amount of popping candies. It tastes spicy, winey and sour and gives an unforgettable mouthfeel. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png
120	2			20	Gift from α	α	 Open it and for handmade chocolates in slightly rough shape. Because fresh cream is hard to find on the ground, it has been replaced by coconut milk to bring out a totally new flavor. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png
121	2			21	Gift from Ayla	Ayla	 Open it for an exquisite chocolate with a thick red velvet layer, looking like a work of art. Its mouthfeel is wonderful as well. 	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png
122	2			22	Gift from Bianca	Bianca	Open it for neatly arranged white chocolates placed on a butter paper. They seem very delicious just by the looks of them.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png
