Id	StageId	GroupId	Order	Name	Bg	LockBg	Pv	UnLockTime	Condition	BgWidth	BgHigh	BgOffSetX	BgOffSetY
101001		1	1	For the good of humanity	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv00.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	100	2022/3/3 5:00		1280	720	0	0
102001	10100102	2	1	Sandstorm Impasse	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv01.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10001		84101002	1280	720	0	0
102002	10110107	2	2	One Above All	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv02.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10002		84101107	1280	720	0	0
102003	10120125	2	3	Final Fight Together	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv03.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10003		84101225	1280	720	0	0
102004	15010118	2	4	Venus Splash Park's Night	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv04.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10006		84800118	1280	720	0	0
102005	15020118	2	5	Icefield's Warmth	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv05.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10007		84800218	1280	720	0	0
102006	15030109	2	6	Impenetrable	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv06.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10008		84800310	1280	720	0	0
102007		2	7	"Betrayal"	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv07.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10009	2022/3/3 5:00		1280	720	0	0
102008		2	8	"Accept"	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv08.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10010	2022/3/3 5:00		1280	720	0	0
102009		2	9	"Strength"	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv09.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10011	2022/3/3 5:00		1280	720	0	0
102010	15010512	2	10	Awakening of the Lost	Assets/Product/Texture/Image/UiArchivePv/UiArchivePv10.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png	10015		84800412	1280	720	0	0
