Id	GroupId	Order	Type	Title	Text	Condition	UnLockTime
1000113	10001	3	1	PD: 	Jan 1	84100903	
1000114	10001	4	1	Blood Type	AB	84100903	
1000121	10001	1	2	Story I	The person in charge of the WGAA and a member of the Babylonia Council. He is responsible for managing the arts development in Babylonia.	84100903	
1000122	10001	2	2	Story II	Allen is a friendly, easy-going gentleman, yet due to his [Data Erased] background, many people cannot help but show their reverence when they are talking to him.	84100903	
1000123	10001	3	2	Story III	Allen is obsessed with all forms of art. Even an artwork that was regarded as heterodox in the Golden Age is still a valuable piece of treasure in his eyes.	84100903	
1000213	10002	3	1	PD: 	Nov 29	84101004	
1000214	10002	4	1	Blood Type	O	84101004	
1000221	10002	1	2	Story I	Born an aristocrat, Aston is an influential figure in the aristocratic circles on Asslam and Jamilah's right-hand man.	84101004	
1000222	10002	2	2	Story II	Aston's family has been serving the royal family for generations. He has taken over his father's duties since the third leader of Akdilek ascended to power.	84101004	
1000223	10002	3	2	Story III	Aston has already acknowledged Jamilah for her unlimited potential when she was still a child.	84101004	
1000313	10003	3	1	PD: 	Feb 29	84100112	
1000314	10003	4	1	Blood Type	B	84100112	
1000321	10003	1	2	Story I	The person in charge of the Science Council and a member of the Babylonia Council. He is responsible for handling the scientific and technical affairs in Babylonia.	84100112	
1000322	10003	2	2	Story II	Asimov has completely thrown himself into scientific research and already made several huge achievements at a young age, yet his lack of social skills makes him a despicable man for many people.	84100112	
1000323	10003	3	2	Story III	To Asimov, scientific development is always his top priority when making a decision, even if the decision makes him look somewhat ruthless. Having said that, he does not pay his image any mind, for it has nothing to do with science.	84100112	
1000413	10004	3	1	PD: 	Jul 1	84306011	
1000414	10004	4	1	Blood Type	O	84306011	
1000421	10004	1	2	Story I	A member of the Oasis Squad stationed in Kuzath Snow Plains. After Oasis Squad's instructor, ■■, sacrificed his life, Bruce was ordered to temporarily take over the leadership, leading the squad for a rescue mission in Kuzath Snow Plains.	84306011	
1000422	10004	2	2	Story II	Watanabe's closest friend. Bruce's dream was to join the Ground Forces, so that he could save people from dying on the frontlines.	84306011	
1000423	10004	3	2	Story III	Bruce and Watanabe were the top two trainee soldiers in their squad. The reason why Watanabe achieved this great performance was that he often got extra lessons for his misbehaviors.	84306011	
1000424	10004	4	2	Story IV	Bruce's harmonica and Watanabe's guitar show was a real hit in the Oasis Squad.	84306011	
1000513	10005	3	1	PD: 	Mar 20	84101210	
1000514	10005	4	1	Blood Type	A	84101210	
1000521	10005	1	2	Story	The leader of the Support Force, yet her power is comparable with that of the Task Force soldiers.	84101210	
1000613	10006	3	1	PD: 	Apr 7	84101002	
1000614	10006	4	1	Blood Type	A	84101002	
1000621	10006	1	2	Story	Born on the Nighter, he has become one of the bodyguards on Asslam for various reasons.	84101002	
1000713	10007	3	1	PD: 	Sep 5	84201101	
1000714	10007	4	1	Blood Type	B	84201101	
1000721	10007	1	2	Story	A member of the Kowloong Crew on the Nighter, Chaofeng is a recon and espionage specialist responsible for data collection and monitoring.	84201101	
1000813	10008	3	1	PD: 	Oct 18	84101004	
1000814	10008	4	1	Blood Type	B	84101004	
1000821	10008	1	2	Story	An aristocrat on Asslam and the leader of the opposition faction against Jamilah's leadership. He once incited Sophia to kill Jamilah, yet his scheme came to naught in the end.	84101004	
1000913	10009	3	1	PD: 	May 1	84100112	
1000914	10009	4	1	Blood Type	■■■■	84100112	
1000921	10009	1	2	Story I	The spiritual leader of Babylonia and the president of the Babylonia Council. He is responsible for Babylonia's overall management.	84100112	
1000922	10009	2	2	Story II	■■■■	84100112	
1000923	10009	3	2	Story III	■■■■	84100112	
1000924	10009	4	2	Story IV	■■■■	84100112	
1000925	10009	5	2	Story V	In order to bring Babylonia back to the Earth, he has been dedicating himself to striking a balance among different Humanity Fronts.	84100112	
1001013	10010	3	1	PD: 	Jun 12		
1001014	10010	4	1	Blood Type	A		
1001021	10010	1	2	Story I	A resident of the Murmansk Port.		
1001022	10010	2	2	Story II	Once saved by Rosetta, he is acquainted with the world of the Forest Guard and has become their loyal friend.		
1001113	10011	3	1	PD: 	Nov 1		
1001114	10011	4	1	Blood Type	O		
1001121	10011	1	2	Story	A human-deer hybrid Construct with a pair of distinctive antler-shaped structures on her head. When Rosetta left the boreal forest, she, as a member of the Forest Guard, has taken over her role temporarily.		
1001213	10012	3	1	PD: 	Oct 3	84101001	
1001214	10012	4	1	Blood Type	AB	84101001	
1001221	10012	1	2	Story I	The fourth leader of the Akdilek Commercial Alliance. She has consolidated her power as the first female leader by weakening the traditional aristocrats' influence on Asslam.	84101001	
1001222	10012	2	2	Story II	Almost everything in life is but a trade-off to her: no eternal enemies, only eternal interests.	84101001	
1001313	10013	3	1	PD: 	Jun 28	84306011	
1001314	10013	4	1	Blood Type	A	84306011	
1001321	10013	1	2	Story I	The instructor of the Oasis Squad stationed in Kuzath Snow Plains who has trained numerous valiant soldiers. He executed a certain mission with Nikola and Hassen at a young age.	84306011	
1001322	10013	2	2	Story II	He sacrificed his life to save the civilians when the virus broke out, but his body has not been found until today.	84306011	
1001413	10014	3	1	PD: 	Jan 18	84305012	
1001414	10014	4	1	Blood Type	O	84305012	
