Id	Name	NameEn	Type	ShowType	MovieId	OpenHour	PreBlockId[1]	PreBlockId[2]	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification[1]	DetachExtraPurification[2]	DetachExtraPurification[3]	DetachBasicRewardId	DetachExtraRewardId[1]	DetachExtraRewardId[2]	DetachExtraRewardId[3]	WorldBossStartHour	WorldBossEndHour
1	Initial Block	GM1-1	1	1																									
2	Support Block	GM1-2	2	6			1		100	10	1200000	1	30061610		21009	542001	542017	30	30	80	10	10	10	540001	540002	540003	540005		
3	Strategic Block	GM1-3	2	2			2		100	10	250000000	550000	30061611			542301	542301	30	30	80	10	10	10	540001	540002	540003	540005		
4	Supply Block	GM1-4	2	5			2		100	10	250000000	180000	30061612			542201	542201	30	30	80	10	10	10	540001	540002	540003	540005		
5	Support Block	GM1-5	2	6			4		100	10	250000000	90000	30061613			542002	542018	30	30	80	10	10	10	540001	540002	540003	540005		
6	Amplification Block	GM1-6	2	7			3		100	10	250000000	350000	30061614	100		542101	542113	30	30	80	10	10	10	540001	540002	540003	540005		
7	Strategic Block	GM1-7	2	2			6		100	10	250000000	350000	30061615			542302	542302	30	30	80	10	10	10	540001	540002	540003	540005		
8	Supply Block	GM1-8	2	5			7		100	10	250000000	90000	30061616			542202	542202	30	30	80	10	10	10	540001	540002	540003	540005		
9	Support Block	GM1-9	2	6			8		100	10	250000000	90000	30061617			542003	542019	30	30	80	10	10	10	540001	540002	540003	540005		
10	Amplification Block	GM1-10	2	7			8		100	10	250000000	90000	30061618	100		542102	542114	30	30	80	10	10	10	540001	540002	540003	540005		
11	Area 1 Base Station	GM1-11	2	8			10	12	100	10	250000000	350000	30061619			542401	542401	30	30	80	10	10	10	540001	540002	540003	540005		
12	Supply Block	GM1-12	2	5			7		100	10	250000000	350000	30061620			542203	542203	30	30	80	10	10	10	540001	540002	540003	540005		
13	Support Block	GM1-13	2	6			11		100	10	250000000	90000	30061621			542004	542020	30	30	80	10	10	10	540001	540002	540003	540005		
14	Area 1 Dark Block	GM1-14	2	9			11		100	30000	250000000	350000	30061622			542501	542501	30	30	80	10	10	10	540001	540002	540003	540005		
15	Supply Block	GM2-1	2	5		168	14		100	10	250000000	180000	30061631		21010	542204	542204	30	30	80	10	10	10	540001	540002	540003	540005		
16	Support Block	GM2-2	2	6		168	14		100	10	250000000	180000	30061632			542005	542021	30	30	80	10	10	10	540001	540002	540003	540005		
17	Strategic Block	GM2-3	2	2		168	15		100	10	250000000	180000	30061633			542303	542303	30	30	80	10	10	10	540001	540002	540003	540005		
18	Support Block	GM2-4	2	6		168	17		100	10	250000000	90000	30061634			542006	542022	30	30	80	10	10	10	540001	540002	540003	540005		
19	Strategic Block	GM2-5	2	2		168	18		100	10	250000000	90000	30061635			542304	542304	30	30	80	10	10	10	540001	540002	540003	540005		
20	Amplification Block	GM2-6	2	7		168	16		100	10	250000000	180000	30061636	100		542103	542115	30	30	80	10	10	10	540001	540002	540003	540005		
21	Support Block	GM2-7	2	6		168	20		100	10	250000000	90000	30061637			542007	542023	30	30	80	10	10	10	540001	540002	540003	540005		
22	Supply Block	GM2-8	2	5		168	20		100	10	250000000	180000	30061638			542205	542205	30	30	80	10	10	10	540001	540002	540003	540005		
23	Area 2 Base Station	GM2-9	2	8		168	22		100	10	250000000	180000	30061639			542402	542402	30	30	80	10	10	10	540001	540002	540003	540005		
24	Support Block	GM2-10	2	6		168	23		100	10	250000000	90000	30061640			542008	542024	30	30	80	10	10	10	540001	540002	540003	540005		
25	Strategic Block	GM2-11	2	2		168	22		100	10	250000000	180000	30061641			542305	542305	30	30	80	10	10	10	540001	540002	540003	540005		
26	Supply Block	GM2-12	2	5		168	25		100	10	250000000	350000	30061642			542206	542206	30	30	80	10	10	10	540001	540002	540003	540005		
27	Amplification Block	GM2-13	2	7		168	26		100	10	250000000	350000	30061643	100		542116	542104	30	30	80	10	10	10	540001	540002	540003	540005		
28	StrategicBlock	GM2-14	2	2		168	27		100	10	250000000	350000	30061644			542306	542306	30	30	80	10	10	10	540001	540002	540003	540005		
29	Area 2 Dark Block	GM2-15	2	9		168	28|23		100	30000	250000000	350000	30061645			542502	542502	30	30	80	10	10	10	540001	540002	540003	540005		
