Index	Attrib	Name
1	Life	HP
2	Energy	Energy
3	RunSpeed	Speed (Run)
4	WalkSpeed	Speed (Walk)
5	TurnRoundSpeed	Speed (Turning)
6	BallInterval	Orb Interval
7	DamageNormalImmunity	Physical DMG Immunity
8	DamageMagicImmunity	Elemental DMG Immunity
9	AntiDamageNormalImmunity	Physical DMG Counter Immunity
10	AntiDamageMagicImmunity	Anti-Elemental DMG Immunity
11	AttackNormal	ATK
12	AttackMagic1	Fire Attack
13	AttackMagic2	Lightning Attack
14	AttackMagic3	Ice Attack
15	AttackMagic4	Dark Attack
16	AttackMagicEnd	Elemental ATK Start-Mark
17	AntiAttackNormal	Physical ATK Counter
18	AntiAttackMagic1	Anti-Fire Attack
19	AntiAttackMagic2	Anti-Lightning Attack
20	AntiAttackMagic3	Anti-Ice Attack
21	AntiAttackMagic4	Anti-Dark Attack
22	AntiAttackMagicEnd	Elemental ATK Counter End-Mark
23	DefenseNormal	Defense
24	AntiDefenseNormal	Anti-Defense
25	DamageChangeP	Extra DMG Bonus
26	DamageNormalChangeP	Physical DMG Bonus
27	DamageMagic1ChangeP	Fire DMG Bonus
28	DamageMagic2ChangeP	Lightning DMG Bonus
29	DamageMagic3ChangeP	Ice DMG Bonus
30	DamageMagic4ChangeP	Dark DMG Bonus
31	DamageMagicChangePEnd	Elemental DMG Bonus End-Mark
32	AntiDamageChangeP	Extra DMG Reduction
33	AntiDamageNormalChangeP	Physical RES
34	AntiDamageMagic1ChangeP	Fire DMG RES
35	AntiDamageMagic2ChangeP	Lightning DMG RES
36	AntiDamageMagic3ChangeP	Ice DMG RES
37	AntiDamageMagic4ChangeP	Dark DMG RES
38	AntiDamageMagicChangePEnd	Elemental RES End-Mark
39	DamagePBegin	DMG Type Start-Mark
40	Damage1P	Mech DMG
41	Damage2P	Energy DMG
42	Damage3P	Creature DMG
43	DamagePEnd	DMG Type End-Mark
44	Crit	CRIT
45	CritP	CRIT Rate
46	CritDamageP	CRIT DMG Rate
47	AntiCritP	Anti-CRIT Rate
48	AntiCritDamageP	Anti-CRIT DMG Rate
49	Lifesteal	Lifesteal
50	LifestealP	Lifesteal Rate
51	CureChangeP	Amplify Healing
52	AntiCureChangeP	Anti-Amplify Healing
53	Endure	Super Armor - Yellow
54	ThreatRateP	Aggro Generation Rate
55	DodgeEnergy	Dodge Energy
56	DodgeEnergyAutoRecovery	Dodge Energy Auto Regen (Energy/s)
57	CustomEnergy	Custom Energy
58	AccuResistance1	Charge Resistance 1
59	AccuResistance2	Charge Resistance 2
60	AccuResistance3	Charge Resistance 3
61	AccuResistance4	Charge Resistance 4
62	AccuResistance5	Charge Resistance 5
63	AccuResistance6	Charge Resistance 6
64	AccuResistance7	Charge Resistance 7
65	AccuResistance8	Charge Resistance 8
66	AccuResistance9	Charge Resistance 9
67	AccuResistance10	Charge Resistance 10
68	SquatSpeed	Crouch SPD
69	NormalWeaknessP	Physical Weakness
70	Magic1WeaknessP	Fire Weakness
71	Magic2WeaknessP	Lightning Weakness
72	Magic3WeaknessP	Ice Weakness
73	Magic4WeaknessP	Dark Weakness
74	SprintSpeed	Sprint Speed (Logic Unit/Rate)
75	CustomEnergyGroup1	Custom Energy Group 1
76	CustomEnergyGroup2	Custom Energy Group 2
77	CustomEnergyGroup3	Custom Energy Group 3
78	CustomEnergyGroup4	Custom Energy Group 4
79	Hack	Execution
80	HackChangeP	Execution Buff Rate
81	AntiHackChangeP	Execution Resistance Rate
82	HackExecuteSkillTriggerP	Remaining gauge that can activate Finishing Move
83	SkillDamageChangeP	Skill Multiplier Increase
84	ReduceHackDynamicScoringCoe	Dynamic Scoring Coefficient of Reduced Enemy Execution
85	BeExecutedDynamicScoringCoe	Dynamic Scoring Coefficient of Enemy Execution
86	DynamicScoringScoreChangeP	Dynamic scoring rate up
87	DynamicScoringScoreChangeV	Dynamic scoring up
88	ReduceDynamicScoringScorePerSecondChangeP	Dynamic scoring rate decreased per second up
89	ReduceDynamicScoringScorePerSecondChangeV	Dynamic scoring decreased per second up
90	ReduceDynamicScoringScoreWhenBeDamagedChangeP	Dynamic scoring rate decreased once injured up
91	ReduceDynamicScoringScoreWhenBeDamagedChangeV	Dynamic scoring decreased once injured up
