Id	PoolId	Weight	AttribId	AttribGrowRateId	Icon	Name	Description	MaxAttribDesc
1	1	100	1010210		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	ATK +10	
2	1	100	1010211		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	DEF +10	
3	1	100	1010212		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	HP +200	
4	1	100	1010213		Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	CRIT +10	
5	2	100		500	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	ATK +2.5%	
6	2	100		501	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	DEF +1%	
7	2	100		502	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	CRIT +10%	
8	2	100		503	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	HP +5%	
9	2	100		504	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Stats Pool I	HP +5%	
10	3	100		501	ATK +2.5%	(Max +5%)		
11	3	100		502	DEF +1%	(Max +8%)		
12	3	100		503	CRIT +10%	(Max +15%)		
13	3	100		504	HP +5%	(Max +10%)		
14	3	100	9		ATK +10	(Max +15)		
15	3	100	9		DEF +10	(Max +15)		
16	3	100	9		HP +200	(Max +300)		
17	3	100	9		CRIT +10	(Max +15)		
18	3	100		501	ATK +2.5%	(Max +5%)		
19	3	100		502	DEF +1%	(Max +8%)		
20	5	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack I	ATK +30, CRIT +30	
21	5	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack I	ATK +30, CRIT +30	
22	8	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack II	ATK +30, CRIT +30	
23	8	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack II	ATK +30, CRIT +30	
24	9	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack III	ATK +30, CRIT +30	
25	9	100	200005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack III	ATK +30, CRIT +30	
26	6	100	201001		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingZhuangjiaqianghua.png	Tactical Adjustment - Basic	HP +50, ATK +10	
27	6	100	201003		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingmixingdong.png	Precision Action - Basic	HP +50, CRIT +10	
28	6	100	201004		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingChuliqiangji.png	Enhanced Power - Basic	ATK +10, DEF +15	
29	6	100	201005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Precision Attack - Basic	ATK +10, CRIT +10	
30	7	100	202001		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingZhuangjiaqianghua.png	Ex - Tactical Adjustment	HP +75, ATK +15	
31	7	100	202003		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingmixingdong.png	Ex - Precision Action	HP +75, CRIT +15	
32	7	100	202004		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingChuliqiangji.png	Ex - Enhanced Power	ATK +15, DEF +23	
33	7	100	202005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	Ex - Precision Attack	ATK +15, CRIT +15	
1001	1001	100	900001		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1002	1002	100	900002		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1003	1003	100	900003		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1004	1004	100	900004		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1005	1005	100	900005		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1006	1006	100	900006		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1007	1007	100	900007		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
1008	1008	100	900008		Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	RPG Stats		
