Id	RunSpeed	WalkSpeed	SquatSpeed	SprintSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	CritP	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery	CustomEnergy	NormalWeaknessP	Magic1WeaknessP	Magic2WeaknessP	Magic3WeaknessP	Magic4WeaknessP	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4	Hack	HackChangeP	AntiHackChangeP	ReduceHackDynamicScoringCoe	BeExecutedDynamicScoringCoe
1	5	5	2	7	3600	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	2500	2500	2500	2500	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
2	5	5	2	7	240	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2000	2000	2000	2000	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
3	6	1.8	2	7	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
4	6	1.8	2	7	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
5	6	1.8	2	7	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
6	5	3	2	7	480	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
7	5	5	2	7	240	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	2500	2500	2500	100	999999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
8	5	5	2	7	240	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	2500	2500	2500	100	999999	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
10	6	1.5	2	7	600	99999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
11	7	7	2	7	240	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	80	100	0	0	0	0	0	100	100	100	100	0	0	0	0	0
