Id	Type	CharacterId	Level	RobotId	FightAbility	FightEventIds[1]	FightEventIds[2]
1	1	1011002	1	126001			
2	1	1011002	2	126002	2000	2250602	
3	1	1021001	1	126003			
4	1	1021001	2	126004	2000	2250602	
5	1	1031001	1	126005			
6	1	1031001	2	126006	2000	2250602	
7	1	1041002	1	126007			
8	1	1041002	2	126008	2000	2250602	
9	1	1051001	1	126009			
10	1	1051001	2	126010	2000	2250602	
11	1	1061002	1	126011			
12	1	1061002	2	126012	2000	2250602	
13	1	1071002	1	126013			
14	1	1071002	2	126014	2000	2250602	
15	1	1081002	1	126015			
16	1	1081002	2	126016	2000	2250602	
17	1	1021002	1	126017			
18	1	1021002	2	126018	2000	2250602	
19	1	1031002	1	126019			
20	1	1031002	2	126020	2000	2250602	
21	1	1011003	1	126021			
22	1	1011003	2	126022	2000	2250602	
23	1	1031003	1	126023			
24	1	1031003	2	126024	2000	2250602	
25	1	1061003	1	126025			
26	1	1061003	2	126026	2000	2250602	
27	1	1071003	1	126027			
28	1	1071003	2	126028	2000	2250602	
29	1	1051003	1	126029			
30	1	1051003	2	126030	2000	2250602	
31	1	1021003	1	126031			
32	1	1021003	2	126032	2000	2250602	
33	1	1081003	1	126033			
34	1	1081003	2	126034	2000	2250602	
35	1	1091002	1	126035			
36	1	1091002	2	126036	2000	2250602	
37	1	1041003	1	126037			
38	1	1041003	2	126038	2000	2250602	
39	1	1111002	1	126039			
40	1	1111002	2	126040	2000	2250602	
41	1	1121002	1	126041			
42	1	1121002	2	126042	2000	2250602	
43	1	1021004	1	126043			
44	1	1021004	2	126044	2000	2250602	
45	1	1131002	1	126045			
46	1	1131002	2	126046	2000	2250602	
47	1	1511003	1	126047			
48	1	1511003	2	126048	2000	2250602	
49	1	1141003	1	126049			
50	1	1141003	2	126050	2000	2250602	
51	1	1521003	1	126051			
52	1	1521003	2	126052	2000	2250602	
53	1	1161002	1	126053			
54	1	1161002	2	126054	2000	2250602	
55	1	1171003	1	126055			
56	1	1171003	2	126056	2000	2250602	
57	1	1041004	1	126057			
58	1	1041004	2	126058	2000	2250602	
59	1	1211002	1	126059			
60	1	1211002	2	126060	2000	2250602	
61	1	1531003	1	126061			
62	1	1531003	2	126062	2000	2250602	
63	1	1121003	1	126063			
64	1	1121003	2	126064	2000	2250602	
65	1	1221002	1	126065			
66	1	1221002	2	126066	2000	2250602	
67	1	1131003	1	126067			
68	1	1131003	2	126068	2000	2250602	
69	1	1541003	1	126069			
70	1	1541003	2	126070	2000	2250602	
71	1	1031004	1	126071			
72	1	1031004	2	126072	2000	2250602	
73	1	1531004	1	126073			
74	1	1531004	2	126074	2000	2250602	
75	1	1551003	1	126075			
76	1	1551003	2	126076	2000	2250602	
77	1	1051004	1	126077			
78	1	1051004	2	126078	2000	2250602	
79	1	1561003	1	126079			
80	1	1561003	2	126080	2000	2250602	
81	1	1071004	1	126081			
82	1	1071004	2	126082	2000	2250602	
83	1	1571003	1	126083			
84	1	1571003	2	126084	2000	2250602	
85	1	1231002	1	126085			
86	1	1231002	2	126086	2000	2250602	
87	1	1011004	1	126087			
88	1	1011004	2	126088	2000	2250602	
89	1	1091003	1	126089			
90	1	1091003	2	126090	2000	2250602	
91	2	1011002	1	126001			
92	2	1011002	2	126002	2000	2250602	
93	2	1011002	3	126002	4000	2250602	2250603
94	2	1021001	1	126003			
95	2	1021001	2	126004	2000	2250602	
