Id	GroupId	StepId	Weight
1	10111	1012	100
2	10112	1013	100
3	10211	1022	100
4	10311	1032	100
5	10312	1033	100
6	10411	1042	100
7	10412	1043	100
8	10511	1052	100
9	10512	1053	100
10	10513	1054	100
11	10611	1062	100
12	10612	1063	100
13	10613	1064	100
14	10711	1072	100
15	10712	1073	100
16	10811	1082	100
17	10812	1083	100
18	10813	1084	100
19	10814	1085	100
20	10911	1092	100
21	10912	1093	100
22	11011	1102	100
23	11012	1103	100
24	11111	1112	100
25	11112	1113	100
26	11211	1122	100
27	11212	1123	100
28	11213	1124	100
29	11214	1125	100
30	11221	1124	100
31	11222	1125	100
32	11311	1132	100
33	11312	1132	100
34	11313	1133	100
35	11321	1134	100
36	11322	1135	100
37	11411	1142	100
38	11412	1143	100
39	11413	1144	100
40	11511	1152	100
41	11512	1153	100
42	11513	1154	100
43	11611	1162	100
44	11612	1163	100
45	11711	1172	100
46	11811	1182	100
47	11812	1183	100
48	11813	1184	100
49	11931	1194	100
50	11932	1195	100
51	12011	1202	100
52	12012	1203	100
53	12013	1206	100
54	12014	1205	100
55	12061	1204	100
56	12062	1207	100
57	12071	1208	100
58	12072	1209	100
59	12111	1212	100
60	12112	1213	100
61	12113	1214	100
62	12211	1222	100
63	12212	1223	100
64	12311	1232	100
65	12312	1233	100
66	12321	1234	100
67	12322	1235	100
68	12411	1242	100
69	12412	1243	100
70	12511	1252	100
71	12611	1262	100
72	12612	1263	100
73	12711	1272	100
74	12712	1273	100
75	12811	1282	100
76	12812	1283	100
77	12911	1292	100
78	12912	1294	100
79	12913	1293	100
80	12941	1295	100
81	12942	1296	100
82	13011	1302	100
83	13012	1303	100
84	13111	1312	100
85	13112	1313	100
86	13211	1322	100
87	13212	1323	100
88	13311	1332	100
89	13312	1333	100
90	13411	1342	100
91	13412	1343	100
92	13511	1352	100
93	13611	1362	100
94	13711	1372	100
95	13811	1382	100
96	13812	1383	100
97	13911	1392	100
98	13912	1393	100
99	14121	1414	100
100	14122	1413	100
101	14131	1415	100
102	14132	1416	100
103	14221	1423	100
104	14222	1424	100
105	14223	1426	100
106	14261	1427	100
107	14262	1422	100
108	14271	1428	100
109	14411	1442	500
110	14411	1443	3000
111	14411	1444	1800
112	14411	1445	1000
113	14411	1446	700
114	14411	1447	3000
115	14412	1449	100
116	14511	1452	500
117	14511	1453	3000
118	14511	1454	1800
119	14511	1455	1000
120	14511	1456	700
121	14511	1457	3000
122	14512	1459	100
123	14621	1463	100
124	14721	1473	100
