Id	Note	TemplateId	StageId	Weight	Mode	ModeParams[1]	ModeParams[2]	ModeParams[3]	ModeParams[4]	ModeParams[5]	TimeLimit	MonsterGroupId[1]	MonsterGroupId[2]	MonsterGroupId[3]	MonsterGroupId[4]	MonsterGroupId[5]	FightEventIds[1]	FightEventIds[2]	FightEventIds[3]	FightEventIds[4]	FightEventIds[5]	SuggestAbility
11111	templateID：	1111	30062615	100	1	0					90	111111					2250508					1800
11112	Thousand Digit = Chapter	1111	30062615	100	1	0					90	111121					2250508					1800
11113	Hundreds Digit = Mode, +5 = Hard Mode	1111	30062615	100	1	0					90	111131					2250508	2250501				1800
11121	Tens Digit = Enemy Wave	1112	30062615	100	1	0					90	111211					2250508					1800
11122	Units Digit = Running ID	1112	30062615	100	1	0					90	111221					2250508					1800
11123	Chapter 1 - Node 1 Simple Guaranteed	1112	30062615	100	1	0					90	111231					2250508	2250501				1800
11211	Chapter 1 - Normal Enemy Grinding	1121	30062612	100	1	0	30				90	112111	112112				2250508					3300
11212	Chapter 1 - Normal Enemy Grinding	1121	30062612	100	1	0	30				90	112121	112122				2250508					3300
11213	Chapter 1 - Normal Enemy Grinding	1121	30062612	100	1	0	30				90	112131	112132				2250508	2250501				3300
11221	Chapter 1 - Normal Enemy Grinding	1122	30062612	100	1	0	30				90	112211	112212				2250508					3300
11222	Chapter 1 - Normal Enemy Grinding	1122	30062612	100	1	0	30				90	112221	112222				2250508					3300
11223	Chapter 1 - Normal Enemy Grinding	1122	30062612	100	1	0	30				90	112231	112232				2250508	2250501				3300
13111	Chapter 1 - Normal Enemy Elimination	1311	30062612	100	3	20					90	131111					2250508					3300
13112	Chapter 1 - Normal Enemy Elimination	1311	30062612	100	3	20					90	131121					2250508					3300
13113	Chapter 1 - Normal Enemy Elimination	1311	30062612	100	3	20					90	131131					2250508					3300
16211	Chapter 1 - Hard Enemy Grinding	1621	30062602	100	1	0	30				90	162111	162112				2250508					3300
16212	Chapter 1 - Hard Enemy Grinding	1621	30062602	100	1	0	30				90	162121	162122				2250508	2250501				3300
16213	Chapter 1 - Hard Enemy Grinding	1621	30062602	100	1	0	30				90	162131	162132				2250508	2250501				3300
16221	Chapter 1 - Hard Enemy Grinding	1622	30062602	100	1	0	30				90	162211	162212				2250509	2250501	2250508			3300
16222	Chapter 1 - Hard Enemy Grinding	1622	30062602	100	1	0	30				90	162221	162222				2250509	2250501	2250508			3300
16223	Chapter 1 - Hard Enemy Grinding	1622	30062602	100	1	0	30				90	162231	162232				2250509	2250501	2250508			3300
21211	Chapter 2 - Normal Enemy Grinding	2121	30062609	100	1	0	30				90	212111	212112				2250508					3300
21212	Chapter 2 - Normal Enemy Grinding	2121	30062609	100	1	0	30				90	212121	212122				2250508					3300
21213	Chapter 2 - Normal Enemy Grinding	2121	30062609	100	1	0	30				90	212131	212132				2250508	2250501				3300
21214	Chapter 2 - Normal Enemy Grinding	2121	30062609	100	1	0	30				90	212141	212142				2250508					3300
21221	Chapter 2 - Normal Enemy Grinding	2122	30062609	100	1	0	30				90	212211	212212				2250508					3300
21222	Chapter 2 - Normal Enemy Grinding	2122	30062609	100	1	0	30				90	212221	212222				2250508	2250501				3300
21223	Chapter 2 - Normal Enemy Grinding	2122	30062603	100	1	0	30				90	212231	212232				2250508					3300
21224	Chapter 2 - Normal Enemy Grinding	2122	30062603	100	1	0	30				90	212241	212242				2250508					3300
21225	Chapter 2 - Normal Enemy Grinding	2122	30062603	100	1	0	30				90	212251	212252				2250508	2250501				3300
23111	Chapter 2 - Normal Enemy Elimination	2311	30062603	100	3	20					90	231111					2250508					3300
23112	Chapter 2 - Normal Enemy Elimination	2311	30062603	100	3	20					90	231121					2250508					3300
23113	Chapter 2 - Normal Enemy Elimination	2311	30062603	100	3	20					90	231131					2250508					3300
23114	Chapter 2 - Normal Enemy Elimination	2311	30062603	100	3	20					90	231141					2250508					3300
23115	Chapter 2 - Normal Enemy Elimination	2311	30062603	100	3	20					90	231151					2250508					3300
24111	Chapter 2 - Normal Strike DMG	2411	30062616	100	4	1400000					90	241111					2250508	2250405				3300
24112	Chapter 2 - Normal Strike DMG	2412	30062616	100	4	1900000					90	241121					2250508	2250405				3300
24113	Chapter 2 - Normal Strike DMG	2413	30062616	100	4	2500000					90	241111					2250508	2250405				3300
24114	Chapter 2 - Normal Strike DMG	2414	30062616	100	4	3100000					90	241121					2250508	2250405				3300
24115	Chapter 2 - Normal Strike DMG	2415	30062616	100	4	3700000					90	241111					2250508	2250405				3300
26211	Chapter 2 - Hard Enemy Grinding	2621	30062601	100	1	0	30				90	262111	262112				2250508	2250501				3300
26212	Chapter 2 - Hard Enemy Grinding	2621	30062601	100	1	0	30				90	262121	262122				2250508	2250501				3300
26221	Chapter 2 - Hard Enemy Grinding	2622	30062601	100	1	0	30				90	262211	262212				2250509	2250501	2250508			3300
26222	Chapter 2 - Hard Enemy Grinding	2622	30062601	100	1	0	30				90	262221	262222				2250509	2250501	2250508			3300
26223	Chapter 2 - Hard Enemy Grinding	2622	30062601	100	1	0	30				90	262231	262232				2250509	2250501	2250508			3300
27111	Chapter 2 - Hard Survival	2711	30062601	100	2	100					90	271111					2250508					3300
27211	Chapter 2 - Hard Survival - Second Sight Guaranteed	2721	30062601	100	2	100					90	271111					2250509	2250508				3300
29111	Chapter 2 - Hard Strike DMG	2911	30062616	100	4	1400000					90	291111					2250508	2250405				3300
29112	Chapter 2 - Hard Strike DMG	2912	30062616	100	4	1900000					90	291121					2250508	2250405				3300
29113	Chapter 2 - Hard Strike DMG	2913	30062616	100	4	2500000					90	291111					2250508	2250501	2250405			3300
29114	Chapter 2 - Hard Strike DMG	2914	30062616	100	4	3100000					90	291121					2250508	2250405				3300
29115	Chapter 2 - Hard Strike DMG	2915	30062616	100	4	3700000					90	291111					2250508	2250501	2250405			3300
29211	Chapter 2 - Hard Strike DMG - Second Sight Guaranteed	2921	30062616	100	4	1400000					90	291111					2250509	2250405	2250508			3300
29212	Chapter 2 - Hard Strike DMG - Second Sight Guaranteed	2922	30062616	100	4	1900000					90	291121					2250509	2250405	2250508			3300
29213	Chapter 2 - Hard Strike DMG - Second Sight Guaranteed	2923	30062616	100	4	2500000					90	291111					2250509	2250501	2250405	2250508		3300
29214	Chapter 2 - Hard Strike DMG - Second Sight Guaranteed	2924	30062616	100	4	3100000					90	291121					2250509	2250405	2250508			3300
29215	Chapter 2 - Hard Strike DMG - Second Sight Guaranteed	2925	30062616	100	4	3700000					90	291111					2250509	2250501	2250405	2250508		3300
31211	Chapter 3 - Normal Enemy Grinding	3121	30062617	100	1	0	30				90	312111	312112				2250508					3300
31212	Chapter 3 - Normal Enemy Grinding	3121	30062617	100	1	0	30				90	312121	312122				2250508	2250506				3300
31213	Chapter 3 - Normal Enemy Grinding	3121	30062617	100	1	0	30				90	312131	312132				2250508	2250507				3300
31221	Chapter 3 - Normal Enemy Grinding	3122	30062617	100	1	0	30				90	312211	312212				2250508					3300
31222	Chapter 3 - Normal Enemy Grinding	3122	30062617	100	1	0	30				90	312221	312222				2250508	2250506				3300
31223	Chapter 3 - Normal Enemy Grinding	3122	30062617	100	1	0	30				90	312231	312232				2250508	2250507				3300
31231	Chapter 3 - Normal Enemy Grinding	3123	30062608	100	1	0	30				90	312311	312312				2250508					3300
31232	Chapter 3 - Normal Enemy Grinding	3123	30062608	100	1	0	30				90	312321	312322				2250508	2250506				3300
31233	Chapter 3 - Normal Enemy Grinding	3123	30062608	100	1	0	30				90	312331	312332				2250508	2250507				3300
31311	Chapter 3 - Normal Enemy Grinding	3131	30062608	100	1	0	30	60			90	313111	313112	313113			2250508					3300
31312	Chapter 3 - Normal Enemy Grinding	3131	30062608	100	1	0	30	60			90	313121	313122	313123			2250508	2250506				3300
31313	Chapter 3 - Normal Enemy Grinding	3131	30062608	100	1	0	30	60			90	313131	313132	313133			2250508	2250507				3300
31321	Chapter 3 - Normal Enemy Grinding	3132	30062618	100	1	0	30	60			90	313211	313212	313213			2250508					3300
31322	Chapter 3 - Normal Enemy Grinding	3132	30062618	100	1	0	30	60			90	313221	313222	313223			2250508	2250506				3300
31323	Chapter 3 - Normal Enemy Grinding	3132	30062618	100	1	0	30	60			90	313231	313232	313233			2250508	2250507				3300
31324	Chapter 3 - Normal Enemy Grinding	3132	30062618	100	1	0	30	60			90	313241	313242	313243			2250508					3300
33111	Chapter 3 - Normal Enemy Elimination	3311	30062617	100	3	20					90	331111					2250508					3300
33112	Chapter 3 - Normal Enemy Elimination	3311	30062617	100	3	20					90	331121					2250508	2250506				3300
33113	Chapter 3 - Normal Enemy Elimination	3311	30062617	100	3	20					90	331131					2250508	2250507				3300
33114	Chapter 3 - Normal Enemy Elimination	3311	30062617	100	3	20					90	331141					2250508					3300
33121	Chapter 3 - Normal Enemy Elimination	3312	30062608	100	3	20					90	331211					2250508	2250506				3300
33122	Chapter 3 - Normal Enemy Elimination	3312	30062608	100	3	20					90	331221					2250508	2250507				3300
33123	Chapter 3 - Normal Enemy Elimination	3312	30062608	100	3	20					90	331231					2250508	2250506				3300
33124	Chapter 3 - Normal Enemy Elimination	3312	30062608	100	3	20					90	331241					2250508	2250507				3300
34111	Chapter 3 - Normal DMG	3411	30062617	100	4	3300000					90	341111					2250508	2250405				3300
34112	Chapter 3 - Normal DMG	3412	30062617	100	4	4000000					90	341121					2250508	2250405				3300
34113	Chapter 3 - Normal DMG	3413	30062608	100	4	4700000					90	341131					2250508	2250405				3300
34114	Chapter 3 - Normal DMG	3414	30062608	100	4	5500000					90	341111					2250508	2250405				3300
34115	Chapter 3 - Normal DMG	3415	30062618	100	4	6300000					90	341121					2250508	2250405				3300
34116	Chapter 3 - Normal DMG	3416	30062618	100	4	7200000					90	341131					2250508	2250405				3300
34117	Chapter 3 - Normal DMG	3417	30062618	100	4	8100000					90	341111					2250508	2250405				3300
36311	Chapter 3 - Hard Enemy Grinding	3631	30062608	100	1	0	30	60			90	363111	363112	363113			2250508	2250506				3300
36312	Chapter 3 - Hard Enemy Grinding	3631	30062608	100	1	0	30	60			90	363121	363122	363123			2250508	2250507				3300
36321	Chapter 3 - Hard Enemy Grinding	3632	30062622	100	1	0	30	60			90	363211	363212	363213			2250509	2250506	2250507	2250508		3300
36322	Chapter 3 - Hard Enemy Grinding	3632	30062622	100	1	0	30	60			90	363221	363222	363223			2250509	2250506	2250508			3300
36323	Chapter 3 - Hard Enemy Grinding	3632	30062622	100	1	0	30	60			90	363231	363232	363233			2250509	2250507	2250508			3300
37111	Chapter 3 - Hard Living On	3711	30062622	100	2	100					90	371111					2250508	2250506	2250507			3300
37112	Chapter 3 - Hard Living On	3711	30062622	100	2	100					90	371121					2250508	2250506	2250507			3300
37211	Chapter 3 - Hard Living On - Second Sight Guaranteed	3721	30062622	100	2	100					90	371111					2250509	2250506	2250507	2250508		3300
37212	Chapter 3 - Hard Living On - Second Sight Guaranteed	3721	30062622	100	2	100					90	371121					2250509	2250506	2250507	2250508		3300
39111	Chapter 3 - Hard DMG	3911	30062617	100	4	3300000					90	391111					2250508	2250506	2250405			3300
39112	Chapter 3 - Hard DMG	3912	30062617	100	4	4000000					90	391121					2250508	2250507	2250405			3300
39113	Chapter 3 - Hard DMG	3913	30062608	100	4	4700000					90	391111					2250508	2250506	2250507	2250405		3300
39114	Chapter 3 - Hard DMG	3914	30062608	100	4	5500000					90	391121					2250508	2250506	2250405			3300
39115	Chapter 3 - Hard DMG	3915	30062618	100	4	6300000					90	391111					2250508	2250507	2250405			3300
39116	Chapter 3 - Hard DMG	3916	30062618	100	4	7200000					90	391121					2250508	2250506	2250507	2250405		3300
