Id	UnlockScore	RewardId	Desc	DisplayType
1	200	550101		
2	200	550102		
3	200	550103		
4	200	550104		
5	200	550105		1
6	200	550106		
7	200	550107		
8	200	550108		1
9	200	550109		
10	200	550110		1
11	210	550111		
12	210	550112		
13	210	550113		
14	210	550114		
15	210	550115		1
16	210	550116		
17	210	550117		
18	210	550118		1
19	210	550119		
20	210	550120		1
21	220	550121		
22	220	550122		
23	220	550123		
24	220	550124		
25	220	550125		1
26	220	550126		
27	220	550127		
28	220	550128		1
29	220	550129		
30	220	550130		1
31	230	550131		
32	230	550132		
33	230	550133		
34	230	550134		
35	230	550135		1
36	230	550136		
37	230	550137		
38	230	550138		1
39	230	550139		
40	230	550140		1
41	240	550141		
42	240	550142		
43	240	550143		
44	240	550144		
45	240	550145		1
46	240	550146		
47	240	550147		
48	240	550148		1
49	240	550149		
50	240	550150		1
51	250	550151		
52	250	550152		
53	250	550153		
54	250	550154		
55	250	550155		1
56	250	550156		
57	250	550157		
58	250	550158		1
59	250	550159		
60	250	550160		1
61	260	550161		
62	260	550162		
63	260	550163		
64	260	550164		
65	260	550165		1
66	260	550166		
67	260	550167		
68	260	550168		1
69	260	550169		
70	260	550170		1
71	270	550172		
72	270	550173		
73	270	550174		
74	270	550175		
75	270	550176		1
76	270	550177		
77	270	550178		
78	270	550179		1
79	270	550180		
80	270	550181		1
81	280	550183		
82	280	550184		
83	280	550185		1
84	280	550186		
85	280	550187		1
86	280	550188		
87	280	550189		
88	280	550190		1
89	280	550191		
90	280	550192		1
