Id	NpcId	Level	BuffLevel[1]	BuffLevel[2]	BuffLevel[3]	BuffLevel[4]	BuffLevel[5]	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffIds[4]	BuffIds[5]	Note
1101	90030	265	1					763621					Thousand Digit: Chapter ID
1102	90090	365	1					763621					Hundreds Digit: Mode ID: 1=Enemy Grinding, 3=Enemy Elimination, 4=Piling DMG;
1103	90100	310	1					763621					6=Hard Enemy Grinding, 7=Hard Survival, 9=Hard Piling DMG
1104	90110	380	1					763621					The first 5 enemies: Repairer, Ground Monitor, Aerial Monitor, Pilgrim, and Protector (Extreme)
1105	90120	265	1					763621					The first 5 enemies: Repairer, Ground Monitor, Aerial Monitor, Pilgrim, and Protector (Extreme)
1106	90130	225	1					763621					Tamer (Extreme)
1107	90150	345	1					763621					Hydraulic (Extreme)
1108	90160	310	1					763621					Sentry Gun (Extreme)
1109	90180	285	1					763621					Executor (Extreme)
1110	90190	370	1					763621					Shieldbearer (Extreme)
1111	90210	250	1					763621					Gardener (Extreme)
1112	90730	280	1					763621					Mr. White (Extreme)
1113	93103	280	1					763621					Treant (Extreme)
1114	93110	410	1					763621					Fairy (Extreme)
1115	93160	540	1					763621					Gung-hoer (Extreme)
1301	90030	265	1					763622					Repairer (Extreme)
1302	90090	365	1					763622					Ground Monitor (Extreme)
1303	90100	310	1					763622					Aerial Monitor (Extreme)
1304	90150	345	1					763622					Hydraulic (Extreme)
1305	90180	285	1					763622					Executor (Extreme)
1306	90730	280	1					763622					Mr. White (Extreme)
1307	93160	540	1					763622					Gung-hoer (Extreme)
1401	90390	355	1					763623					Harvester
1402	81100	220	1					763623					Assault Fort
1601	90110	635	1					763624					Pilgrim (Extreme)
1602	90120	445	1					763624					Protector (Extreme)
1603	90130	375	1					763624					Tamer (Extreme)
1604	90150	570	1					763624					Hydraulic (Extreme)
1605	90160	515	1					763624					Sentry Gun (Extreme)
1606	90210	415	1					763624					Gardener (Extreme)
1607	93103	470	1					763624					Treant (Extreme)
1608	93110	685	1					763624					Fairy (Extreme)
1609	90390	410	1					763624					Harvester
1701	93160	900	1					763625					Gung-hoer (Extreme)
1702	90390	410	1					763652					Harvester
1901	90210	500	1					763626					Gardener (Extreme)
1902	81100	305	1					763626					Assault Fort
2101	90170	255	1					763627					Missionary (Extreme)
2102	90180	310	1					763627					Executor (Extreme)
2103	90190	405	1					763627					Shieldbearer (Extreme)
2104	90250	225	1					763627					Ronin IV (Extreme)
2105	90260	375	1					763627					Bio-Salamander (Extreme)
2106	90330	350	1					763627					Envoy (Extreme)
2107	90360	345	1					763627					Deconstructor (Extreme)
2108	90400	250	1					763627					Bio-Bull (Extreme)
2109	90410	245	1					763627					Acid Ant (Extreme)
2110	90600	865	1					763627					Hetero Deconstruct Unit (Extreme)
2111	90610	380	1					763627					Hetero Repair Unit (Extreme)
2112	90620	1135	1					763627					Hetero Fire Unit (Extreme)
2113	90640	405	1					763627					Blubber VI (Extreme)
2301	90180	310	1					763628					Executor (Extreme)
2302	90190	405	1					763628					Shieldbearer (Extreme)
2303	90250	225	1					763628					Ronin IV (Extreme)
2304	90330	350	1					763628					Envoy (Extreme)
2305	90360	345	1					763628					Deconstructor (Extreme)
2306	90600	865	1					763628					Hetero Deconstruct Unit (Extreme)
2307	90620	1135	1					763628					Hetero Fire Unit (Extreme)
2308	90640	405	1					763628					Blubber VI (Extreme)
2401	90220	290	1					763629					Excavator
2402	81500	2025	1					763629					Nozzle
2403	90400	360	1					763629					Bio-Bull (Extreme)
2404	90410	345	1					763629					Acid Ant (Extreme)
2601	90170	420	1					763630					Missionary (Extreme)
2602	90220	335	1					763630					Excavator
2603	90250	375	1					763630					Ronin IV (Extreme)
2604	90260	630	1					763630					Bio-Salamander (Extreme)
2605	90340	405	1					763630					Harvester
2606	90350	1910	1					763630					Firefighter (Extreme)
2607	90380	745	1					763630					Construct (Extreme)
2608	90420	480	1					763630					Musashi VI (Extreme)
2609	90600	1445	1					763630					Hetero Deconstruct Unit (Extreme)
2610	90610	630	1					763630					Hetero Repair Unit (Extreme)
2611	90620	1890	1					763630					Hetero Fire Unit (Extreme)
2612	90630	710	1					763630					Hetero Explore Unit (Extreme)
2613	81200	850	1					763653					Musashi IX
2614	81500	2360	1					763653					Nozzle
2615	81600	595	1					763653					Roland
2701	90220	335	1					763631					Excavator
2702	90370	755	1					763631					Explorer
2703	90260	630	1					763631					Bio-Salamander (Extreme)
2704	90340	405	1					763631					Harvester
2705	90380	745	1					763631					Construct (Extreme)
2706	81600	595	1					763654					Roland
2901	90400	505	1					763632					Bio-Bull (Extreme)
2902	90630	850	1					763632					Hetero Explore Unit (Extreme)
2903	81200	1020	1					763632					Musashi IX
2904	81500	2835	1					763632					Nozzle
3101	90450	340	1	1				763633	780241				Polar Soldier
3102	90460	370	1	1				763633	780241				Deep-sea Ambusher
3103	90650	925	1	1				763633	780241				Ballwheel IV (Extreme)
3104	90660	465	1	1				763633	780241				Hanged Man III (Extreme)
3105	90670	740	1	1				763633	780241				Kemuri I (Extreme)
3106	90680	530	1	1				763633	780241				Kowloong Crew - Yazi (Extreme)
3107	90690	285	1	1				763633	780241				Phecda
3108	90700	305	1	1				763633	780241				Prime
3109	90710	335	1	1				763633	780241				Cathy (Extreme)
3110	90720	260	1	1				763633	780241				Martini (Extreme)
3111	90730	335	1	1				763633	780241				Mr. White (Extreme)
3112	90810	325	1	1				763633	780241				Tai'E I (Extreme)
3113	90860	650	1	1				763633	780241				Popper (Extreme)
3114	90870	435	1	1				763633	780241				Jaspers (Extreme)
3115	90990	370	1	1				763633	780241				Trailblazing Surfer (Extreme)
3116	93010	1060	1	1				763633	780241				DB02-Sanitizer (Extreme)
3117	93020	370	1	1				763633	780241				SSG-Meanderer (Extreme)
3118	93050	395	1	1				763633	780241				Construct Soldier (Female) (Extreme)
3119	93063	270	1	1				763633	780241				Construct Captain (Female) (Extreme)
3301	90640	440	1					763634					Blubber VI (Extreme)
3302	90710	335	1					763634					Cathy (Extreme)
3303	90720	260	1					763634					Martini (Extreme)
3304	90730	335	1					763634					Mr. White (Extreme)
3305	90810	325	1					763634					Tai'E I (Extreme)
3306	90860	650	1					763634					Popper (Extreme)
3307	93010	1060	1					763634					DB02-Sanitizer (Extreme)
3308	93050	395	1					763634					Construct Soldier (Female) (Extreme)
3309	93063	270	1					763634					Construct Captain (Female) (Extreme)
3401	90450	485	1					763635					Polar Soldier
3402	90690	410	1					763635					Phecda
3403	90700	440	1					763635					Prime
3404	90870	625	1					763635					Jaspers (Extreme)
3601	90440	825	1	1				763636	780243				Terrapod (Extreme)
3602	90450	565	1	1				763636	780243				Polar Soldier
3603	90460	620	1	1				763636	780243				Deep-sea Ambusher
3604	90650	1545	1	1				763636	780243				Ballwheel IV (Extreme)
3605	90660	775	1	1				763636	780243				Hanged Man III (Extreme)
3606	90690	475	1	1				763636	780243				Phecda
3607	90700	510	1	1				763636	780243				Prime
3608	90710	560	1	1				763636	780243				Cathy (Extreme)
3609	90740	620	1	1				763636	780243				A'Mao
3610	90990	620	1	1				763636	780243				Trailblazing Surfer (Extreme)
3611	93050	655	1	1				763636	780243				Construct Soldier (Female) (Extreme)
3612	93063	455	1	1				763636	780243				Construct Captain (Female) (Extreme)
3613	93070	775	1	1				763636	780243				Sanctuary Guard (Extreme)
3614	81300	1845	1	1				763655	780243				Roseblade
3615	81900	1810	1	1				763655	780243				Unknown Construct α 
3616	82150	565	1	1				763655	780243				Riot
3617	82150	565	1	1				763655	780243				Riot
3701	90440	825	1					763637					Terrapod (Extreme)
3702	90450	565	1					763637					Polar Soldier
3703	90660	775	1					763637					Hanged Man III (Extreme)
3704	90690	475	1					763637					Phecda
3705	90740	620	1					763637					A'Mao
3706	93070	775	1					763637					Sanctuary Guard (Extreme)
3707	81900	1810	1					763656					Unknown Construct α 
3708	82150	565	1					763656					Riot
3901	90450	675	1					763638					Polar Soldier
3902	90700	615	1					763638					Prime
3903	90990	740	1					763638					Trailblazing Surfer (Extreme)
3904	81300	2210	1					763638					Roseblade
3905	90740	740	1					763638					A'Mao
4101	90750	595	1	1				763639	780391				Aerial 7 - Snow Owl (Extreme)
4102	90760	620	1	1				763639	780391				Ground 3 - Rabbit (Extreme)
4103	90770	400	1	1				763639	780391				Naval 5 - Squid (Extreme)
4104	90780	295	1	1				763639	780391				Ground 1 - Polar Bear (Extreme)
4105	90970	375	1	1				763639	780391				M4-Medic Bot (Extreme)
4106	93182	325	1	1				763639	780391				Nalasr-E (Extreme)
4107	93192	480	1	1				763639	780391				Heal-Z (Extreme)
4108	93223	385	1	1				763639	780391				Deporter-R (Extreme)
4109	93232	435	1	1				763639	780391				Courier-M (Extreme)
4301	90750	595	1					763640					Aerial 7 - Snow Owl (Extreme)
4302	90760	620	1					763640					Ground 3 - Rabbit (Extreme)
4303	90770	400	1					763640					Naval 5 - Squid (Extreme)
4304	93182	325	1					763640					Nalasr-E (Extreme)
4305	93223	385	1					763640					Deporter-R (Extreme)
4306	93232	435	1					763640					Courier-M (Extreme)
4401	90780	425	1					763641					Ground 1 - Polar Bear (Extreme)
4402	90980	540	1					763641					PK43 Type "Sergeant" (Extreme)
4403	83200	955	1					763641					Rosetta
4404	90790	575	1					763641					Guardian I (Extreme)
4601	90750	990	1	1				763642	780393				Aerial 7 - Snow Owl (Extreme)
4602	90760	1030	1	1				763642	780393				Ground 3 - Rabbit (Extreme)
4603	90790	670	1	1				763642	780393				Guardian I (Extreme)
4604	90800	535	1	1				763642	780393				Moyuan (Extreme)
4605	90970	625	1	1				763642	780393				M4-Medic Bot (Extreme)
4606	90980	630	1	1				763642	780393				PK43 Type "Sergeant" (Extreme)
4607	93182	540	1	1				763642	780393				Nalasr-E (Extreme)
4608	83200	1115	1	1				763657	780393				Rosetta
4609	83200	1115	1	1				763657	780393				Rosetta
4610	83200	1115	1	1				763657	780393				Rosetta
4701	90790	670	1					763643					Guardian I (Extreme)
4702	90800	535	1					763643					Moyuan (Extreme)
4703	83220	870	1					763658					Rosetta (Doll)
4704	83500	1220	1					763658					Qu
4705	83900	895	1					763658					Luna
4901	90780	590	1					763644					Ground 1 - Polar Bear (Extreme)
4902	83220	1045	1					763644					Rosetta (Doll)
4903	83500	1465	1					763644					Qu
5101	90340	310	1	1				763645	780251				Royal Guard (Extreme)
5102	90830	485	1	1				763645	780251				Beetle (Extreme)
5103	90850	455	1	1				763645	780251				Chomper (Extreme)
5104	90890	1055	1	1				763645	780251				Corrupted Construct (Extreme)
5105	90900	795	1	1				763645	780251				Sea Squirt (Extreme)
5106	90930	1680	1	1				763645	780251				Monkfish (Extreme)
5107	90940	395	1	1				763645	780251				Buthus (Extreme)
5108	90960	400	1	1				763645	780251				Blair (Extreme)
5109	93030	495	1	1				763645	780251				Hetero-Sapien (Extreme)
5110	93120	720	1	1				763645	780251				Demon Bane (Extreme)
5111	93130	500	1	1				763645	780251				God Slayer (Extreme)
5112	93140	720	1	1				763645	780251				Heaven Breaker (Extreme)
5113	93160	755	1	1				763645	780251				Gung-hoer (Extreme)
5114	93170	610	1	1				763645	780251				Wheel of Fortune (Extreme)
5115	81200	650	1	1				763661	780251				Musashi IX
5116	81500	1805	1	1				763661	780251				Nozzle
5117	81600	455	1	1				763661	780251				Roland
5118	81300	1290	1	1				763661	780251				Roseblade
5119	81800	1080	1	1				763661	780251				Vassago
5120	81900	1265	1	1				763661	780251				Unknown Construct α 
5121	90390	345	1	1				763661	780251				Harvester
5122	82150	395	1	1				763661	780251				Riot
5123	83200	720	1	1				763661	780251				Rosetta
5124	83200	720	1	1				763661	780251				Rosetta
5125	83200	720	1	1				763661	780251				Rosetta
5126	83800	1485	1	1				763661	780251				Amberia
5127	82200	600	1	1				763661	780251				MC Solar
5301	90830	485	1					763646					Beetle (Extreme)
5302	90850	455	1					763646					Chomper (Extreme)
5303	90890	1055	1					763646					Corrupted Construct (Extreme)
5304	90900	795	1					763646					Sea Squirt (Extreme)
5305	90930	1680	1					763646					Monkfish (Extreme)
5306	90940	395	1					763646					Buthus (Extreme)
5307	90960	400	1					763646					Blair (Extreme)
5308	93160	755	1					763646					Gung-hoer (Extreme)
5401	90340	445	1					763647					Royal Guard (Extreme)
5402	90910	830	1					763647					Gear (Extreme)
5403	90950	375	1					763647					Recycle Prisoner (Extreme)
5404	93170	870	1					763647					Wheel of Fortune (Extreme)
5601	90340	520	1	1				763648	780253				Royal Guard (Extreme)
5602	90890	1760	1	1				763648	780253				Corrupted Construct (Extreme)
5603	90900	1325	1	1				763648	780253				Sea Squirt (Extreme)
5604	90910	970	1	1				763648	780253				Gear (Extreme)
5605	90950	435	1	1				763648	780253				Recycle Prisoner (Extreme)
5606	93030	825	1	1				763648	780253				Hetero-Sapien (Extreme)
5607	93120	1200	1	1				763648	780253				Demon Bane (Extreme)
5608	93130	835	1	1				763648	780253				God Slayer (Extreme)
5609	93140	1200	1	1				763648	780253				Heaven Breaker (Extreme)
5610	93170	1015	1	1				763648	780253				Wheel of Fortune (Extreme)
5611	83600	450	1	1				763659	780253				Gabriel
5612	83600	450	1	1				763659	780253				Gabriel
5613	82200	1000	1	1				763659	780253				MC Solar
5614	81200	1080	1	1				763659	780253				Musashi IX
5615	81500	3005	1	1				763659	780253				Nozzle
5616	81600	760	1	1				763659	780253				Roland
5617	81300	2150	1	1				763659	780253				Roseblade
5618	81800	1805	1	1				763659	780253				Vassago
5619	81900	2110	1	1				763659	780253				Unknown Construct α 
5620	90390	575	1	1				763659	780253				Harvester
5621	82150	660	1	1				763659	780253				Riot
5622	83200	1200	1	1				763659	780253				Rosetta
5623	83200	1200	1	1				763659	780253				Rosetta
5624	83200	1200	1	1				763659	780253				Rosetta
5625	83800	2480	1	1				763659	780253				Amberia
5626	82200	1000	1	1				763659	780253				MC Solar
5627	90930	2800	1	1				763659	780253				Monkfish (Extreme)
5628	90940	655	1	1				763659	780253				Buthus (Extreme)
5629	90960	665	1	1				763659	780253				Blair (Extreme)
5630	93160	1255	1	1				763659	780253				Gung-hoer (Extreme)
5701	90940	655	1					763649					Buthus (Extreme)
5702	90950	435	1					763649					Recycle Prisoner (Extreme)
5703	93030	825	1					763649					Hetero-Sapien (Extreme)
5704	83600	450	1					763660					Gabriel
5705	83800	2480	1					763660					Amberia
5706	84100	1805	1					763660					Pterygota Queen (Punishing Hetero-Creature)
5901	90950	520	1					763650					Recycle Prisoner (Extreme)
5902	90340	620	1					763650					Royal Guard (Extreme)
5903	83600	545	1					763650					Gabriel
5904	83800	2975	1					763650					Amberia
5905	84100	2165	1					763650					Pterygota Queen (Punishing Hetero-Creature)
6601	90030	665	1					763662					Repairer (Extreme)
6602	90890	1885	1					763662					Corrupted Construct (Extreme)
6603	90750	1140	1					763662					Aerial 7 - Snow Owl (Extreme)
6604	90930	3000	1					763662					Monkfish (Extreme)
6605	90960	710	1					763662					Blair (Extreme)
6606	93182	625	1					763662					Nalasr-E (Extreme)
6607	90420	655	1					763662					Musashi VI (Extreme)
6608	90380	1015	1					763662					Construct (Extreme)
6609	90780	570	1					763662					Ground 1 - Polar Bear (Extreme)
6610	93030	885	1					763662					Hetero-Sapien (Extreme)
6611	90950	465	1					763662					Recycle Prisoner (Extreme)
6612	93170	1090	1					763662					Wheel of Fortune (Extreme)
6613	81200	1160	1					763663					Musashi IX
6614	83100	965	1					763663					Camu
6615	83800	2655	1					763663					Amberia
6616	83600	485	1					763663					Gabriel
6617	83600	485	1					763663					Gabriel
6618	90910	1040	1					763663					Gear (Extreme)
8601	90380	1150	1					763664					Construct (Extreme)
8602	93050	930	1					763664					Construct Soldier (Female) (Extreme)
8603	93063	640	1					763664					Construct Captain (Female) (Extreme)
8604	93353	845	1					763664					Elite Construct (Extreme)
8605	90810	760	1					763664					Tai'E I (Extreme)
8606	90440	1165	1					763664					Terrapod (Extreme)
8607	90420	740	1					763664					Musashi VI (Extreme)
8608	81200	1310	1					763665					Musashi IX
8609	82151	800	1					763665					Riot
8651	90830	985	1					763664					Beetle (Extreme)
8652	90850	920	1					763664					Chomper (Extreme)
8653	90900	1610	1					763664					Sea Squirt (Extreme)
8654	90940	795	1					763664					Buthus (Extreme)
8655	90930	3400	1					763664					Monkfish (Extreme)
8656	93030	1000	1					763664					Hetero-Sapien (Extreme)
8657	93293	850	1					763664					Redcoral Host (Extreme)
8658	93303	880	1					763664					Chela Host (Extreme)
8659	93313	875	1					763665					Hetero-Consciousness Host (Extreme)
